metabolome_name	module
CPD0277	lightpink3
CPD0278	turquoise2
CPD0279	royalblue
CPD0280	blue2
CPD0281	blue
CPD0282	green2
CPD0283	wheat3
CPD0284	black
CPD0285	orange1
CPD0286	tomato2
CPD0287	rosybrown3
CPD0288	hotpink1
CPD0289	olivedrab2
CPD0290	skyblue1
CPD0291	skyblue1
CPD0292	green2
CPD0293	purple
CPD0294	turquoise
CPD0295	grey60
CPD0296	lightskyblue3
CPD0297	orangered
CPD0298	blueviolet
CPD0299	darkgoldenrod4
CPD0300	red1
CPD0301	saddlebrown
CPD0302	thistle2
CPD0303	darkorange
CPD0304	royalblue3
CPD0305	salmon
CPD0306	chocolate3
CPD0307	seashell
CPD0308	red3
CPD0309	lightblue4
CPD0310	goldenrod2
CPD0311	tan
CPD0312	tan
CPD0313	plum4
CPD0314	darkturquoise
CPD0315	darkturquoise
CPD0316	midnightblue
CPD0317	green
CPD0318	mistyrose3
CPD0319	peachpuff3
CPD0320	orangered1
CPD0321	tomato
CPD0322	deeppink1
CPD0323	skyblue2
CPD0324	mediumorchid1
CPD0325	grey60
CPD0326	orangered4
CPD0327	coral
CPD0328	sienna2
CPD0329	orangered3
CPD0330	turquoise3
CPD0331	royalblue
CPD0332	aquamarine3
CPD0333	deepskyblue4
CPD0334	burlywood1
CPD0335	skyblue1
CPD0336	royalblue
CPD0337	burlywood4
CPD0338	lavenderblush3
CPD0339	black
CPD0340	orangered
CPD0341	orangered4
CPD0342	tomato2
CPD0343	lightcyan1
CPD0344	pink3
CPD0345	tomato4
CPD0346	hotpink1
CPD0347	antiquewhite3
CPD0348	black
CPD0349	green
CPD0350	salmon
CPD0351	lightgreen
CPD0352	mediumblue
CPD0353	indianred4
CPD0354	brown1
CPD0355	midnightblue
CPD0356	ivory
CPD0357	orangered1
CPD0358	burlywood2
CPD0359	thistle4
CPD0360	green2
CPD0361	white
CPD0362	lemonchiffon4
CPD0363	chocolate3
CPD0364	antiquewhite2
CPD0365	seashell1
CPD0366	yellow
CPD0367	antiquewhite2
CPD0368	antiquewhite2
CPD0369	blue4
CPD0370	goldenrod2
CPD0371	goldenrod2
CPD0372	plum4
CPD0373	royalblue3
CPD0374	mintcream
CPD0375	mediumorchid
CPD0376	cornsilk2
CPD0377	blue4
CPD0378	palevioletred
CPD0379	mediumorchid1
CPD0380	turquoise2
CPD0381	royalblue3
CPD0382	tomato2
CPD0383	orangered1
CPD0384	burlywood2
CPD0385	lightblue3
CPD0386	darkgoldenrod
CPD0387	turquoise
CPD0388	lightcyan1
CPD0389	peachpuff3
CPD0390	lightgoldenrod3
CPD0391	ivory
CPD0392	turquoise
CPD0393	palegreen3
CPD0394	royalblue
CPD0395	palevioletred3
CPD0396	skyblue2
CPD0397	orchid1
CPD0398	yellow4
CPD0399	cyan
CPD0400	plum
CPD0401	white
CPD0402	skyblue1
CPD0403	brown
CPD0404	rosybrown4
CPD0405	magenta4
CPD0406	brown
CPD0407	aquamarine
CPD0408	tan4
CPD0409	firebrick4
CPD0410	paleturquoise3
CPD0411	dodgerblue4
CPD0412	blueviolet
CPD0413	white
CPD0414	antiquewhite2
CPD0415	plum
CPD0416	skyblue1
CPD0417	firebrick4
CPD0418	red1
CPD0419	khaki2
CPD0420	turquoise
CPD0421	snow4
CPD0422	coral
CPD0423	paleturquoise4
CPD0424	palevioletred3
CPD0425	palevioletred3
CPD0426	rosybrown4
CPD0427	burlywood
CPD0428	skyblue
CPD0429	turquoise4
CPD0430	mistyrose1
CPD0431	darkcyan
CPD0432	darkcyan
CPD0433	lavenderblush3
CPD0434	royalblue3
CPD0435	honeydew
CPD0436	yellow4
CPD0437	chocolate2
CPD0438	dodgerblue3
CPD0439	mediumpurple2
CPD0440	antiquewhite2
CPD0441	orangered1
CPD0442	peachpuff2
CPD0443	salmon
CPD0444	goldenrod4
CPD0445	plum3
CPD0446	coral1
CPD0447	coral1
CPD0448	darkgreen
CPD0449	lightsteelblue1
CPD0450	skyblue1
CPD0451	darkgreen
CPD0452	lightgreen
CPD0453	tan
CPD0454	floralwhite
CPD0455	lightskyblue3
CPD0456	purple
CPD0457	darkorchid2
CPD0458	lightskyblue1
CPD0459	royalblue
CPD0460	magenta1
CPD0461	lightyellow
CPD0462	darkgreen
CPD0463	violetred
CPD0464	mediumpurple3
CPD0465	pink1
CPD0466	skyblue3
CPD0467	honeydew1
CPD0468	blue3
CPD0469	green
CPD0470	yellow
CPD0471	yellow
CPD0472	skyblue1
CPD0473	yellow
CPD0474	indianred3
CPD0475	darkviolet
CPD0476	lavenderblush2
CPD0477	violetred2
CPD0478	olivedrab1
CPD0479	antiquewhite3
CPD0480	lightskyblue4
CPD0481	lightskyblue4
CPD0482	magenta1
CPD0483	darkcyan
CPD0484	coral1
CPD0485	firebrick3
CPD0486	lavenderblush3
CPD0487	lavenderblush3
CPD0488	steelblue
CPD0489	royalblue
CPD0490	green4
CPD0491	brown
CPD0492	yellow
CPD0493	antiquewhite3
CPD0494	palegreen3
CPD0495	magenta1
CPD0496	magenta1
CPD0497	darkmagenta
CPD0498	khaki2
CPD0499	khaki2
CPD0500	orange3
CPD0501	firebrick3
CPD0502	turquoise4
CPD0503	pink
CPD0504	lightskyblue3
CPD0505	darkslateblue
CPD0506	magenta3
CPD0507	antiquewhite3
CPD0508	coral1
CPD0509	antiquewhite1
CPD0510	white
CPD0511	darkolivegreen
CPD0512	mediumpurple2
CPD0513	midnightblue
CPD0514	paleturquoise4
CPD0515	indianred3
CPD0516	darkslateblue
CPD0517	lightcoral
CPD0518	floralwhite
CPD0519	plum3
CPD0520	indianred
CPD0521	goldenrod4
CPD0522	honeydew1
CPD0523	turquoise
CPD0524	lightblue1
CPD0525	darkseagreen1
CPD0526	green1
CPD0527	snow2
CPD0528	sienna3
CPD0529	plum
CPD0530	orange3
CPD0531	darkturquoise
CPD0532	yellow
CPD0533	pink
CPD0534	lightskyblue3
CPD0535	tan3
CPD0536	darkgoldenrod2
CPD0537	darkslateblue
CPD0538	turquoise
CPD0539	grey60
CPD0540	deeppink2
CPD0541	darkgreen
CPD0542	orangered3
CPD0543	greenyellow
CPD0544	dodgerblue4
CPD0545	cornflowerblue
CPD0546	greenyellow
CPD0547	red
CPD0548	aquamarine1
CPD0549	steelblue
CPD0550	orange3
CPD0551	coral1
CPD0552	deeppink2
CPD0553	green
CPD0554	lightslateblue
CPD0555	darkblue
CPD0556	lightblue3
CPD0557	rosybrown3
CPD0558	orangered
CPD0559	slateblue1
CPD0560	mediumaquamarine
CPD0561	hotpink4
CPD0562	midnightblue
CPD0563	indianred1
CPD0564	lavenderblush1
CPD0565	skyblue2
CPD0566	blue
CPD0567	royalblue
CPD0568	green4
CPD0569	tomato4
CPD0570	midnightblue
CPD0571	thistle4
CPD0572	yellow
CPD0573	aliceblue
CPD0574	grey60
CPD0575	darkorange
CPD0576	darkseagreen1
CPD0577	goldenrod4
CPD0578	green4
CPD0579	indianred4
CPD0580	midnightblue
CPD0581	dodgerblue4
CPD0582	dodgerblue4
CPD0583	palegreen4
CPD0584	blue
CPD0585	skyblue2
CPD0586	orange
CPD0587	lightcyan
CPD0588	indianred4
CPD0589	indianred4
CPD0590	indianred4
CPD0591	brown1
CPD0592	thistle4
CPD0593	mediumpurple3
CPD0594	darkorange2
CPD0595	pink4
CPD0596	turquoise
CPD0597	darkseagreen3
CPD0598	lemonchiffon2
CPD0599	lemonchiffon2
CPD0600	bisque1
CPD0601	indianred1
CPD0602	darkolivegreen
CPD0603	deeppink1
CPD0604	indianred4
CPD0605	burlywood2
CPD0606	thistle4
CPD0607	yellow
CPD0608	lemonchiffon2
CPD0609	dodgerblue3
CPD0610	yellow4
CPD0611	pink2
CPD0612	darkgoldenrod3
CPD0613	mistyrose4
CPD0614	honeydew1
CPD0615	plum
CPD0616	indianred4
CPD0617	orchid1
CPD0618	red1
CPD0619	darkgoldenrod3
CPD0620	midnightblue
CPD0621	lightpink2
CPD0622	lavenderblush
CPD0623	darkseagreen2
CPD0624	chocolate2
CPD0625	plum2
CPD0626	royalblue2
CPD0627	lightpink3
CPD0628	whitesmoke
CPD0629	firebrick4
CPD0630	blue
CPD0631	lightpink1
CPD0632	thistle4
CPD0633	magenta1
CPD0634	magenta1
CPD0635	darkorange2
CPD0636	lightsalmon3
CPD0637	seashell3
CPD0638	coral2
CPD0639	turquoise
CPD0640	honeydew
CPD0641	darkviolet
CPD0642	firebrick4
CPD0643	indianred1
CPD0644	turquoise2
CPD0645	violetred2
CPD0646	thistle4
CPD0647	aquamarine
CPD0648	lightpink2
CPD0649	turquoise
CPD0650	honeydew
