module	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
MEaliceblue	0.112161725538148	-0.173221712832564	0.072634623310141	-0.196937101194808	0.0681933967949729	0.0978066941196877	-0.288804840198612	-0.27246896774978	-0.255320682225246	-0.184241608445621	-0.303234922376963	-0.256887425024672	0.34070850456905	0.0719205984322978	0.28262516223006	0.307194266940808	0.21215715084697	0.0449563414214664	0.235847186526291	-0.0254056801836937	0.212077256122077	-0.00832875262576445	-0.181254944386549	0.0878237303923044
MEantiquewhite	0.206131586558657	0.4222514529671	0.313240210004499	0.350837339608296	0.229145976381215	0.216336603103736	0.0238113695545881	0.0767107301710581	0.06342097520856	0.0791780213184891	0.0558099908065337	0.112672429292165	-0.231866488522649	-0.250734093986509	-0.268195896308356	-0.225354281316582	-0.244005040955159	-0.147811401686906	-0.116247141650327	-0.139685713711931	-0.170601373429102	-0.0938887850714635	-0.117006503457744	-0.144149964878167
MEantiquewhite1	0.273520300599942	0.135600593379146	0.314949565800257	0.11649694343594	0.47626578946319	0.473864468909644	0.0305900368969676	-0.152968500553478	-0.128602304885233	-0.00292087094903561	0.0591468966869632	0.00244964370383158	-0.048603859976805	-0.212398514024121	-0.0716049651322238	-0.241071274261562	-0.229139792807395	-0.218542254194264	-0.0840558131811794	-0.223732933027045	0.0258814649169501	-0.0870010734017529	-0.0924694485945295	-0.115654098804205
MEantiquewhite2	0.115869898513495	0.000886403649624697	0.0193275795063927	-0.0460844723606511	0.230934702965408	0.147992402958444	-0.151464112865879	-0.387871455267154	-0.224823403285723	-0.139440355080324	-0.324459741906028	-0.408049732308025	0.201575084890718	-0.0861963542036286	0.134493389629868	0.0437153055773875	-0.0073169981557304	-0.267147418547002	0.184832785186506	0.125504928894845	0.0735903544285634	0.228140985292053	0.30790481972829	0.22808540275855
MEantiquewhite3	0.0135071526384254	-0.0153846601395176	-0.0964152393603103	-0.150631027514497	-0.176543672418668	-0.0533817900766631	0.291704889501277	0.422762180645949	0.306557381778574	0.300541116003434	0.263373847714413	0.365397549177055	-0.0804583155099796	-0.234709557973782	-0.180963407776802	-0.250158346999435	-0.201769339081397	-0.158443933040184	-0.0714615857146477	-0.166058602463546	-0.135387681130502	-0.0345092252081085	0.0793850222333093	-0.036952755284396
MEantiquewhite4	0.000354518110268098	0.0162857135053838	0.0879372201917057	0.0510299519095842	0.0113851760384984	-0.0753227309593211	-0.287772885392941	-0.249115427121533	-0.32048927588706	-0.317273269629889	-0.353460408627979	-0.375324165246263	0.296629127382802	0.120723442861329	0.238774607970404	0.230143800330781	0.199354790620866	-0.0501317370301738	0.184307629270579	0.149287007963351	0.190726481105942	0.106613971383523	0.0630194008736374	0.0823170603765054
MEaquamarine	0.258651377768105	0.140859197133399	0.176554337903333	0.0856627557509616	0.434094476402448	0.408347657915654	-0.293017638536596	-0.23903369342702	-0.175839675208075	-0.290225655566334	-0.283214201505397	-0.310923176659633	-0.000552128218918417	-0.0892599015028067	-0.0357146190308542	0.00749272917358697	-0.0943000729179392	-0.000210873568780478	0.169379252743154	-0.00937341771097887	0.167783723980268	0.068966678476336	-0.0438641654235164	-0.0522629679703931
MEaquamarine1	-0.0183201150145437	-0.330321020101356	0.0742640681388222	-0.221004604375592	0.102212238335115	0.149975449346665	0.117787910310028	0.0345304382493302	0.0346951615585685	-0.000318607401171608	-0.0585918750507497	0.0533272278243908	0.206926289958076	0.276647382617264	-0.164036897136893	0.176463358034797	0.474770296208488	0.300474134911741	-0.337869651816209	-0.15887693384786	-0.281521946208173	-0.105535642979048	-0.211793439756155	-0.113883221805538
MEaquamarine2	0.388593803651522	0.392622932397552	0.0804452200496212	0.120079379544606	-0.10824719461997	0.0907826736316708	-0.238161354709117	-0.2147336780351	-0.306678313436384	-0.206511357134003	-0.230994433514003	-0.237511920816801	-0.141647234168642	-0.164883374229864	0.125846930716644	-0.273197892662886	-0.00796049410454346	0.147094543051595	0.197572142699669	0.180083019739728	0.252632942916137	0.055236980470326	0.0183496433183034	0.08118703524394
MEaquamarine3	-0.229549970141266	0.0872894720325383	-0.214310637586052	-0.169694830535296	-0.355134537296842	-0.314191229535131	0.429472056178025	0.0630143272947226	-0.141701782352303	0.350810322532907	0.217896514001358	0.0417005569685	-0.100085815408718	0.00215102595403326	-0.0441278378516595	0.287292166023659	0.0703980408937756	0.115526530079699	0.289924231553831	-0.162937369137843	-0.0634846010583708	-0.14509680849727	0.0656734106503496	-0.0808332347626463
