genus	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	regulation
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Excrementavichristensenella	0.000601728	0.000847192	0.000784977	0.0007454	0.000782165	0.000855809	0.001128394	0.001007515	0.000682656	0.000739447	0.001072817	0.000728454	0.000530172	0.000415503	0.000382066	0.00039747	0.000735156	0.000871259	6.62376E-07	1.51104E-06	2.87061E-06	4.55719E-07	2.56707E-06	1.66622E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Faecivicinus	0.000218606	0.000183654	0.000198251	0.000226847	0.000264222	0.000244829	0.000149261	0.000156502	9.26033E-05	0.00025126	0.000226214	0.000137448	0.008665918	0.00400053	0.00399742	0.004528085	0.004039056	0.014849255	2.84294E-06	4.04875E-06	4.07693E-06	8.47736E-07	2.78797E-06	1.77201E-06	Esin
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAEWAH01	0.000999139	0.001008566	0.00124121	0.001398697	0.001361733	0.001312871	0.000934627	0.000977325	0.000441281	0.001575578	0.000901452	0.001212344	0.001947132	0.00194284	0.001452543	0.001258031	0.002137521	0.003370898	0.000254804	0.000457303	0.000503976	6.87254E-05	0.000373306	0.000214828	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAEZHK01	0.00062857	0.000461508	0.000462992	0.000374988	0.000505283	0.000441198	0.000576749	0.000950567	0.000324052	0.000413687	0.000754117	0.000732463	0.001762311	0.001889273	0.002991288	0.001819999	0.000794417	0.001489914	4.02467E-05	6.41482E-05	8.15834E-05	1.41616E-05	5.53709E-05	5.50382E-05	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAJDGF01	0.000343062	0.000221114	0.00031566	0.000346811	0.000365911	0.000327797	0.000901353	0.001187498	0.000682666	0.001167923	0.0015826	0.001443149	0.000772049	0.000940131	0.000689523	0.000522771	0.000757171	0.001049239	1.87751E-05	3.23163E-05	3.08898E-05	7.49732E-06	2.70951E-05	1.82138E-05	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Limiplasma	0.003965565	0.003829963	0.004417447	0.004521059	0.005238066	0.004705656	0.007774226	0.009202435	0.017832138	0.007630195	0.010829854	0.018901945	0.034300482	0.019546876	0.016936341	0.022400904	0.024465763	0.026155818	0.000326956	0.000570757	0.000326077	0.000139092	0.000640822	0.000418231	Esin
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Onthenecus	0.003101162	0.001508033	0.002978995	0.001038428	0.002388164	0.001318278	0.000334632	0.000328442	0.000302577	0.000275939	0.001200749	0.000593339	9.40237E-05	8.4104E-05	7.92109E-05	6.55093E-05	8.94045E-05	0.000127869	0.000334201	0.00079317	0.000361295	4.76594E-05	0.000935768	0.000205836	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_UBA1038	0.007339922	0.003784953	0.002563488	0.001966645	0.002115145	0.001506974	9.21484E-05	0.000116832	5.91779E-05	9.55782E-05	0.000142538	0.000117404	1.84405E-05	1.02593E-05	8.96451E-06	1.33092E-05	9.33779E-06	1.13876E-05	0.000110763	0.000193634	0.00033895	3.34145E-05	0.000168528	0.000128934	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_UBA2862	0.000137259	0.000123052	0.000135595	0.000124089	0.000142161	0.000127396	3.6492E-05	0.000173348	1.99937E-05	3.42481E-05	3.52859E-05	6.92052E-05	0.002314954	0.002440209	0.002357817	0.002001971	0.001891376	0.003105656	1.32358E-05	1.97067E-05	3.48047E-05	4.06717E-06	1.75429E-05	3.4973E-05	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Ventricola	0.000440437	0.000278676	0.000361989	0.000282967	0.00036897	0.000313934	8.96924E-05	0.000107431	7.04658E-05	7.6782E-05	0.000190607	0.000185895	0.003777134	0.004313416	0.006761041	0.004144163	0.001814279	0.003243169	9.20175E-05	0.000138668	0.000125899	1.97919E-05	0.000124453	4.71215E-05	no-sig
