species	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanospirillaceae;g_WRER01;s_WRER01_sp009779205	6358	1033	2067	2026	1768	2165	272	94	21	19	84	15	1414	931	2547	1039	1990	2837	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanospirillaceae;g_WRER01;s_WRER01_sp031285085	34035	35530	21452	45657	23253	144331	0	0	0	0	0	0	3371	2052	8151	2407	5403	8618	34	91	30	10	20	12
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanogasteraceae;g_Methanogaster;s_Methanogaster_sp002506015	111	98	146	60	110	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_blatticola	299311	360414	462664	275075	299898	691498	403361	74820	32325	18150	24420	70417	23005	4373	24883	6377	33701	10840	42886	286461	36999	14628	54077	11562
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp009784005	936	641	663	374	727	4253	283	222	595	324	196	947	178	98	70	111	102	112	81	443	78	21	103	17
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp012518265	548	427	607	477	546	713	0	0	0	0	0	0	0	0	0	0	0	0	56	57	204	32	106	33
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp030266245	156656	192182	113167	46973	75189	103711	206947	214829	185064	201880	84257	586551	214200	82076	164923	262234	217648	442390	4133	60843	2828	1820	2396	1172
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp031260345	471	670	843	377	567	1218	112	171	186	200	75	370	67	42	81	46	86	111	151	2221	134	80	111	33
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp031286065	2647	4381	5672	3512	2013	3710	4877	2618	1519	1704	1491	4170	7577	3113	6842	7368	8780	12732	904	3016	2088	600	1384	240
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanococcoides;s_unclassify_g_Methanococcoides	179	103	72	103	66	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanolobus;s_Methanolobus_bombayensis	275	171	207	146	278	308	0	0	0	0	0	0	61	75	73	71	95	195	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanomethylovorans;s_Methanomethylovorans_sp937968035	1443	1389	1894	1507	1439	2688	146	45	42	23	23	24	278	622	410	999	433	430	58	114	153	24	77	2
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina_sp002496565	227	74	98	322	193	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina_sp11020u	519	351	256	115	167	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanosarcina;s_Methanosarcina_sp8098u	306	120	352	126	203	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Syntropharchaeia;o_Alkanophagales;f_Methanospirareceae;g_QENH01;s_QENH01_sp013180565	54	17	29	20	43	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Hydrothermarchaeota;c_Hydrothermarchaeia;o_JALTZZ01;f_JALTZZ01;g_JALTZZ01;s_JALTZZ01_sp027051165	19	16	27	21	56	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Iainarchaeota;c_Iainarchaeia;o_CSSED10-239;f_CSSED10-239;g_CSSED10-239;s_CSSED10-239_sp003559395	46	35	91	31	114	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp020854915	1579	1771	3017	1431	1749	2117	151	149	188	213	302	470	71420	33004	51786	60276	28818	53232	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp030266405	147399	134200	131903	151404	212689	233911	17377	37346	33910	19404	48923	70067	23493	22520	26767	21733	18084	18485	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_unclassify_g_JAHKLT01	300	172	148	149	184	215	0	0	0	0	0	0	1113	498	842	913	529	716	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAITXE01;s_unclassify_g_JAITXE01	684	444	424	366	465	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium_ferruginis	63	127	254	369	108	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium;s_Methanobacterium_sp030539815	417	2096	326	517	481	657	0	0	0	0	0	0	2374	702	1184	2293	739	2232	349	26570	854	233	221	144
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium_D;s_Methanobacterium_D_sp023436175	567	204	395	451	324	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobacterium_F;s_Methanobacterium_F_sp003558085	356	84	139	119	215	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter_sp016838945	104	177	135	64	50	102	0	0	0	0	0	0	67	197	31	44	720	22	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter_sp017646885	9125	1639	1973	4434	3926	2225	8	57	0	99	27	23	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter_sp017652345	7140	6594	5645	5068	7095	4678	586	25	1146	20	14	50	91	60	136	80	76	82	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter;s_Methanobrevibacter_sp905235495	380	94	79	108	94	112	176	502	155	447	223	935	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_A;s_Methanobrevibacter_A_sp017434525	82	24	414	54	90	182	0	0	0	0	0	0	565	553	581	849	354	485	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_A;s_Methanobrevibacter_A_sp017459665	497	290	555	301	785	686	0	0	0	0	0	0	10	29	13	16	4	139	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_A;s_Methanobrevibacter_A_sp024413395	1176	157	153	212	140	161	821	2663	973	1995	1450	5328	725	1543	5941	3883	520	2496	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_A;s_Methanobrevibacter_A_sp902764455	317	168	179	131	150	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_B;s_Methanobrevibacter_B_sp905235195	1033	168	208	262	190	197	51	193	55	133	80	291	131	157	532	383	95	293	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_arboriphilus_A	1775	608	399	244	249	231	42	124	30	73	236	441	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_cuticularis	241840	72309	59308	40310	45630	42843	1139	2577	858	1398	5849	10301	14416	12742	23169	18059	13902	14703	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp003315655	51023	10517	7903	8399	11526	10265	7907	22668	29565	9134	21334	29526	10923	9871	20747	15565	8658	10908	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp009776495	3514	266	2286	753	636	420	0	0	0	0	0	0	1389	508	812	741	197	2314	0	0	0	0	0	0
