species	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Avilachnospira;s_Avilachnospira_sp934438085	750	452	555	686	852	842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Avilachnospira;s_Avilachnospira_sp944377385	1949	1083	792	657	669	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Avilachnospira;s_Avilachnospira_sp944381505	1684	1346	1751	1621	3378	2930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Avilachnospira;s_Avilachnospira_sp944381575	1941	1059	1352	635	813	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bariatricus;s_Bariatricus_massiliensis	5337	2158	3375	1987	2043	1974	1073	1281	898	512	1480	1005	361	560	382	403	594	1086	2840	4947	7147	2252	2969	867
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bilifractor;s_Bilifractor_sp002368795	1267	856	1104	776	982	1180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bilifractor;s_Bilifractor_sp024683035	506	476	481	318	239	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bilifractor;s_Bilifractor_sp030527665	563	304	385	317	519	431	97	421	220	111	180	316	0	0	0	0	0	0	587	654	516	233	280	754
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bilifractor;s_Bilifractor_sp900318755	299	263	336	149	209	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bilifractor;s_Bilifractor_sp902783945	1261	932	1527	989	1277	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia;s_Blautia_coccoides	13829	6222	5258	3826	4575	4274	299	388	5376	392	3575	456	0	0	0	0	0	0	2696	2602	1886	669	1442	693
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia;s_Blautia_hansenii	1433	735	777	559	753	665	0	0	0	0	0	0	1335	979	1632	1556	1040	692	1038	1036	702	159	601	165
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia;s_Blautia_hominis	5531	7034	4401	3408	3311	3401	7878	5784	10232	4123	6020	7320	0	0	0	0	0	0	37432	46114	60651	62062	30460	44639
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia;s_Blautia_pullistercoris	2891	1483	2048	1355	2120	2955	494	554	451	260	607	512	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia;s_Blautia_sp022777285	343	381	528	183	199	314	0	0	0	0	0	0	0	0	0	0	0	0	321	411	320	145	3151	154
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia;s_Blautia_sp029257775	280	283	281	73	87	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_difficilis	4005	336	429	511	398	360	0	0	0	0	0	0	0	0	0	0	0	0	256	594	868	95	412	188
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_excrementipullorum	7248	2108	20113	1144	1909	1454	0	0	0	0	0	0	0	0	0	0	0	0	3013	3476	5901	4194	1907	1318
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_faecipullorum	947	222	140	107	126	86	0	0	0	0	0	0	0	0	0	0	0	0	901	725	708	216	306	305
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_gallistercoris	395	186	189	151	214	191	0	0	0	0	0	0	59	78	166	64	168	149	734	1019	390	164	448	142
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_hydrogenotrophica	2037	1286	2541	850	1250	937	0	0	0	0	0	0	0	0	0	0	0	0	604	610	281	251	528	89
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_schinkii	3855	1473	1934	1278	1848	1533	121	849	134	305	232	405	0	0	0	0	0	0	1763	1688	1173	271	965	532
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp017515945	1638	709	1009	622	785	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp021443885	1291	855	779	446	612	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp021772055	4059	1967	2824	1581	2842	2232	152	145	322	94	2257	248	974	788	1194	1261	1180	1110	469	336	259	86	245	121
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp030524175	1544	1000	1363	1121	964	973	1093	1476	484	303	740	662	208	334	294	736	267	298	581	1327	963	233	1776	183
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp030524545	813	648	826	864	942	1173	288	672	3098	398	1337	468	133	450	68	60	177	33	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp030524715	1044	858	1012	725	7339	723	548	2279	3331	1004	1313	862	3824	4225	8433	6099	4803	6369	1086	1408	619	365	547	171
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp030533315	1330	1576	1422	754	1392	1625	0	0	0	0	0	0	461	390	662	629	775	1133	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp905209435	6602	1524	2484	957	1333	938	1664	2235	3500	436	1527	1415	0	0	0	0	0	0	104	68	201	157	702	48
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp934359835	994	499	689	332	484	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp934364795	1842	1263	1715	1480	1520	1462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp934394545	1349	952	1372	927	1071	1108	0	0	0	0	0	0	1132	2038	852	3046	1099	780	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Blautia_A;s_Blautia_A_sp946545475	2820	1982	2142	1166	1896	2348	0	0	0	0	0	0	162	167	323	283	307	504	462	612	592	138	240	81
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bovifimicola;s_Bovifimicola_sp017416465	799	2497	1456	890	692	1251	2369	5462	1762	1352	3022	5386	0	0	0	0	0	0	245	372	384	56	193	229
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bovifimicola;s_Bovifimicola_sp900110975	1282	1046	1040	452	797	900	0	0	0	0	0	0	0	0	0	0	0	0	3012	5580	7060	2371	3288	1067
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bovifimicola;s_Bovifimicola_sp900315425	1281	338	510	621	671	977	0	0	0	0	0	0	78807	58017	70235	86071	137415	111492	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bovifimicola;s_Bovifimicola_sp902786365	2709	1693	1930	1408	2026	2492	1125	2072	1895	1073	1954	871	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Bovifimicola;s_Bovifimicola_sp910578175	422	290	438	351	225	369	0	0	0	0	0	0	0	0	0	0	0	0	2750	29570	4813	2351	3349	1055
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_catenula	1371	1073	920	440	797	617	0	0	0	0	0	0	0	0	0	0	0	0	837903	470926	362083	180509	423925	406075
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_merdavium	116144	102032	46577	24281	32882	18625	0	0	0	0	0	0	0	0	0	0	0	0	27043	18823	20882	12099	19121	15275
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp003506385	44908	29403	30061	20182	22837	21501	300414	281047	680845	228205	452126	289551	0	0	0	0	0	0	6355	15124	7840	12330	5896	10447
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp009911065	3054	2357	5989	4371	4065	6369	779888	662077	2777920	604792	1741834	913646	0	0	0	0	0	0	196976	270426	347651	348028	138991	177119
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp021202925	2491	1542	980	950	914	856	0	0	0	0	0	0	0	0	0	0	0	0	1679	2490	2996	1008	986	1598
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp021204025	20291	6796	5124	2716	3311	3101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp022776445	4771	1897	2719	1422	1516	1211	6016	6815	21810	17578	12914	11557	0	0	0	0	0	0	6011	10058	12658	4526	3077	5663
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp028693165	3944	3146	2440	1317	1583	1556	0	0	0	0	0	0	1760	2893	1842	3927	1927	1913	1279	2241	2041	1132	921	1162
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp030536555	2877	1269	1879	990	957	878	2333	1035	3281	962	5128	3497	877	1120	994	1147	973	1154	2222	3416	2935	2008	1684	2140
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp030825115	117066	76881	28650	17184	21805	12616	1688	885	4252	1118	4552	2292	30748	52351	27972	68747	32738	31231	3116	6388	5076	3350	3468	2975
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp910575255	3653	1528	2550	1674	2242	1983	130142	37329	189629	39060	117945	234845	480	605	1388	1748	1430	1383	12035	10463	12756	23133	9031	16446
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp910577655	3627	2146	2226	1276	1723	1484	404	1423	420	534	1503	1677	3086	5393	2856	7305	3404	2997	418	500	1282	402	244	118
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp910577765	1941	975	1430	763	812	846	242	277	652	693	384	315	307	205	193	166	129	151	399	551	441	259	581	862
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp947383005	16580	11324	7695	3980	5617	4747	185	766	278	390	507	597	107	120	218	128	72	118	8830	6850	8777	24820	2912	15268
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_Brotaphodocola_sp951800645	2354	1751	660	430	450	440	2690	4211	4200	3378	6062	7385	1653	2122	1539	4381	1644	1301	1923	2354	2420	1206	824	1180
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotaphodocola;s_unclassify_g_Brotaphodocola	16840	12047	6996	3898	4425	3283	150820	127326	359079	119621	394709	228516	5372	9305	4760	12605	5891	5181	17147	26632	34486	16897	9722	12667
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Brotonthovivens;s_Brotonthovivens_sp017472565	1002	1114	645	247	453	381	0	0	0	0	0	0	0	0	0	0	0	0	377	618	823	290	432	124
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp002361175	1166	292	518	241	248	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp003611745	887	229	255	145	121	149	5309	8833	1800	3977	5516	8389	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp022797375	1104	443	318	232	356	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp902795775	1312	1115	1609	509	709	1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp910575435	5125	1992	1722	1109	990	857	1560	386	224	139	204	381	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp910580005	736	547	919	479	683	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp910585905	1663	1527	662	352	511	388	343	3150	358	300	586	560	0	0	0	0	0	0	270	95	65	131	62	320
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp910586555	2023	1397	770	848	1643	868	0	0	0	0	0	0	0	0	0	0	0	0	113	248	702	60	172	75
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp934320845	978	286	318	217	251	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyribacter;s_Butyribacter_sp947644195	8912	1390	1182	846	812	813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp000420945	723	504	467	382	453	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp000424145	1790	1172	697	486	434	598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp000702265	1334	367	359	323	323	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp015056565	676	543	691	644	748	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp015056585	1182	723	1140	1313	962	875	0	0	0	0	0	0	0	0	0	0	0	0	250	404	347	137	277	152
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp017443065	626	227	533	321	482	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio;s_Butyrivibrio_sp024688095	597	449	532	426	614	561	0	0	0	0	0	0	712	805	614	1324	559	643	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_Butyrivibrio_A;s_Butyrivibrio_A_sp014799955	673	451	512	293	385	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_C-53;s_C-53_sp028694115	4165	3098	1490	1127	975	853	3122	5124	76477	3435	11423	4596	115	208	457	561	278	132	734	807	742	907	445	294
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CABSEG01;s_CABSEG01_sp902476645	2146	950	1277	630	906	975	16515	21989	37632	26262	22591	24804	0	0	0	0	0	0	3244	2796	2386	647	1287	589
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-194;s_CAG-194_sp015056905	1249	1217	1532	1546	1218	1322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-194;s_CAG-194_sp017461865	559	346	295	176	219	261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-194;s_CAG-194_sp017465095	690	6413	774	1912	281	351	78	860	213	106	475	72	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303_sp015057425	723	319	974	1869	468	434	978	2352	326	460	1255	1055	38249	19676	38717	32855	23790	18485	281	1004	854	286	1721	104
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303_sp910584685	2631	1029	833	615	681	654	1730	2014	415	406	861	1303	696	467	455	1377	212	229	61	103	173	27	166	13
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303_sp910585215	659	816	417	267	296	304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303_sp944381595	1187	757	962	1063	1319	1159	0	0	0	0	0	0	0	0	0	0	0	0	180	246	109	1148	98	53
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303_sp944384155	341	32	44	10	7	17	237	427	5485	302	1652	399	0	0	0	0	0	0	403	254	257	115	232	148
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-303;s_CAG-303_sp945928585	5208	9036	2606	3022	1670	1721	0	0	0	0	0	0	46	38	51	48	21	43	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-411;s_CAG-411_sp014799595	2415	716	1437	638	1483	1137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-411;s_CAG-411_sp017399885	779	341	295	278	286	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510_sp022510745	549	317	509	932	633	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510_sp029053015	862	435	434	143	238	173	1313	3083	13661	1401	1835	1720	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510_sp900550475	1011	272	417	364	283	291	432	820	1202	5303	151	146	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510_sp910577015	212	158	287	177	165	214	0	0	0	0	0	0	973	2629	4970	1664	2583	1020	102	141	127	36	134	40
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510_sp910578335	6076	3860	4184	3016	3332	3788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-510;s_CAG-510_sp947631685	1465	857	1252	884	1317	1534	0	0	0	0	0	0	4334	13905	1980	5620	3940	1972	239	465	397	101	315	148
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp003530125	1680	556	1060	1293	1017	697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp017622535	8857	1294	1560	924	1249	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp023666975	5847	1042	1040	459	587	471	952	752	953	2476	1115	941	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp029012085	1146	784	805	613	667	655	0	0	0	0	0	0	16112	24316	40598	33206	17265	16426	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp029052995	1952	899	1104	713	1065	988	0	0	0	0	0	0	0	0	0	0	0	0	701	525	619	208	357	295
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp900769115	873	772	824	735	739	1009	398	481	8168	205	563	631	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp910585605	3590	1143	2177	25320	2123	1340	0	0	0	0	0	0	499	350	623	596	817	583	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-590;s_CAG-590_sp934294885	355	197	324	137	368	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-632;s_CAG-632_sp002406015	2360	3039	2172	1336	1800	1491	448	916	839	276	1188	624	0	0	0	0	0	0	424	734	560	311	375	310
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-632;s_CAG-632_sp017460485	416	164	346	484	329	391	0	0	0	0	0	0	506	461	517	334	859	955	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-632;s_CAG-632_sp023667695	1285	1479	554	855	494	486	1227	627	727	466	1133	924	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-632;s_CAG-632_sp910587045	1136	1041	832	591	947	853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-791;s_CAG-791_sp002394525	544	236	369	488	537	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-791;s_CAG-791_sp017474455	1205	771	675	500	533	493	0	0	0	0	0	0	30438	36717	58070	54543	21006	39770	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-791;s_CAG-791_sp022483465	1144	854	1232	855	737	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_CAG-791;s_CAG-791_sp022652545	651	389	356	247	403	441	0	0	0	0	0	0	85	57	74	92	75	188	513	933	727	151	270	151
