Sample Richness Shannon Simpson Chao1 ACE group
Pame_1 10617 5.94389060900709 0.991468383176882 10617 1.41408035335265 Pame
Pame_2 10617 5.7888437765267 0.988928338264502 10617 2.99872818477998 Pame
Pame_3 10617 5.86925928870075 0.991612283843968 10617 2.82736130195762 Pame
Pame_4 10617 5.77388058528331 0.990432383185731 10617 3.99698482949709 Pame
Pame_5 10616 5.89782904105496 0.991935660983973 10616 2.64487888674441 Pame
Pame_6 10617 5.83727634193395 0.991637363827553 10617 2.64487896893036 Pame
Pful_1 8330 5.53007305645578 0.989199174636498 8330 9.8410903269673 Pful
Pful_2 8336 5.59765461263337 0.988615680369336 8336 6.69007307397496 Pful
Pful_3 8332 5.36851568164815 0.977835615593205 8332 7.78160706701175 Pful
Pful_4 8328 5.50384153768593 0.987071608513325 8328.21428571429 10.8378915787404 Pful
Pful_5 8334 5.34524469470836 0.979010793736522 8334 6.52004897145265 Pful
Pful_6 8334 5.54044646406467 0.987997557201231 8334 7.44100263019869 Pful
Esin_1 9927 5.63807514502881 0.988811683434118 9927 10.7072174203042 Esin
Esin_2 9932 5.62078706179019 0.987671869024669 9932 10.4151935369699 Esin
Esin_3 9932 5.63171921885457 0.986923625688509 9932 6.69298988287683 Esin
Esin_4 9929 5.37198496456804 0.981799781710802 9929 8.85276438205318 Esin
Esin_5 9928 5.61739506243522 0.989554780295939 9928 9.49557235978789 Esin
Esin_6 9931 5.6396925775153 0.989695182134145 9931 7.72253188671404 Esin
Bger_1 9872 4.26081659262279 0.945335232459994 9872.03846153846 14.809797339112 Bger
Bger_2 9870 4.51730733060124 0.967921008616389 9870 13.0001013167278 Bger
Bger_3 9875 4.52980137739004 0.966655277839826 9875 11.0963959887731 Bger
Bger_4 9818 3.70814209776878 0.927178619950135 9818.32941176471 25.1854283081006 Bger
Bger_5 9868 4.62226325658202 0.969690112709957 9869.66666666667 14.1725780796925 Bger
Bger_6 9791 4.43023945035523 0.964656305876815 9791.86776859504 26.0257205099397 Bger
