module,lambda.min,coef,absCoef
MetaB_M010,1.4309905092269244,1.4309905092269244,1.4309905092269244
MetaB_M129,1.303941645922743,1.303941645922743,1.303941645922743
MetaB_M096,1.2945636051035616,1.2945636051035616,1.2945636051035616
MetaB_M014,1.2569044027996883,1.2569044027996883,1.2569044027996883
MetaB_M085,1.205623346571132,1.205623346571132,1.205623346571132
MetaB_M100,0.9942912659052097,0.9942912659052097,0.9942912659052097
MetaB_M128,0.9627303089175911,0.9627303089175911,0.9627303089175911
MetaB_M105,0.7468797472656707,0.7468797472656707,0.7468797472656707
MetaB_M117,0.7412411653133372,0.7412411653133372,0.7412411653133372
MetaB_M031,0.5808752883705894,0.5808752883705894,0.5808752883705894
MetaB_M026,0.5544902828622177,0.5544902828622177,0.5544902828622177
MetaB_M087,0.46495539688209814,0.46495539688209814,0.46495539688209814
MetaB_M032,0.3510156967529214,0.3510156967529214,0.3510156967529214
MetaB_M064,0.32080196456474736,0.32080196456474736,0.32080196456474736
MetaB_M011,0.13279209459502364,0.13279209459502364,0.13279209459502364
MetaB_M078,0.104715976795025,0.104715976795025,0.104715976795025
MetaB_M016,-0.010079082472040925,-0.010079082472040925,0.010079082472040925
MetaB_M047,-0.017212816104834595,-0.017212816104834595,0.017212816104834595
MetaB_M131,-0.03129229323909637,-0.03129229323909637,0.03129229323909637
MetaB_M042,-0.13594740652640938,-0.13594740652640938,0.13594740652640938
MetaB_M025,-0.15069211662530554,-0.15069211662530554,0.15069211662530554
MetaB_M094,-0.17263850021983745,-0.17263850021983745,0.17263850021983745
MetaB_M069,-0.18122066828306707,-0.18122066828306707,0.18122066828306707
MetaB_M144,-0.21240353830882544,-0.21240353830882544,0.21240353830882544
MetaB_M118,-0.225714099708311,-0.225714099708311,0.225714099708311
MetaB_M065,-0.2270947156517707,-0.2270947156517707,0.2270947156517707
MetaB_M019,-0.2880715652223616,-0.2880715652223616,0.2880715652223616
MetaB_M074,-0.29218518094142626,-0.29218518094142626,0.29218518094142626
MetaB_M114,-0.29759564952776546,-0.29759564952776546,0.29759564952776546
MetaB_M141,-0.3647877048756224,-0.3647877048756224,0.3647877048756224
MetaB_M001,-0.3764865983273485,-0.3764865983273485,0.3764865983273485
MetaB_M134,-0.4320665239549256,-0.4320665239549256,0.4320665239549256
MetaB_M027,-0.4420330857839767,-0.4420330857839767,0.4420330857839767
MetaB_M062,-0.457679153807119,-0.457679153807119,0.457679153807119
MetaB_M080,-0.4780834219831672,-0.4780834219831672,0.4780834219831672
MetaB_M036,-0.4831774575941749,-0.4831774575941749,0.4831774575941749
MetaB_M015,-0.4973823878824879,-0.4973823878824879,0.4973823878824879
MetaB_M037,-0.4995576277293576,-0.4995576277293576,0.4995576277293576
MetaB_M093,-0.5737186612543896,-0.5737186612543896,0.5737186612543896
MetaB_M077,-0.6816927596485194,-0.6816927596485194,0.6816927596485194
MetaB_M120,-0.6832456220123713,-0.6832456220123713,0.6832456220123713
MetaB_M049,-0.6868200884662374,-0.6868200884662374,0.6868200884662374
MetaB_M058,-0.6904468065157711,-0.6904468065157711,0.6904468065157711
MetaB_M082,-0.7105691309423781,-0.7105691309423781,0.7105691309423781
MetaB_M056,-0.7387565064225968,-0.7387565064225968,0.7387565064225968
MetaB_M084,-0.7703503954659593,-0.7703503954659593,0.7703503954659593
MetaB_M121,-0.8102960168818742,-0.8102960168818742,0.8102960168818742
MetaB_M051,-0.810686160991542,-0.810686160991542,0.810686160991542
MetaB_M132,-0.9151744370477939,-0.9151744370477939,0.9151744370477939
MetaB_M138,-0.9480210556531722,-0.9480210556531722,0.9480210556531722
MetaB_M018,-0.9654289251773978,-0.9654289251773978,0.9654289251773978
MetaB_M044,-0.9702799631486321,-0.9702799631486321,0.9702799631486321
MetaB_M113,-1.0002983059844446,-1.0002983059844446,1.0002983059844446
MetaB_M068,-1.0398089044516827,-1.0398089044516827,1.0398089044516827
MetaB_M133,-1.1010526171923822,-1.1010526171923822,1.1010526171923822
MetaB_M009,-1.1201863286099831,-1.1201863286099831,1.1201863286099831
MetaB_M008,-1.1408143676829896,-1.1408143676829896,1.1408143676829896
