module	Module category
MetaB_M103	Lipids and lipid-like molecules
MetaB_M178	Benzenoids
MetaB_M081	Lipids and lipid-like molecules
MetaB_M125	Miscellaneous
MetaB_M204	Lipids and lipid-like molecules
MetaB_M061	Lipids and lipid-like molecules
MetaB_M189	Benzenoids
MetaB_M053	Lipids and lipid-like molecules
MetaB_M104	Miscellaneous
MetaB_M049	Miscellaneous
MetaB_M209	Miscellaneous
MetaB_M088	Organoheterocyclic compounds
MetaB_M221	Miscellaneous
MetaB_M106	Lipids and lipid-like molecules
MetaB_M200	Miscellaneous
MetaB_M059	Phenylpropanoids and polyketides
MetaB_M115	Benzenoids
MetaB_M119	Miscellaneous
MetaB_M207	Lipids and lipid-like molecules
MetaB_M191	Organoheterocyclic compounds
MetaB_M197	Organic acids and derivatives
MetaB_M012	Organoheterocyclic compounds
MetaB_M133	Organoheterocyclic compounds
MetaB_M143	Lipids and lipid-like molecules
MetaB_M057	Miscellaneous
MetaB_M247	Organic acids and derivatives
MetaB_M036	Organoheterocyclic compounds
MetaB_M108	Lipids and lipid-like molecules
MetaB_M113	Lipids and lipid-like molecules
MetaB_M151	Miscellaneous
MetaB_M069	Lipids and lipid-like molecules
MetaB_M052	Organoheterocyclic compounds
MetaB_M020	Organoheterocyclic compounds
MetaB_M117	Organic acids and derivatives
MetaB_M097	Benzenoids
MetaB_M082	Miscellaneous
MetaB_M142	Organic oxygen compounds
MetaB_M199	Lipids and lipid-like molecules
MetaB_M070	Organoheterocyclic compounds
MetaB_M128	Organoheterocyclic compounds
MetaB_M043	Organoheterocyclic compounds
MetaB_M068	Lipids and lipid-like molecules
MetaB_M169	Organoheterocyclic compounds
MetaB_M022	Organoheterocyclic compounds
MetaB_M016	Lipids and lipid-like molecules
MetaB_M244	Organic acids and derivatives
MetaB_M025	Organoheterocyclic compounds
MetaB_M032	Lipids and lipid-like molecules
MetaB_M078	Organic nitrogen compounds
MetaB_M160	Miscellaneous
MetaB_M096	Miscellaneous
MetaB_M114	Lipids and lipid-like molecules
MetaB_M093	Organic acids and derivatives
MetaB_M198	Miscellaneous
MetaB_M190	Lipids and lipid-like molecules
MetaB_M248	Organoheterocyclic compounds
MetaB_M179	Organoheterocyclic compounds
MetaB_M148	Lipids and lipid-like molecules
MetaB_M014	Lipids and lipid-like molecules
MetaB_M230	Nucleosides, nucleotides, and analogues
MetaB_M086	Lipids and lipid-like molecules
MetaB_M056	Miscellaneous
MetaB_M127	Organoheterocyclic compounds
MetaB_M101	Lipids and lipid-like molecules
MetaB_M111	Organoheterocyclic compounds
MetaB_M084	Nucleosides, nucleotides, and analogues
MetaB_M045	Miscellaneous
MetaB_M071	Miscellaneous
MetaB_M091	Miscellaneous
MetaB_M235	Organic oxygen compounds
MetaB_M095	Lipids and lipid-like molecules
MetaB_M030	Miscellaneous
MetaB_M009	Benzenoids
MetaB_M243	Lipids and lipid-like molecules
MetaB_M219	Lipids and lipid-like molecules
MetaB_M063	Lipids and lipid-like molecules
MetaB_M126	Organic oxygen compounds
MetaB_M137	Organoheterocyclic compounds
MetaB_M029	Miscellaneous
MetaB_M195	Lipids and lipid-like molecules
MetaB_M054	Organic acids and derivatives
MetaB_M206	Organoheterocyclic compounds
MetaB_M166	Lipids and lipid-like molecules
MetaB_M001	Miscellaneous
MetaB_M159	Benzenoids
MetaB_M175	Miscellaneous
MetaB_M087	Organoheterocyclic compounds
MetaB_M092	Miscellaneous
MetaB_M214	Miscellaneous
MetaB_M050	Organic oxygen compounds
MetaB_M004	Lipids and lipid-like molecules
MetaB_M109	Organic acids and derivatives
MetaB_M083	Miscellaneous
MetaB_M120	Lipids and lipid-like molecules
MetaB_M203	Organic acids and derivatives
MetaB_M118	Nucleosides, nucleotides, and analogues
MetaB_M146	Organic acids and derivatives
MetaB_M134	Organic acids and derivatives
MetaB_M099	Organic acids and derivatives
MetaB_M183	Organic acids and derivatives
MetaB_M064	Organic acids and derivatives
MetaB_M006	Organic acids and derivatives
MetaB_M129	Organic oxygen compounds
MetaB_M007	Organic acids and derivatives
MetaB_M074	Organic acids and derivatives
MetaB_M174	Miscellaneous
MetaB_M040	Miscellaneous
