MetaB_module_ID	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
MetaB_M001	0.112161725538148	-0.173221712832564	0.072634623310141	-0.196937101194808	0.0681933967949729	0.0978066941196877	-0.288804840198612	-0.27246896774978	-0.255320682225246	-0.184241608445621	-0.303234922376963	-0.256887425024672	0.34070850456905	0.0719205984322978	0.28262516223006	0.307194266940808	0.21215715084697	0.0449563414214664	0.235847186526291	-0.0254056801836937	0.212077256122077	-0.00832875262576445	-0.181254944386549	0.0878237303923044
MetaB_M002	0.28402192724718	0.369139331772954	0.340730899103075	0.348027716243915	0.143664898658894	0.115302717545501	0.0314585439587875	0.129213320391988	0.0784488007178416	0.0923606460885105	0.123130733953579	0.150575505783517	-0.132205547633786	-0.217116389908602	-0.211885992245846	-0.247162363479348	-0.242177654088313	-0.197850964868145	-0.191856704283625	-0.180912574172413	-0.250276342952761	-0.131879971047951	-0.0614542521223176	-0.141296284662634
MetaB_M003	0.273520300599942	0.135600593379146	0.314949565800257	0.11649694343594	0.47626578946319	0.473864468909644	0.0305900368969676	-0.152968500553478	-0.128602304885233	-0.00292087094903561	0.0591468966869632	0.00244964370383158	-0.048603859976805	-0.212398514024121	-0.0716049651322238	-0.241071274261562	-0.229139792807395	-0.218542254194264	-0.0840558131811794	-0.223732933027045	0.0258814649169501	-0.0870010734017529	-0.0924694485945295	-0.115654098804205
MetaB_M004	0.115869898513495	0.000886403649624697	0.0193275795063927	-0.0460844723606511	0.230934702965408	0.147992402958444	-0.151464112865879	-0.387871455267154	-0.224823403285723	-0.139440355080324	-0.324459741906028	-0.408049732308025	0.201575084890718	-0.0861963542036286	0.134493389629868	0.0437153055773875	-0.0073169981557304	-0.267147418547002	0.184832785186506	0.125504928894845	0.0735903544285634	0.228140985292053	0.30790481972829	0.22808540275855
MetaB_M005	0.0135071526384254	-0.0153846601395176	-0.0964152393603103	-0.150631027514497	-0.176543672418668	-0.0533817900766631	0.291704889501277	0.422762180645949	0.306557381778574	0.300541116003434	0.263373847714413	0.365397549177055	-0.0804583155099796	-0.234709557973782	-0.180963407776802	-0.250158346999435	-0.201769339081397	-0.158443933040184	-0.0714615857146477	-0.166058602463546	-0.135387681130502	-0.0345092252081085	0.0793850222333093	-0.036952755284396
MetaB_M006	-0.076651233731212	0.026391905724218	0.0373748523094122	0.0418076533748993	-0.0534705413874929	-0.134173308474881	-0.293748486957786	-0.258769539967565	-0.307107037175978	-0.296784905982954	-0.322577613958428	-0.332218254773103	0.288597314020921	0.11710933692902	0.261712424930063	0.256555856314192	0.195202182725422	-0.0409993362966827	0.207584635929615	0.171099096091467	0.209530226988266	0.122149393403667	0.0732509483033316	0.108134431661591
MetaB_M007	0.254541146247396	0.165896755167945	0.157815529540361	0.118026154165014	0.340703186891784	0.332194488354944	-0.317600376872302	-0.293122232032899	-0.270959792759614	-0.257418566819005	-0.373286665809536	-0.317210975125424	0.0453151838600788	-0.0342729971874889	-0.0189505704930114	0.0693380814525586	-0.0444132599391809	0.0333455918728809	0.174041982755767	0.065848792050747	0.155925738117402	0.0611716928830559	-0.00452640683438645	-0.0424024794870838
MetaB_M008	-0.0183201150145437	-0.330321020101356	0.0742640681388222	-0.221004604375592	0.102212238335115	0.149975449346665	0.117787910310028	0.0345304382493302	0.0346951615585685	-0.000318607401171608	-0.0585918750507497	0.0533272278243908	0.206926289958076	0.276647382617264	-0.164036897136893	0.176463358034797	0.474770296208488	0.300474134911741	-0.337869651816209	-0.15887693384786	-0.281521946208173	-0.105535642979048	-0.211793439756155	-0.113883221805538
MetaB_M009	0.388593803651522	0.392622932397552	0.0804452200496212	0.120079379544606	-0.10824719461997	0.0907826736316708	-0.238161354709117	-0.2147336780351	-0.306678313436384	-0.206511357134003	-0.230994433514003	-0.237511920816801	-0.141647234168642	-0.164883374229864	0.125846930716644	-0.273197892662886	-0.00796049410454346	0.147094543051595	0.197572142699669	0.180083019739728	0.252632942916137	0.055236980470326	0.0183496433183034	0.08118703524394
MetaB_M010	-0.229549970141266	0.0872894720325383	-0.214310637586052	-0.169694830535296	-0.355134537296842	-0.314191229535131	0.429472056178025	0.0630143272947226	-0.141701782352303	0.350810322532907	0.217896514001358	0.0417005569685	-0.100085815408718	0.00215102595403326	-0.0441278378516595	0.287292166023659	0.0703980408937756	0.115526530079699	0.289924231553831	-0.162937369137843	-0.0634846010583708	-0.14509680849727	0.0656734106503496	-0.0808332347626463
MetaB_M011	-0.190797901998571	-0.17066749611707	-0.00640642038954551	0.418415816672159	-0.161356457141361	-0.256590637792471	0.520496835113615	0.261913644694412	0.119898200583716	0.175171862524185	0.00633398595700271	0.115899623109008	0.106973039680774	-0.161039086705707	-0.180799811049999	-0.162104455650756	-0.11065074067512	0.275424124236332	-0.146998425955464	-0.0672554628139327	-0.201137552328333	0.00677242993507942	-0.0927922098984465	-0.0987029039895057
MetaB_M012	-0.175608630771667	-0.15729259783202	-0.100979220613591	-0.177983170084428	-0.316071871237621	-0.335175067320209	0.274749343100138	0.23385697404112	0.234255928905223	0.373916872127973	0.300857049335474	0.371833570608771	0.11876145187042	-0.117455511769068	0.0450247900324762	-0.114427853175159	-0.0594663421468621	0.0849943737551487	-0.18483258876082	-0.153560530581231	-0.156979079557558	-0.0129855092193812	0.0156649882501849	0.0089026310426818
MetaB_M013	-0.257235096667444	-0.156870290035281	-0.0223128977674251	-0.026132476197078	0.0297478764098675	-0.208513210948124	0.434811794753472	0.306768060432822	0.411069571039849	0.231852724405931	0.0361573625582889	0.285925400719501	0.133370446751508	-0.00553358520796911	-0.257755285563069	-0.01701574921219	-0.257589464974128	-0.111968045199175	-0.0703806426673728	-0.177016022723861	-0.264119866153086	-0.011347857464923	0.0358756222368609	-0.0617883685269716
