Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
Bger_1	0	0.180308205599479	0.138101722828662	0.177295107891168	0.137018544059722	0.140191234058777	0.569361696457594	0.554172385250599	0.543643405880541	0.566968273688377	0.568516038252691	0.559130227601556	0.325227468230365	0.447202580392214	0.320971736239616	0.379641520746022	0.431351818174342	0.520904803106553	0.367337079204343	0.396205922120635	0.309357922770877	0.376653888110348	0.416627984440344	0.395165549878745
Bger_2	0.180308205599479	0	0.116461536859027	0.0896270474354426	0.251258340598633	0.229242174733897	0.434321217427931	0.406696043500191	0.414418048221601	0.415876701034877	0.431813449881263	0.42439404943855	0.336824358077923	0.344913731479082	0.304529388678093	0.338603031639252	0.375250618079309	0.377028571247135	0.311669469480403	0.293536160829853	0.293015250564659	0.282690541635221	0.281969703794504	0.291379313436392
Bger_3	0.138101722828662	0.116461536859027	0	0.102505585837073	0.1625320453428	0.17441095086781	0.475709904794108	0.456778351633451	0.454475449896001	0.455861943585197	0.468476697190961	0.466439265335045	0.305184336143464	0.379083959930047	0.291884962411541	0.344059167250102	0.394600069235142	0.435943805146999	0.301811399005229	0.326052979922087	0.279546638620527	0.295015917096932	0.302512089332567	0.303981054200002
Bger_4	0.177295107891168	0.0896270474354426	0.102505585837073	0	0.21333339895974	0.211953583350815	0.455811055448293	0.435357661887409	0.439896831838928	0.444896762573881	0.45495048402268	0.45112871747774	0.325032485389832	0.349040772584639	0.309603538447458	0.327525821311724	0.374266189731428	0.39513849098862	0.295929428068089	0.301669664521755	0.290711566421353	0.285259961963108	0.283709162294202	0.293121028635624
Bger_5	0.137018544059722	0.251258340598633	0.1625320453428	0.21333339895974	0	0.0848416021759433	0.589035706765529	0.584745476652763	0.572729846142169	0.582401085400612	0.584663876898112	0.591636757394164	0.329029058756247	0.443270344091726	0.326618226018969	0.362548235767928	0.429747588612215	0.520262163342872	0.327406993891332	0.379101062586892	0.285706667946829	0.36900460562519	0.411937001247665	0.385804918993412
Bger_6	0.140191234058777	0.229242174733897	0.17441095086781	0.211953583350815	0.0848416021759433	0	0.578246720102083	0.573622335675861	0.562810899040386	0.566092101405077	0.571896318103592	0.576053577228571	0.317048618505544	0.413867633829192	0.313981034193516	0.333737544935517	0.398439848368185	0.489962518911277	0.323292829600833	0.363145104414013	0.270996464177915	0.35274887523776	0.409599103789075	0.383887412776653
Esin_1	0.569361696457594	0.434321217427931	0.475709904794108	0.455811055448293	0.589035706765529	0.578246720102083	0	0.0946816240558418	0.0973784360101089	0.112010840781481	0.106163266696185	0.0968359902050401	0.432584256675784	0.376213271339598	0.437873370265889	0.44989853892648	0.397980202306805	0.340106465622926	0.452446578995424	0.393036538530216	0.489185679415043	0.338479989129215	0.352834649573987	0.365148337207485
Esin_2	0.554172385250599	0.406696043500191	0.456778351633451	0.435357661887409	0.584745476652763	0.573622335675861	0.0946816240558418	0	0.084357563755611	0.107545024692033	0.0964459765144103	0.0905703590928889	0.434540682145248	0.363416209168012	0.429087391101036	0.448085352990295	0.397941260549616	0.318946137240802	0.445914087724796	0.383427000312606	0.490299605308803	0.342576800212958	0.340113746573289	0.361829546605226
Esin_3	0.543643405880541	0.414418048221601	0.454475449896001	0.439896831838928	0.572729846142169	0.562810899040386	0.0973784360101089	0.084357563755611	0	0.102340190140291	0.123045489130674	0.102576194402281	0.410872061611955	0.345244321582548	0.409445865263999	0.434983005005852	0.386111272769008	0.326136772113471	0.440975757260602	0.383146617960511	0.481323226466381	0.330767861875394	0.336561686003712	0.359425131396318
Esin_4	0.566968273688377	0.415876701034877	0.455861943585197	0.444896762573881	0.582401085400612	0.566092101405077	0.112010840781481	0.107545024692033	0.102340190140291	0	0.15136308373844	0.136132066473609	0.404273242378814	0.339820084575893	0.392745003706552	0.418058487396175	0.375805148041539	0.309507409548605	0.423378603411955	0.371065997253887	0.470989286948213	0.332671548589311	0.319985948120869	0.350512641530565
Esin_5	0.568516038252691	0.431813449881263	0.468476697190961	0.45495048402268	0.584663876898112	0.571896318103592	0.106163266696185	0.0964459765144103	0.123045489130674	0.15136308373844	0	0.0845696747580696	0.457269483966889	0.391762709033699	0.453736960039006	0.460471960399394	0.421975190102375	0.36198195996593	0.446172265153676	0.394985169697058	0.492956148241491	0.340639912135338	0.355938715153074	0.368340994684056
Esin_6	0.559130227601556	0.42439404943855	0.466439265335045	0.45112871747774	0.591636757394164	0.576053577228571	0.0968359902050401	0.0905703590928889	0.102576194402281	0.136132066473609	0.0845696747580696	0	0.44763560215004	0.385037085291131	0.443381736281022	0.459077702913651	0.412958722274238	0.349555289326245	0.456466519766621	0.401444858215395	0.501413000594365	0.351872471158287	0.350948033510538	0.373779604803832
Pame_1	0.325227468230365	0.336824358077923	0.305184336143464	0.325032485389832	0.329029058756247	0.317048618505544	0.432584256675784	0.434540682145248	0.410872061611955	0.404273242378814	0.457269483966889	0.44763560215004	0	0.172171807080928	0.091863834752917	0.136907836756855	0.166591181421692	0.243362850568993	0.241934958383226	0.223029611192792	0.183836223879838	0.206564591364959	0.288683553941774	0.24046198496729
Pame_2	0.447202580392214	0.344913731479082	0.379083959930047	0.349040772584639	0.443270344091726	0.413867633829192	0.376213271339598	0.363416209168012	0.345244321582548	0.339820084575893	0.391762709033699	0.385037085291131	0.172171807080928	0	0.152352433316629	0.122135333077816	0.0957258898233215	0.109688323886696	0.279111021095625	0.230124686530026	0.263179010693136	0.225783806077725	0.273200857542522	0.245491427831051
Pame_3	0.320971736239616	0.304529388678093	0.291884962411541	0.309603538447458	0.326618226018969	0.313981034193516	0.437873370265889	0.429087391101036	0.409445865263999	0.392745003706552	0.453736960039006	0.443381736281022	0.091863834752917	0.152352433316629	0	0.0972099259429456	0.153680831433202	0.219810133873715	0.198119342573511	0.193992559269308	0.159242390044287	0.194878639776324	0.250474617731234	0.196965617001665
Pame_4	0.379641520746022	0.338603031639252	0.344059167250102	0.327525821311724	0.362548235767928	0.333737544935517	0.44989853892648	0.448085352990295	0.434983005005852	0.418058487396175	0.460471960399394	0.459077702913651	0.136907836756855	0.122135333077816	0.0972099259429456	0	0.11180615000713	0.191321006096584	0.211799232604185	0.210984628585268	0.198764835655572	0.225747452336069	0.283516704706699	0.243930752194855
Pame_5	0.431351818174342	0.375250618079309	0.394600069235142	0.374266189731428	0.429747588612215	0.398439848368185	0.397980202306805	0.397941260549616	0.386111272769008	0.375805148041539	0.421975190102375	0.412958722274238	0.166591181421692	0.0957258898233215	0.153680831433202	0.11180615000713	0	0.108800460024437	0.273645083782278	0.242517947264466	0.255312119610399	0.248073018083184	0.314381639493992	0.282563157010236
Pame_6	0.520904803106553	0.377028571247135	0.435943805146999	0.39513849098862	0.520262163342872	0.489962518911277	0.340106465622926	0.318946137240802	0.326136772113471	0.309507409548605	0.36198195996593	0.349555289326245	0.243362850568993	0.109688323886696	0.219810133873715	0.191321006096584	0.108800460024437	0	0.317828354578775	0.247518011776066	0.313471336411846	0.25187935155386	0.283723359122206	0.285204672949551
Pful_1	0.367337079204343	0.311669469480403	0.301811399005229	0.295929428068089	0.327406993891332	0.323292829600833	0.452446578995424	0.445914087724796	0.440975757260602	0.423378603411955	0.446172265153676	0.456466519766621	0.241934958383226	0.279111021095625	0.198119342573511	0.211799232604185	0.273645083782278	0.317828354578775	0	0.127090076811529	0.126579992952951	0.137194669143795	0.159270112316556	0.136533596458281
Pful_2	0.396205922120635	0.293536160829853	0.326052979922087	0.301669664521755	0.379101062586892	0.363145104414013	0.393036538530216	0.383427000312606	0.383146617960511	0.371065997253887	0.394985169697058	0.401444858215395	0.223029611192792	0.230124686530026	0.193992559269308	0.210984628585268	0.242517947264466	0.247518011776066	0.127090076811529	0	0.133681678356908	0.0987229793428046	0.137092795100511	0.109038512944519
Pful_3	0.309357922770877	0.293015250564659	0.279546638620527	0.290711566421353	0.285706667946829	0.270996464177915	0.489185679415043	0.490299605308803	0.481323226466381	0.470989286948213	0.492956148241491	0.501413000594365	0.183836223879838	0.263179010693136	0.159242390044287	0.198764835655572	0.255312119610399	0.313471336411846	0.126579992952951	0.133681678356908	0	0.146877581227461	0.212817619716643	0.168053712757568
Pful_4	0.376653888110348	0.282690541635221	0.295015917096932	0.285259961963108	0.36900460562519	0.35274887523776	0.338479989129215	0.342576800212958	0.330767861875394	0.332671548589311	0.340639912135338	0.351872471158287	0.206564591364959	0.225783806077725	0.194878639776324	0.225747452336069	0.248073018083184	0.25187935155386	0.137194669143795	0.0987229793428046	0.146877581227461	0	0.132088451736564	0.106101946481214
Pful_5	0.416627984440344	0.281969703794504	0.302512089332567	0.283709162294202	0.411937001247665	0.409599103789075	0.352834649573987	0.340113746573289	0.336561686003712	0.319985948120869	0.355938715153074	0.350948033510538	0.288683553941774	0.273200857542522	0.250474617731234	0.283516704706699	0.314381639493992	0.283723359122206	0.159270112316556	0.137092795100511	0.212817619716643	0.132088451736564	0	0.12085704269269
Pful_6	0.395165549878745	0.291379313436392	0.303981054200002	0.293121028635624	0.385804918993412	0.383887412776653	0.365148337207485	0.361829546605226	0.359425131396318	0.350512641530565	0.368340994684056	0.373779604803832	0.24046198496729	0.245491427831051	0.196965617001665	0.243930752194855	0.282563157010236	0.285204672949551	0.136533596458281	0.109038512944519	0.168053712757568	0.106101946481214	0.12085704269269	0
