gene	Peri_vs_Esin	Bger_vs_Esin
MetaB_M006	8.20904582037465	4.19492824833742
MetaB_M074	7.85828857342196	4.55587861031912
MetaB_M137	7.78619932968547	1.59749215187161
MetaB_M040	7.40586698604492	6.22445242434739
MetaB_M159	7.32058946485149	1.97796007653132
MetaB_M018	6.94912349332292	0.320739808934172
MetaB_M037	6.94912349332292	0.251277217169259
MetaB_M202	6.94912349332292	0.129455439546857
MetaB_M129	6.94912349332292	4.41633773411231
MetaB_M066	6.93292398880535	0.467911131760248
MetaB_M174	6.8979812581025	6.73207023294504
MetaB_M099	6.82276915133527	4.21261314049165
MetaB_M087	6.59662594955494	2.17556639744827
MetaB_M007	6.59662594955494	8.64017780411607
MetaB_M029	6.21332200486067	1.84368682474972
MetaB_M214	5.91909629321394	2.45165997486181
MetaB_M120	5.86303064420333	9.55526195791805
MetaB_M054	5.86303064420333	1.98097942194832
MetaB_M183	5.73028082389067	5.48010214938911
MetaB_M064	5.65076382080389	5.7397977917017
MetaB_M146	5.60517638205667	4.61195728171742
MetaB_M134	5.60517638205667	6.8950767120151
MetaB_M001	5.01325944930175	2.41967529648753
MetaB_M203	4.9114103096693	4.15778689670148
MetaB_M118	4.82128781972967	5.44474614085801
MetaB_M165	4.6989568827385	-0.564328137363081
MetaB_M004	4.58308812956633	3.58828655864666
MetaB_M083	4.50900972892719	6.44824156980514
MetaB_M114	4.24681083249918	-3.33666596344058
MetaB_M092	4.24639825269302	3.22957800551521
MetaB_M109	4.22207619401538	5.20331207379722
MetaB_M069	4.10111721256567	-1.24821187496576
MetaB_M219	4.04730979336635	2.27747187320794
MetaB_M050	4.03626444056828	5.83549124637827
MetaB_M027	4.00175348436737	0.099466837565047
MetaB_M126	3.86400342510632	2.6841672697338
MetaB_M239	3.81682548864261	0.430413277341869
MetaB_M063	3.80941373341872	2.67856740210195
MetaB_M175	3.78152499088785	4.04019898601962
MetaB_M233	3.76014493317223	0.513913565572471
MetaB_M179	3.58550576618592	-3.71515196058617
MetaB_M039	3.54419523247031	-0.617268390512438
MetaB_M166	3.52025135728457	5.08090281152375
MetaB_M206	3.52025135728457	5.33349316867146
MetaB_M111	3.50805098213833	1.34576233719211
MetaB_M195	3.43355446814925	5.29433155049168
MetaB_M022	3.31602362162071	-2.22329906647781
MetaB_M071	3.29368915352358	1.70401733831521
MetaB_M034	3.15899873871289	-0.669201583358671
MetaB_M033	3.02950026918986	0.19516051690813
MetaB_M095	3.00261421291925	2.78693803898552
MetaB_M044	2.93031159045867	3.72493934625495
MetaB_M243	2.91370567826844	4.46871489085358
MetaB_M030	2.886276379321	6.06513967526649
MetaB_M009	2.8535082998575	3.88339262929891
MetaB_M235	2.80433463890786	7.1898574210102
MetaB_M082	2.75005040421579	-1.55337488259911
MetaB_M176	2.75005040421579	2.45647152293217
MetaB_M072	2.74223561568856	2.75151909936335
MetaB_M156	2.70767446784324	-0.099466837565047
MetaB_M147	2.53671613930313	2.05469618151568
MetaB_M045	2.51514208073114	2.48238658940393
MetaB_M154	2.51220635869673	5.11210280671277
MetaB_M141	2.51220635869673	6.98995212070376
MetaB_M023	2.42841050696892	0.0254572010448191
MetaB_M046	2.38890351413609	3.11941217088732
MetaB_M127	2.36662973310922	7.1898574210102
MetaB_M084	2.31840054908108	2.95191265169786
MetaB_M091	2.29935686639421	4.99659009690519
MetaB_M185	2.22576066858049	-0.140364399955032
MetaB_M048	2.17046394217484	0.119458139347687
MetaB_M229	2.13552433454456	4.04019898601962
MetaB_M101	2.10784771361431	4.99229154076333
MetaB_M244	2.10422124996369	-2.57083387907233
MetaB_M100	1.97835663219504	3.36018461323763
MetaB_M113	1.97507642954918	-1.41923803132598
MetaB_M016	1.97487805515701	-2.4478182576382
MetaB_M151	1.94802896890116	-1.45997828998693
MetaB_M060	1.85010702723503	6.01925232976628
MetaB_M210	1.7739937122436	5.37158672842531
MetaB_M080	1.73737270426949	0.356805753579622
MetaB_M223	1.70401688250455	2.24700740308014
MetaB_M124	1.58048740202418	0.976471611510672
MetaB_M240	1.54573243246406	5.47423102739027
MetaB_M172	1.48842617589698	6.33994226353596
MetaB_M196	1.40820955690369	-0.311330972698625
MetaB_M230	1.37566225313745	-3.82067233907219
MetaB_M171	1.34313208223577	0.741603770315402
MetaB_M236	1.30912270132265	-0.451403873730391
MetaB_M226	1.30710496711139	-0.50038605718309
MetaB_M180	1.29465623893811	-0.174763427292894
MetaB_M217	1.27155958816449	5.07885588865456
MetaB_M123	1.11414833377663	-0.11967560692839
MetaB_M169	1.09794998004337	-2.54434759664497
MetaB_M149	1.00791993532872	0.11967560692839
MetaB_M177	1.00416658190885	3.10781944190165
MetaB_M058	0.938911153435794	4.96877520051012
MetaB_M242	0.929660868277036	0.113348518011961
MetaB_M178	0.813535290413847	0.41331688492059
MetaB_M078	0.804217099189417	-3.44561730832865
MetaB_M028	0.802254857752293	1.81826636442265
MetaB_M142	0.666936195665338	-2.24700740308014
MetaB_M055	0.61323022667624	6.44824156980514
MetaB_M070	0.60900745779	-2.43604458401385
MetaB_M133	0.562800192919937	-1.73250494507683
MetaB_M065	0.529087394417369	5.45727700955373
MetaB_M102	0.513392724851878	1.05146654367398
MetaB_M038	0.484504445183061	-0.10787060147935
MetaB_M213	0.454562439044837	4.2969556778014
MetaB_M138	0.445665935396033	6.22445242434739
MetaB_M227	0.436448440184629	6.39458205886682
MetaB_M157	0.359415011438284	4.8434400464833
MetaB_M097	0.302270583350283	-2.43284074379809
MetaB_M143	0.297528008603956	-1.9557139162484
MetaB_M145	0.259851909524619	3.4072520640133
MetaB_M248	0.220958331378965	-4.22160621331423
MetaB_M090	0.21231624658668	0.274161186364634
MetaB_M234	0.210780487616655	-0.0759808251028446
MetaB_M108	0.193318105834897	-2.24700740308014
MetaB_M205	0.181203994843378	-0.268418058523939
MetaB_M093	0.161080047531805	-4.15237995378218
MetaB_M079	0.155504600371392	3.71515196058617
MetaB_M216	0.155504600371392	-1.02673635423841
MetaB_M155	0.0868463643379818	-0.505113438383821
MetaB_M068	0.0865278946211106	-3.27097544522625
MetaB_M094	0.0848065169164251	1.17306650617433
MetaB_M115	0.0422749861909755	2.26129687123424
MetaB_M098	0.0400322309462285	-0.725324504148711
MetaB_M153	0.0400322309462285	3.5874655747257
MetaB_M148	-0.0400322309462285	-4.74521246089216
MetaB_M049	-0.0848065169164251	0.713096218234588
MetaB_M008	-0.0865278946211106	-0.234170271734753
MetaB_M025	-0.0903367603918712	-4.16253122289615
MetaB_M077	-0.114226915874615	4.99659009690519
MetaB_M139	-0.123758701289522	-1.36808719390546
MetaB_M056	-0.197173747925415	-5.88059427124865
MetaB_M136	-0.21231624658668	0.229712420389302
MetaB_M201	-0.217670294514361	1.93572843220611
MetaB_M182	-0.221669936244402	-0.252050928758292
MetaB_M163	-0.232430226215753	-0.380643824045601
MetaB_M168	-0.239653477222263	-1.3984655208159
MetaB_M122	-0.258569201576138	-2.198169841129
MetaB_M215	-0.259851909524619	-1.58652839417096
MetaB_M247	-0.260072951874344	-2.84267452331322
MetaB_M076	-0.260072951874344	3.13111855146337
MetaB_M131	-0.288905838173711	5.89455273819185
MetaB_M041	-0.302270583350283	6.22445242434739
MetaB_M170	-0.302270583350283	0.264065235562397
MetaB_M152	-0.302270583350283	0.305512596534294
MetaB_M167	-0.305141765268263	3.88524792881741
MetaB_M121	-0.359415011438284	-1.54024064246831
MetaB_M144	-0.362695383439004	0.617030632501469
MetaB_M096	-0.391168937591718	-4.93281199609941
MetaB_M036	-0.484504445183061	-3.18956343173074
MetaB_M014	-0.503775990368465	-5.47052653115322
MetaB_M228	-0.561751287301231	-0.22573065312453
MetaB_M106	-0.562394808578517	2.74879003894823
MetaB_M204	-0.612863612156288	-0.0452382842206411
MetaB_M207	-0.623132385997193	3.35215550625893
MetaB_M059	-0.636100865656685	-0.127147525384325
MetaB_M057	-0.638882176932279	-3.30913982999917
MetaB_M073	-0.759832838460168	-0.76046469439477
MetaB_M017	-0.901654598958414	1.93056861931362
MetaB_M010	-0.928089481189109	-3.00323264712099
MetaB_M003	-0.929660868277036	4.15778689670148
MetaB_M237	-0.938911153435794	-0.44693053870835
MetaB_M015	-0.967198510976372	-4.03629590641558
MetaB_M198	-0.976828020311136	-5.77746448404689
MetaB_M032	-1.03688198423927	-5.53744255773384
MetaB_M088	-1.08882855719131	0.327694299051007
MetaB_M051	-1.11144182191858	5.29433155049168
MetaB_M199	-1.17904849829355	-4.5001983600508
MetaB_M132	-1.24698272603011	-2.81609769136051
MetaB_M107	-1.25055531143149	0.669201583358671
MetaB_M158	-1.36013922710118	-4.16100338665791
MetaB_M042	-1.43249584750406	-2.53934901220843
MetaB_M160	-1.5549305012256	-6.17165514291319
MetaB_M209	-1.6361463227335	0.0522927801464427
MetaB_M181	-1.67780466194579	0.130950856882529
MetaB_M220	-1.67938873134116	-1.93056861931362
MetaB_M067	-1.7739937122436	-3.57592420575494
MetaB_M238	-1.79079651864938	-3.0981969475945
MetaB_M086	-1.8790055038485	-7.1027978172343
MetaB_M125	-1.89316530113256	3.78039348242335
MetaB_M197	-2.06074893076227	-0.670268224137068
MetaB_M110	-2.0864883982008	-3.33666596344058
MetaB_M187	-2.17343067747343	2.57117098775653
MetaB_M011	-2.22849889019545	-1.80027606067725
MetaB_M173	-2.26160205385386	-1.28052979231067
MetaB_M053	-2.56758617497734	-2.06106679402243
MetaB_M241	-2.81904703879903	-4.11016170789248
MetaB_M212	-3.09630623935965	-4.48561220310647
MetaB_M161	-3.16183014631394	0.630939990839978
MetaB_M031	-3.32885603293133	-3.19177844141739
MetaB_M225	-3.38805813026269	-3.49998290628038
MetaB_M186	-3.49045255535252	-2.4478182576382
MetaB_M047	-3.51998257296905	-1.47351612809151
