MetaB_module_ID	module_color	module_name
MetaB_M140	mediumaquamarine	MEmediumaquamarine
MetaB_M141	mediumorchid	MEmediumorchid
MetaB_M142	mediumorchid1	MEmediumorchid1
MetaB_M143	mediumorchid2	MEmediumorchid2
MetaB_M144	mediumorchid3	MEmediumorchid3
MetaB_M145	mediumorchid4	MEmediumorchid4
MetaB_M146	mediumpurple	MEmediumpurple
MetaB_M147	mediumpurple2	MEmediumpurple2
MetaB_M148	mediumpurple4	MEmediumpurple4
MetaB_M149	mediumvioletred	MEmediumvioletred
MetaB_M150	midnightblue	MEmidnightblue
MetaB_M151	mintcream	MEmintcream
MetaB_M152	mistyrose	MEmistyrose
MetaB_M153	mistyrose1	MEmistyrose1
MetaB_M154	mistyrose2	MEmistyrose2
MetaB_M155	mistyrose3	MEmistyrose3
MetaB_M156	moccasin	MEmoccasin
MetaB_M157	navajowhite	MEnavajowhite
MetaB_M158	navajowhite1	MEnavajowhite1
MetaB_M159	navajowhite2	MEnavajowhite2
MetaB_M160	navajowhite3	MEnavajowhite3
MetaB_M161	navajowhite4	MEnavajowhite4
MetaB_M162	oldlace	MEoldlace
MetaB_M163	olivedrab1	MEolivedrab1
MetaB_M164	olivedrab2	MEolivedrab2
MetaB_M165	olivedrab4	MEolivedrab4
MetaB_M166	orange1	MEorange1
MetaB_M167	orange2	MEorange2
MetaB_M168	orange3	MEorange3
MetaB_M169	orange4	MEorange4
MetaB_M170	orangered1	MEorangered1
MetaB_M171	orangered3	MEorangered3
MetaB_M172	orchid	MEorchid
MetaB_M173	orchid1	MEorchid1
MetaB_M174	palegreen1	MEpalegreen1
MetaB_M175	palegreen3	MEpalegreen3
MetaB_M176	palegreen4	MEpalegreen4
MetaB_M177	paleturquoise3	MEpaleturquoise3
MetaB_M178	palevioletred	MEpalevioletred
MetaB_M179	palevioletred1	MEpalevioletred1
MetaB_M180	palevioletred3	MEpalevioletred3
MetaB_M181	peachpuff1	MEpeachpuff1
MetaB_M182	peachpuff2	MEpeachpuff2
MetaB_M183	peachpuff3	MEpeachpuff3
MetaB_M184	peachpuff4	MEpeachpuff4
MetaB_M185	peru	MEperu
MetaB_M186	pink1	MEpink1
MetaB_M187	pink2	MEpink2
MetaB_M188	pink4	MEpink4
MetaB_M189	plum	MEplum
MetaB_M190	plum2	MEplum2
MetaB_M191	plum3	MEplum3
MetaB_M192	plum4	MEplum4
MetaB_M193	powderblue	MEpowderblue
MetaB_M194	purple2	MEpurple2
MetaB_M195	red1	MEred1
MetaB_M196	red3	MEred3
MetaB_M197	red4	MEred4
MetaB_M198	rosybrown	MErosybrown
MetaB_M199	rosybrown1	MErosybrown1
MetaB_M200	rosybrown2	MErosybrown2
MetaB_M201	rosybrown4	MErosybrown4
MetaB_M202	royalblue1	MEroyalblue1
MetaB_M203	royalblue2	MEroyalblue2
MetaB_M204	royalblue3	MEroyalblue3
MetaB_M205	royalblue4	MEroyalblue4
MetaB_M206	salmon	MEsalmon
MetaB_M207	salmon1	MEsalmon1
MetaB_M208	salmon4	MEsalmon4
MetaB_M209	seashell	MEseashell
MetaB_M210	seashell1	MEseashell1
MetaB_M211	seashell3	MEseashell3
MetaB_M212	seashell4	MEseashell4
MetaB_M213	sienna	MEsienna
MetaB_M214	sienna1	MEsienna1
MetaB_M215	sienna3	MEsienna3
MetaB_M216	sienna4	MEsienna4
MetaB_M217	skyblue1	MEskyblue1
MetaB_M218	skyblue2	MEskyblue2
MetaB_M219	skyblue4	MEskyblue4
MetaB_M220	slateblue3	MEslateblue3
MetaB_M221	slateblue4	MEslateblue4
MetaB_M222	snow2	MEsnow2
MetaB_M223	snow4	MEsnow4
MetaB_M224	springgreen3	MEspringgreen3
MetaB_M225	steelblue1	MEsteelblue1
MetaB_M226	steelblue3	MEsteelblue3
MetaB_M227	steelblue4	MEsteelblue4
MetaB_M228	tan1	MEtan1
MetaB_M229	tan2	MEtan2
MetaB_M230	tan3	MEtan3
MetaB_M231	thistle1	MEthistle1
MetaB_M232	thistle3	MEthistle3
MetaB_M233	thistle4	MEthistle4
MetaB_M234	tomato	MEtomato
MetaB_M235	tomato2	MEtomato2
MetaB_M236	tomato4	MEtomato4
MetaB_M237	turquoise2	MEturquoise2
MetaB_M238	turquoise3	MEturquoise3
MetaB_M239	turquoise4	MEturquoise4
MetaB_M240	violetred	MEvioletred
MetaB_M241	violetred1	MEvioletred1
MetaB_M242	violetred3	MEvioletred3
MetaB_M243	wheat1	MEwheat1
MetaB_M244	wheat3	MEwheat3
MetaB_M245	white	MEwhite
MetaB_M246	whitesmoke	MEwhitesmoke
MetaB_M247	yellow3	MEyellow3
MetaB_M248	yellow4	MEyellow4
