module	Module category
MetaB_M103	Lipids and lipid-like molecules
MetaB_M178	Benzenoids
MetaB_M081	Lipids and lipid-like molecules
MetaB_M125	Miscellaneous
MetaB_M204	Lipids and lipid-like molecules
MetaB_M061	Lipids and lipid-like molecules
MetaB_M189	Benzenoids
MetaB_M053	Lipids and lipid-like molecules
MetaB_M104	Miscellaneous
MetaB_M049	Miscellaneous
MetaB_M088	Organoheterocyclic compounds
MetaB_M221	Miscellaneous
MetaB_M106	Lipids and lipid-like molecules
MetaB_M200	Miscellaneous
MetaB_M059	Phenylpropanoids and polyketides
MetaB_M115	Benzenoids
MetaB_M119	Miscellaneous
MetaB_M207	Lipids and lipid-like molecules
MetaB_M191	Organoheterocyclic compounds
MetaB_M197	Organic acids and derivatives
MetaB_M093	Organic acids and derivatives
MetaB_M198	Miscellaneous
MetaB_M190	Lipids and lipid-like molecules
MetaB_M248	Organoheterocyclic compounds
MetaB_M179	Organoheterocyclic compounds
MetaB_M148	Lipids and lipid-like molecules
MetaB_M014	Lipids and lipid-like molecules
MetaB_M230	Nucleosides, nucleotides, and analogues
MetaB_M086	Lipids and lipid-like molecules
MetaB_M056	Miscellaneous
MetaB_M134	Organic acids and derivatives
MetaB_M099	Organic acids and derivatives
MetaB_M183	Organic acids and derivatives
MetaB_M064	Organic acids and derivatives
MetaB_M006	Organic acids and derivatives
MetaB_M129	Organic oxygen compounds
MetaB_M007	Organic acids and derivatives
MetaB_M074	Organic acids and derivatives
MetaB_M174	Miscellaneous
MetaB_M040	Miscellaneous
