MetaB_module_ID	metabolome_name
MetaB_M028	CPD0078,CPD0337,CPD1018,CPD1043,CPD1786
MetaB_M029	CPD1978,CPD2002,CPD2868,CPD3202,CPD3419
MetaB_M030	CPD0180,CPD0200,CPD0921,CPD1229,CPD1246,CPD2368
MetaB_M031	CPD0437,CPD0624,CPD0975,CPD1525,CPD2386,CPD2742,CPD2799,CPD3433
MetaB_M032	CPD0074,CPD0081,CPD0082,CPD0306,CPD0363,CPD0376,CPD1030,CPD1073,CPD1146,CPD1537,CPD1763,CPD2102,CPD2152,CPD2439,CPD2449,CPD2477,CPD2674,CPD2819,CPD2836,CPD3325,CPD3493,CPD3549
MetaB_M033	CPD0785,CPD0895,CPD1607,CPD1682,CPD2520,CPD2655,CPD2748,CPD2838,CPD3290,CPD3377,CPD3432
MetaB_M034	CPD0327,CPD0422,CPD0656,CPD0881,CPD1067,CPD2517,CPD2675,CPD2727,CPD2729,CPD2866,CPD2869,CPD3038
MetaB_M035	CPD0446,CPD0447,CPD0484,CPD0508,CPD0551,CPD0722,CPD0771,CPD1612,CPD1651,CPD1724,CPD1752,CPD2094,CPD2316,CPD2638
MetaB_M036	CPD0638,CPD0868,CPD1065,CPD1298,CPD1416,CPD1451,CPD1720,CPD1856,CPD2033,CPD2208,CPD2250,CPD2430,CPD2531,CPD3388
MetaB_M037	CPD0060,CPD0812,CPD0835,CPD1004,CPD1066,CPD1168,CPD1237,CPD2404,CPD2414,CPD2844,CPD3231,CPD3524
MetaB_M038	CPD0017,CPD0065,CPD0255,CPD0700,CPD0875,CPD1366,CPD1650,CPD1719,CPD1965,CPD2740,CPD3269
MetaB_M039	CPD0130,CPD0159,CPD0545,CPD1395,CPD2012,CPD2562,CPD2820,CPD3104,CPD3216
MetaB_M040	CPD0062,CPD0080,CPD0196,CPD2505,CPD2649,CPD2849,CPD3299,CPD3547
MetaB_M041	CPD0666,CPD1260,CPD1756,CPD2899,CPD3319
MetaB_M042	CPD0106,CPD0701,CPD1625,CPD1656,CPD3027,CPD3420
MetaB_M043	CPD0013,CPD0051,CPD0234,CPD0239,CPD0267,CPD0317,CPD0338,CPD0349,CPD0352,CPD0369,CPD0377,CPD0433,CPD0464,CPD0469,CPD0486,CPD0487,CPD0553,CPD0555,CPD0593,CPD0660,CPD0667,CPD0668,CPD0677,CPD0797,CPD0824,CPD0833,CPD0846,CPD0852,CPD0880,CPD0883,CPD0919,CPD0967,CPD0988,CPD1003,CPD1054,CPD1104,CPD1133,CPD1152,CPD1164,CPD1227,CPD1269,CPD1270,CPD1342,CPD1346,CPD1355,CPD1369,CPD1407,CPD1436,CPD1498,CPD1501,CPD1502,CPD1638,CPD1736,CPD1765,CPD1794,CPD1802,CPD1807,CPD1865,CPD1881,CPD1910,CPD1913,CPD1923,CPD1924,CPD1944,CPD1963,CPD1966,CPD1972,CPD1974,CPD1994,CPD2010,CPD2017,CPD2076,CPD2079,CPD2109,CPD2121,CPD2150,CPD2169,CPD2171,CPD2199,CPD2204,CPD2320,CPD2337,CPD2345,CPD2411,CPD2482,CPD2508,CPD2747,CPD2763,CPD2767,CPD2768,CPD2781,CPD2851,CPD2864,CPD2888,CPD2920,CPD2961,CPD3054,CPD3063,CPD3084,CPD3102,CPD3233,CPD3236,CPD3267,CPD3274,CPD3347,CPD3358,CPD3375,CPD3628
MetaB_M044	CPD0431,CPD0432,CPD0483,CPD1033,CPD2730
MetaB_M045	CPD0386,CPD1850,CPD2123,CPD2308,CPD3380,CPD3442
MetaB_M046	CPD0112,CPD1986,CPD1993,CPD2086,CPD2232,CPD3242,CPD3344
MetaB_M047	CPD0536,CPD2209,CPD2494,CPD3110,CPD3510
MetaB_M048	CPD0612,CPD0619,CPD0695,CPD1868,CPD2685,CPD2790,CPD2813,CPD3342
MetaB_M049	CPD0299,CPD0680,CPD1174,CPD1728,CPD1911,CPD2027,CPD2311,CPD2592,CPD3171
MetaB_M050	CPD0448,CPD0451,CPD0462,CPD0541,CPD0742,CPD1088,CPD1124,CPD1535,CPD1579,CPD1620,CPD1798,CPD2384,CPD2401,CPD2582,CPD2622,CPD2827,CPD2970,CPD3043,CPD3339,CPD3482,CPD3504
MetaB_M051	CPD0175,CPD0303,CPD0575,CPD0684,CPD0786,CPD0796,CPD0872,CPD0920,CPD0941,CPD1109,CPD1141,CPD1239,CPD1310,CPD1343,CPD1344,CPD1465,CPD1466,CPD1503,CPD1540,CPD1592,CPD1758,CPD1839,CPD2108,CPD2111,CPD2275,CPD2441,CPD2492,CPD2855,CPD2969,CPD3378,CPD3394,CPD3415,CPD3459,CPD3506,CPD3527,CPD3615,CPD3620
MetaB_M052	CPD0039,CPD0168,CPD0266,CPD0302,CPD0526,CPD0547,CPD0586,CPD0696,CPD0715,CPD0724,CPD0730,CPD0756,CPD0763,CPD0790,CPD0804,CPD0842,CPD0889,CPD0940,CPD1019,CPD1024,CPD1048,CPD1057,CPD1059,CPD1062,CPD1071,CPD1172,CPD1219,CPD1286,CPD1340,CPD1483,CPD1490,CPD1500,CPD1562,CPD1582,CPD1623,CPD1672,CPD1683,CPD1726,CPD1800,CPD1829,CPD1853,CPD1877,CPD1892,CPD1958,CPD1981,CPD2011,CPD2035,CPD2081,CPD2082,CPD2115,CPD2162,CPD2188,CPD2247,CPD2257,CPD2276,CPD2288,CPD2306,CPD2317,CPD2333,CPD2359,CPD2378,CPD2641,CPD2788,CPD2823,CPD2842,CPD2853,CPD2897,CPD2929,CPD2975,CPD2985,CPD3021,CPD3033,CPD3048,CPD3187,CPD3203,CPD3362,CPD3369,CPD3381,CPD3405,CPD3406,CPD3422,CPD3441,CPD3481,CPD3497,CPD3518,CPD3519,CPD3545,CPD3573,CPD3634
MetaB_M053	CPD0011,CPD0173,CPD0254,CPD0613,CPD0631,CPD0731,CPD0788,CPD0931,CPD0955,CPD0977,CPD1115,CPD1543,CPD1548,CPD1580,CPD1648,CPD1703,CPD1725,CPD1733,CPD1755,CPD1805,CPD1835,CPD2164,CPD2409,CPD2616,CPD2663,CPD2745,CPD2870,CPD3472,CPD3479,CPD3589
MetaB_M054	CPD0594,CPD0635,CPD0995,CPD1316,CPD1400,CPD2236,CPD2324,CPD2499,CPD2579,CPD2605,CPD2958,CPD3149,CPD3212,CPD3328,CPD3502,CPD3567
MetaB_M055	CPD0063,CPD2811,CPD2878,CPD3259,CPD3530
MetaB_M056	CPD0169,CPD0457,CPD0744,CPD1136,CPD1571
MetaB_M057	CPD1489,CPD2524,CPD2585,CPD2924,CPD2990,CPD3488
MetaB_M058	CPD0863,CPD1382,CPD1439,CPD2583,CPD3098,CPD3312
MetaB_M059	CPD1300,CPD1368,CPD1674,CPD1812,CPD1979,CPD2287,CPD2397,CPD2463,CPD2507,CPD2528,CPD2580,CPD2693,CPD2725,CPD2999,CPD3012,CPD3041,CPD3071,CPD3180,CPD3181,CPD3211,CPD3279
MetaB_M060	CPD0249,CPD2117,CPD2289,CPD2426,CPD2502,CPD2532,CPD3250
MetaB_M061	CPD0150,CPD0207,CPD1112,CPD1319,CPD1351,CPD2059,CPD2203,CPD2231
MetaB_M062	CPD0525,CPD0576,CPD1358,CPD1512,CPD1711,CPD1889,CPD2212,CPD2733,CPD3189
MetaB_M063	CPD0623,CPD1386,CPD1952,CPD2241,CPD2326,CPD2513,CPD2684,CPD2825,CPD3128,CPD3265,CPD3569
MetaB_M064	CPD0035,CPD0597,CPD1217,CPD1295,CPD1413,CPD1789,CPD2047,CPD2266,CPD2471,CPD2558,CPD2905,CPD3487
MetaB_M065	CPD0505,CPD0516,CPD0537,CPD0734,CPD1017,CPD1661,CPD1675,CPD1761,CPD2540,CPD2620,CPD2898,CPD3022,CPD3148,CPD3291,CPD3532
MetaB_M066	CPD0036,CPD0171,CPD0189,CPD0314,CPD0315,CPD0531,CPD0817,CPD0891,CPD1206,CPD1721,CPD1811,CPD1909,CPD2160,CPD2307,CPD2336,CPD3002,CPD3106,CPD3293,CPD3327
MetaB_M067	CPD0475,CPD0641,CPD0737,CPD0755,CPD1162,CPD1224,CPD1484,CPD1917,CPD2215,CPD2452,CPD2656,CPD3245,CPD3356
