gene	Human_vs_Wild	Lab_vs_Wild
MetaB_M077	21.6795368267682	11.6428009758821
MetaB_M044	21.4494704611899	13.5841529941552
MetaB_M133	21.3295478998362	13.5375835300249
MetaB_M138	21.3295478998362	13.0993907150487
MetaB_M008	20.5738848261027	13.8828341751909
MetaB_M113	20.2618755218246	12.7099929761236
MetaB_M009	20.2344833159905	13.2904850961895
MetaB_M068	20.0795766068691	12.7049374126715
MetaB_M056	19.5573572674564	11.529401201898
MetaB_M084	19.5573572674564	11.6428009758821
MetaB_M049	18.4760075680828	11.4607380203671
MetaB_M051	18.092415532389	11.9418502928663
MetaB_M018	17.9451907572898	12.0140231093494
MetaB_M093	17.7303227124369	10.5184850653004
MetaB_M132	17.6979550006895	12.8307915300335
MetaB_M121	17.6729714319755	11.1854966522336
MetaB_M058	17.3670776564733	10.4807943905481
MetaB_M037	17.3480500696728	8.54608648184505
MetaB_M062	17.3437427815853	9.24844363427
MetaB_M001	17.1987350357335	9.76578704293169
MetaB_M082	16.65890522283	11.0477713406409
MetaB_M120	16.4120430014371	9.52724801861435
MetaB_M027	16.4027673963002	8.38645904108107
MetaB_M015	15.7363169323986	9.95901186465374
MetaB_M019	15.5937230763849	8.31789035637648
MetaB_M134	15.3535576594241	9.07357933221229
MetaB_M047	15.2724996989	7.99464787251544
MetaB_M042	15.2087483185976	7.16506819040601
MetaB_M094	15.1052712969752	8.38645904108107
MetaB_M025	14.7681486275604	7.78635703993855
MetaB_M016	14.7054988169381	7.01942866668747
MetaB_M118	14.6795072735583	6.77080576334435
MetaB_M066	14.621635208404	6.67913222394825
MetaB_M127	14.2523541843982	5.7153857076628
MetaB_M065	14.1007861052836	9.52724801861435
MetaB_M069	14.1007861052836	6.69221302653218
MetaB_M050	13.9323423499203	6.81391026989363
MetaB_M144	13.8071962844734	8.54724860177944
MetaB_M114	13.7254090138382	9.29524890042929
MetaB_M080	13.7182328613425	10.0168122804206
MetaB_M137	13.6497979452765	6.67913222394825
MetaB_M141	13.5255493517247	9.2965678391747
MetaB_M036	13.4825004499068	8.94826388047217
MetaB_M028	13.250450029984	7.03953409776698
MetaB_M074	13.1636703532879	8.63876791505848
MetaB_M003	11.2748160948558	1.71655539089339
MetaB_M092	11.1018573123302	4.99561301248442
MetaB_M140	11.0716261938701	6.55261923703558
MetaB_M131	10.8262642502214	6.52178457688442
MetaB_M089	10.5805991839052	6.13352273993681
MetaB_M030	10.3508598627155	2.22479296671869
MetaB_M123	9.69625809022569	5.58111527331469
MetaB_M091	9.43833064169169	6.19946783172673
MetaB_M052	8.74698310832114	5.11214932715477
MetaB_M024	8.30859947478402	5.91351760667902
MetaB_M071	8.09767685988088	3.41015801398288
MetaB_M045	7.97121659501683	4.54956907760494
MetaB_M013	7.810096950918	2.50888017086827
MetaB_M143	7.72285254510366	3.76803270120847
MetaB_M059	7.30219523463679	4.54773382563935
MetaB_M034	6.47704847840963	-0.180680045453263
MetaB_M038	6.34814697858347	2.14078107439186
MetaB_M022	6.12627354969233	2.41963793672707
MetaB_M046	5.77995072424321	0.935286810646408
MetaB_M081	5.73994491156608	1.18811182063654
MetaB_M115	5.72329741224492	0.0312434889800487
MetaB_M063	5.54442412063918	1.23784718220922
MetaB_M108	5.07527698865186	2.50888017086827
MetaB_M103	5.0328912151929	3.07915722402988
MetaB_M020	4.7344767937158	2.44095188032177
MetaB_M130	3.94785966596893	1.46705994227262
MetaB_M126	3.87534779146101	-0.610382980375396
MetaB_M040	3.6897013752313	1.31609586413809
MetaB_M023	3.03643514677249	0.272151074891716
MetaB_M104	2.88254949656699	0.26370853595843
MetaB_M004	2.84077458115176	-0.584760368982432
MetaB_M043	2.77005681011922	-0.191476838968266
MetaB_M039	2.68307782639046	0.697044467341908
MetaB_M072	2.65408945648039	1.15814926499965
MetaB_M086	2.46193283651888	0.54177614249173
MetaB_M112	2.4267367060263	1.23784718220922
MetaB_M002	2.06512688564687	-0.155202394984878
MetaB_M139	1.99811949836394	1.37685655384547
MetaB_M097	1.99061871078801	0.888904764562014
MetaB_M124	1.89096326688917	0.0312434889800487
MetaB_M035	1.73930959756931	0.486632400019401
MetaB_M090	1.73392886678412	-1.66940088076892
MetaB_M102	1.68643409279728	0.618948879029202
MetaB_M057	1.65996091426031	0.207457916808867
MetaB_M111	1.02110279127237	0.313710828158548
MetaB_M005	0.990677214493035	0.180680045453263
MetaB_M006	0.963240838851195	0.26481553458718
MetaB_M083	0.650638804008059	-0.486632400019401
MetaB_M116	0.510558344407492	-0.20204995634312
MetaB_M099	0.429993771566793	-4.12797687919632
MetaB_M119	0.222313384973228	-0.861486508259965
MetaB_M110	0.15084672401773	-1.69465383526144
MetaB_M053	0.0696402364612861	-0.40004994258752
MetaB_M012	0.0468111200952888	-2.2054876477704
MetaB_M073	-0.0372418011960383	-4.70299598757659
MetaB_M061	-0.0998315949037418	-1.56892251164024
MetaB_M107	-0.431469429586564	-0.85410891748151
MetaB_M136	-0.601846904534884	-1.21801549186745
MetaB_M060	-0.687766755243711	-6.58825430599326
MetaB_M088	-1.37564633054062	-7.27388445913477
MetaB_M007	-1.4868354724839	-2.90702477528651
MetaB_M076	-1.5303874341644	-3.93888052970439
MetaB_M029	-1.6721671634928	-8.69187398311302
MetaB_M017	-1.68144705155024	-6.93327756033191
MetaB_M070	-1.96233086021918	-2.55228658298445
MetaB_M101	-1.99136057823975	-1.17878667385401
MetaB_M055	-2.1756643491417	-6.42308021709615
MetaB_M041	-3.57389084649033	-6.30553350851364
MetaB_M106	-3.85856529563515	-3.49454349565251
MetaB_M033	-3.95869442950428	-5.45466481842639
MetaB_M098	-4.12313215586355	-4.99888799006457
MetaB_M048	-4.17868003978346	-5.49302966993461
MetaB_M109	-4.51958153558106	-5.2855153471584
MetaB_M054	-5.18456019012966	-7.51430763746457
MetaB_M125	-5.43448941330259	-4.88250072641194
MetaB_M021	-5.86199961921929	-7.16506819040601
MetaB_M142	-6.06526291517845	-11.8882352005771
MetaB_M079	-6.10067436447723	-8.31789035637648
MetaB_M135	-6.35233686856688	-7.63794290830173
MetaB_M067	-6.38106021658443	-8.3237413468294
MetaB_M075	-7.16731764045542	-9.76578704293169
MetaB_M011	-7.24179549736168	-7.50002579324944
MetaB_M064	-7.269128839761	-9.17635143337123
MetaB_M122	-7.33372065311987	-9.76578704293169
MetaB_M078	-7.8927104322478	-9.76578704293169
MetaB_M095	-8.70930131140491	-7.49790495608987
MetaB_M087	-8.76439560018211	-9.52724801861435
MetaB_M032	-9.26214542132923	-11.2347665728718
MetaB_M105	-9.51323741921685	-9.76448189003671
MetaB_M026	-9.90953384565091	-12.7324556120322
MetaB_M100	-10.4543221810691	-9.36778355163154
MetaB_M031	-11.119682041873	-13.0171366282266
MetaB_M117	-11.5210654247559	-15.5259400731806
MetaB_M085	-12.849804608534	-13.5841529941552
MetaB_M096	-13.1636703532879	-13.9576941236748
MetaB_M128	-13.2154562898099	-16.3030483205127
MetaB_M014	-13.2991257416115	-11.795628763896
MetaB_M010	-15.9228194002537	-15.3700852362944
MetaB_M129	-16.5332579505778	-17.4502919099722
