Lab_vs_Wild_down	Lab_vs_Human_down
ko04814	ko03015
ko04392	ko03010
ko00380	ko00750
ko04820	ko03420
ko04745	
ko03015	
ko04980	
ko00360	
ko03008	
ko05100	
ko03273	
ko04624	
ko04120	
ko04382	
ko03010	
ko03440	
ko03082	
ko03040	
ko00330	
ko03410	
ko04350	
ko01210	
ko03420	
ko04137	
ko03050	
ko03430	
ko03265	
ko04512	
ko03030	
ko00350	
ko00534	
ko03266	
ko00785	
ko04214	
ko00750	
ko00910	
ko04215	
