module	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
M174	0.259158179993516	0.156701060282758	0.127363343840236	0.0223095967152495	0.167233501643471	0.13678424014276	-0.365281760876561	-0.263671182599919	-0.282409000212874	-0.280540332500763	-0.395782071332418	-0.320473746535186	0.0593010764892576	-0.0619108894802625	0.154420757606377	0.047110695904752	0.0742484002556237	0.045222919664131	0.042792985989522	0.291850301973462	0.0332786233376998	-0.0443621989562398	0.113463001379918	0.283192497275493
M040	0.0349488238770697	0.120876680341501	-0.0458366318462553	0.190521381336353	0.109364843613912	0.158602230175293	-0.382490707198128	-0.293728157058964	-0.282409618490126	-0.27287034803874	-0.38363083290356	-0.320659655670929	-0.041493587965252	0.101916168325907	0.00462081562269543	0.151171441951475	0.142570136013214	0.183017602810812	0.290151729882791	0.249535586771372	0.0946029843068483	0.039890667103202	0.161154032506958	-0.00982558546745012
M074	-0.130467158578722	0.0694423494156182	-0.0885327724612704	0.187758897233237	-0.0266947519506012	-0.00798033601735817	-0.278334934283146	-0.392373151682463	-0.363763372607648	-0.272488892736894	-0.239846290874906	-0.2974986280926	0.122404876386263	-0.021401087829876	0.126573921003169	0.234909281964507	0.141961953454571	0.16134468811527	0.262345407546413	0.144668592328379	0.273074305211089	0.158860913687082	0.11589397807646	0.120142212693427
M006	-0.076651233731212	0.026391905724218	0.0373748523094122	0.0418076533748993	-0.0534705413874929	-0.134173308474881	-0.293748486957786	-0.258769539967565	-0.307107037175978	-0.296784905982954	-0.322577613958428	-0.332218254773103	0.288597314020921	0.11710933692902	0.261712424930063	0.256555856314192	0.195202182725422	-0.0409993362966827	0.207584635929615	0.171099096091467	0.209530226988266	0.122149393403667	0.0732509483033316	0.108134431661591
M129	-0.126369198437276	0.269767037260074	-0.00707024677858489	0.0954013983036635	-0.0474047250906145	0.0120965692534836	-0.31823431293104	-0.209195915263988	-0.295914041317736	-0.251802249375428	-0.401721104194181	-0.343022122214187	0.0720336741681037	0.180504038572321	0.0121742020806355	0.0569797595437841	0.0518343883684502	0.156885327260439	0.124734024908809	0.350436977206086	0.0885791978319132	0.0822749297109249	0.264122574355141	0.182909816779206
M064	0.0285924680584489	0.0700273692091056	-0.0184017982407482	0.0878038611283188	0.3580639275897	0.336683863694795	-0.33775149008763	-0.306834080438812	-0.38119207064257	-0.336738397964377	-0.124214050008116	-0.31548646636095	-0.0359615746661019	0.0393061713258665	0.00182854778518242	0.135095904893286	0.163272917526026	0.163313447096377	0.208586710153475	0.105850999974509	0.122435002943565	0.111423389864042	0.00322536996068335	-0.0789300227940801
M007	0.254541146247396	0.165896755167945	0.157815529540361	0.118026154165014	0.340703186891784	0.332194488354944	-0.317600376872302	-0.293122232032899	-0.270959792759614	-0.257418566819005	-0.373286665809536	-0.317210975125424	0.0453151838600788	-0.0342729971874889	-0.0189505704930114	0.0693380814525586	-0.0444132599391809	0.0333455918728809	0.174041982755767	0.065848792050747	0.155925738117402	0.0611716928830559	-0.00452640683438645	-0.0424024794870838
M146	0.20516604399695	0.0866679147252664	0.0646564186787656	0.250044483005302	0.0483516815909237	-0.0996752619331525	-0.236720209034288	-0.362220465310504	-0.346607546052588	-0.296092696192007	-0.184634055537696	-0.340858348286347	0.257229642733382	0.0724396551509846	0.258161719697516	0.183344745366939	0.165455995641158	-0.194262969135547	0.227802166898183	0.0165044435713074	0.164043844301421	0.0525966214654546	-0.0566341236151037	0.0652402982736761
M134	0.298926860799303	0.0373045375493777	0.137599690635672	0.0706490310456506	0.331570418158514	0.324787414839152	-0.291318443350114	-0.302815000673644	-0.281692425536493	-0.303611999640676	-0.290104505965714	-0.311611383825002	0.178530705973441	-0.00215660734675402	0.143978541028903	0.138772264161593	0.0707721823027978	-0.107035596188468	0.0916015212049019	-0.00127274392594989	0.186164896190513	-0.00600698065228447	-0.093523024056481	-0.0195093527282385
M183	0.252458575190661	-0.0855585347544386	-0.0519166727361934	0.0500269024643393	0.351821087223629	0.259527841533734	-0.281477300277928	-0.326913982063311	-0.32232690883348	-0.354372326800538	-0.234853778175514	-0.285224899782555	0.0430754253760349	0.068085812852812	0.0594144957024929	0.168107851973339	0.140014659091971	0.0626796682832542	0.255155429611003	0.0924779008815162	0.169686710010304	-0.077504925631759	-0.0437280459073294	0.0913450147679527
