ID	AB1	AB10	AB2	AB3	AB4	AB5	AB6	AB7	AB8	AB9	CB1	CB10	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	FB1	FB10	FB2	FB3	FB4	FB5	FB6	FB7	FB8	FB9	HB1	HB10	HB2	HB3	HB4	HB5	HB6	HB7	HB8	HB9	WB1	WB10	WB2	WB3	WB4	WB5	WB6	WB7	WB8	WB9
neg_2208	18.1840085199782	18.1243834147841	17.1786024173466	18.2048707149798	17.6008888620179	17.980557985566	17.7646506073701	17.8591353990827	18.0622543794186	17.3514180174862	16.9451422183965	18.5529711646818	19.7037947781532	17.5659105027699	19.4588421102908	20.7803223235284	19.8066059981855	19.5667778183439	19.9722540125517	20.1184587313281	18.3567138716668	17.4482708308011	19.3866267456746	16.0116066659097	17.9764265087374	19.195498682562	17.0109026037761	20.6754446428874	19.1976240249565	18.3251499821431	20.6662276520194	20.1232051151958	21.0033876323477	17.2364781333586	17.0552940285398	18.404850037866	24.9313847154315	20.602127362804	17.0175222150296	22.9981672100723	19.3531236612691	19.1104555262197	17.8177452268035	19.9034795882996	15.8098876049835	16.2823151343885	16.9637196131724	20.6671467134379	17.6828676141849	21.0611714380153
neg_22468	21.1750463476996	21.2840538088237	22.0812549392786	21.3249753249725	21.6869007086859	21.3245291967069	21.7705961734644	21.7637266414593	21.2198479521148	21.8390468795728	21.7166401057136	21.3156976287538	20.167613015337	22.0379810219998	18.8207879561487	20.6189584502808	22.9388238903715	22.9543379981376	20.6052702287616	21.8303958803468	20.4127906470757	20.4109809079677	18.3254375751461	19.6946026020864	19.9064393436844	21.644489471286	20.307981891049	25.1047267573125	19.1289317530168	23.6274316935023	22.9772854810949	22.7362701783302	19.6600431762735	25.8676124375508	20.8763449305686	23.0162663775161	20.4348947931845	21.768221377329	24.0216186166247	22.6775653571706	22.1058435575907	21.0665999813569	25.0529876387478	22.2051285594659	19.9245533959491	20.1773885130548	20.5331641506638	21.7263400324469	21.2447296827863	23.4041546876453
neg_23480	18.4747236042683	18.7635287806017	18.6277782094975	19.2086244134456	18.7178236236335	18.807204333344	18.5809097645463	18.9943286759618	18.7789970366384	18.6231025509362	21.360904705762	21.6110818185124	19.7417385884862	20.5767617102447	20.1338904219217	20.3564749817755	22.6590814255441	22.2919240623988	21.8547830642675	20.1659690240124	19.8939882393898	19.8001170255499	20.0594076267331	19.2731558004148	20.8812369382714	20.6745761546228	21.8802776537558	20.9903781177186	21.099276785982	22.888092160121	20.7365679757517	20.7543353137465	19.5750948918499	22.1897726702628	20.1787032197348	21.347045633551	21.1278018327122	20.049780945461	20.8878858366718	21.2730005784947	21.1802428386007	21.1705793349224	21.7162452444492	21.6557040777075	19.4640995443847	19.7579078941442	21.8435616140116	20.0132438011487	20.1140054630612	20.8417153458607
neg_4949	17.8126658863222	17.896086404285	18.7284526827904	17.9351074215863	18.3506740358197	17.979230537388	18.4304046002887	18.4089500511864	17.8485882778514	18.484111309159	18.3494971106089	17.91810003683	16.8081067545613	18.6848759253426	15.5252554475405	17.2959142573576	19.5751483704252	19.5606030406615	17.251054944084	18.4667325158968	17.0525852969011	17.0484105119042	15.1414702577754	16.2832236993816	16.5362849421863	18.2877838497931	16.9836645331254	21.7506123325058	15.8995753769599	20.2394827305933	19.6587521995494	19.3861801578009	16.3844190537594	22.5346539216116	17.4844813101856	19.6519844561208	17.1344804172624	18.4097891107643	20.6758645380873	19.3118442840482	18.7260600694669	17.7006396070201	21.7068410537894	18.7879545382275	16.5610093316492	16.7922449784286	17.1666897802996	18.3208833424951	17.8995111841429	20.0504366669847
neg_17905	21.4986428937934	21.2157928427695	21.3932460927275	22.6131178671729	21.2934131285357	21.0508821435645	21.4267595135055	21.7489748733912	22.0178012929237	21.3063292614722	14.854661576469	15.5467061103737	11.9445585511491	14.4173449644907	14.1897318368052	14.0262038520744	16.0050240098574	17.1893704993746	16.2483523652059	13.5694916010644	13.6734602303669	13.148009817236	13.0867960976198	12.7130257008984	14.59641648516	15.3670763577347	16.3718502503604	15.3869968422504	14.4975601799144	17.5271922876121	13.6585800147996	14.050247308497	15.1044150050352	18.6040611632601	15.312523617304	16.8305868150833	15.5257872297872	14.5056258414911	16.8785572787097	16.8158362973288	15.7903604479665	15.0003626710502	15.381700113177	12.4500155524241	12.0690010517202	12.9772925026581	17.0725378864124	14.0261484244773	15.2952593676475	16.4343661351889
neg_20252	15.6396159318787	15.5361433524793	15.6158087397958	16.4919096435133	15.3677448173474	15.430325432087	15.6507111821461	15.8188916948777	15.9740902248152	15.4431690434442	19.244619778958	17.1892160493188	17.5509247631483	15.2157692732782	19.3898465810297	18.1612232873604	17.3955487777185	18.6987807769358	16.790455863716	17.62912128844	16.6094459762248	16.7833502757641	15.8162957747523	16.6402274363203	18.1472600208622	19.0977429786866	15.8964154749889	20.3616540502689	17.4951537843802	20.9524714978611	18.2971297072411	19.3375046318723	16.9007594035617	19.1755868109082	20.2833826210216	18.6849989404081	21.0983553054413	17.4830249865801	19.8902492605484	19.5472495617761	18.0212472263587	18.2569495922322	19.3984461473584	17.5750716083968	15.0636913881722	16.4611653757702	19.4235623410796	17.9946353000661	17.7931785902451	18.7935116015687
neg_23059	24.7437531694971	24.5121375751637	24.7197522365026	25.1578732786292	24.265024175094	24.363565660662	24.693520990188	24.6909894020771	24.9940918069953	24.5672521426167	19.2205590179392	20.313591362521	16.9101342583294	18.7730454204429	18.4298788666969	18.5691084802377	20.4415072722617	20.5728429207554	19.7783978077195	16.9946069525456	17.6081277805474	17.6113196818174	16.0241600434065	14.7560337700675	17.4469657198686	19.0267885048994	20.3304008003351	21.4369237878948	18.635434271163	19.8392307410167	17.1639619938991	17.988842193941	16.3381186921108	19.8173924131705	18.6791230223163	20.0704868783942	16.1937142743068	16.6633389162744	18.9313170922987	19.4726265826853	19.2483738414349	20.3748189679864	17.4711702518213	16.2938780053716	19.3533427768878	17.8490836824668	19.1953888185351	14.8966083534977	18.6016378074021	20.2276020260853
neg_2465	18.3796245500773	18.5848848545645	18.3371701973246	18.724042197953	18.4371193385197	18.5708452797149	18.3889175818591	18.6778806367196	18.537069245142	18.3355066503701	19.6532835712359	19.5347535719793	18.0430048972894	18.5650374997215	19.1311335954535	19.3147446821519	20.1282886742328	20.4290069038754	19.0542814103474	19.0726032245595	18.3013045042038	17.7423577284237	19.2211186297408	18.0649231477081	18.6204601227902	20.9138548184304	19.0618067196984	21.252608522316	20.7484750226709	21.2942122863927	19.3205021093439	19.65752513406	19.2149832810839	21.309628433458	19.4700654634389	20.9764457529043	19.7768151562241	19.0275278927387	20.0892125007582	20.7544606497302	19.3382103405244	19.4060075746476	20.3593169365608	20.4477865621406	17.8106287607893	18.2152290658691	19.8973630189443	19.3846976693739	18.9249791905025	19.4482256383664
neg_11502	19.5368301347835	20.0504094638044	17.2121155632655	18.5460050656841	17.9753530149635	20.1336423364803	18.570744592813	18.3015031313089	19.5886876429827	17.7075113560958	14.5167402310442	18.0576528434346	14.7316111355286	16.0580955664625	16.7459301496723	14.4271576910708	16.1978038788984	19.0603994928028	15.7866912694238	14.5429014714146	15.3600887929159	13.1932415058915	16.521133263202	16.0127606058332	16.396218285241	16.4197440484764	16.4875678474904	19.9008168831813	15.8222671925015	17.6263707601002	13.048595366472	13.7980887657579	14.3098738189809	17.3856539957443	15.1786851302051	15.1310292666571	17.7342418809545	12.2467390611019	15.9836189432612	15.9128127090266	15.7739142675095	15.5734112830715	16.4109327325596	16.1931960799133	12.0581247237052	12.3972725050746	14.8773542470094	16.9303964830006	14.0852189967942	18.7186422443016
neg_15318	13.6720256813087	14.2046483080309	12.7772945750755	13.34127770485	13.8818058762305	14.1307627841265	13.1795887259341	13.2932038891061	13.6362149382584	13.3547009979632	6.79717366461603	9.37267492366078	9.88351435342494	10.2674935912712	12.8102474393621	10.2981838555732	13.5598345024364	10.1348822379106	8.2258651414771	10.0106974554422	10.7855168844844	8.78837054858553	9.14798160219996	9.43920606049798	11.0955533680441	20.7389276488107	8.58557015535732	13.6712391460984	8.10780155761415	11.8832674995223	4.99499587718312	8.38444971407396	6.12471728589847	9.03600455973546	9.20369820308844	8.35182367832722	10.2611030229264	7.83368250799554	1.24630825051139	9.48459333889009	12.0150793016697	5.91111740513335	9.25593176535205	10.876255815851	11.27536643819	10.4740563610423	10.6334855499335	9.0393126672101	9.10278846505864	9.14878080088436
