module_ID	module_name	category_C	category_B
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Other carbohydrate metabolism	Carbohydrate metabolism
M00063	CMP-3-deoxy-D-manno-octulosonate biosynthesis, ribulose-5P => CMP-KDO	Nucleotide sugar biosynthesis	Glycan metabolism
M00064	ADP-L-glycero-D-manno-heptose biosynthesis, sedoheptulose-7P => ADP-LDmanHep	Nucleotide sugar biosynthesis	Glycan metabolism
M00065	GPI-anchor biosynthesis, core oligosaccharide	Glycan biosynthesis	Glycan metabolism
M00066	Lactosylceramide biosynthesis	Lipid metabolism	Lipid metabolism
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid	Lipid metabolism	Lipid metabolism
M00068	Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer	Glycan biosynthesis	Glycan metabolism
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	Glycan biosynthesis	Glycan metabolism
M00070	Glycosphingolipid biosynthesis, lacto-series, LacCer => Lc4Cer	Glycan biosynthesis	Glycan metabolism
M00071	Glycosphingolipid biosynthesis, neolacto-series, LacCer => nLc4Cer	Glycan biosynthesis	Glycan metabolism
M00072	N-glycosylation by oligosaccharyltransferase	Glycan biosynthesis	Glycan metabolism
M00073	N-glycan precursor trimming	Glycan biosynthesis	Glycan metabolism
M00074	N-glycan biosynthesis, high-mannose type	Glycan biosynthesis	Glycan metabolism
M00075	N-glycan biosynthesis, complex type	Glycan biosynthesis	Glycan metabolism
M00076	Dermatan sulfate degradation	Glycosaminoglycan metabolism	Glycan metabolism
M00077	Chondroitin sulfate degradation	Glycosaminoglycan metabolism	Glycan metabolism
M00078	Heparan sulfate degradation	Glycosaminoglycan metabolism	Glycan metabolism
M00079	Keratan sulfate degradation	Glycosaminoglycan metabolism	Glycan metabolism
M00081	Pectin degradation	Other carbohydrate metabolism	Carbohydrate metabolism
M00082	Fatty acid biosynthesis, initiation	Fatty acid metabolism	Lipid metabolism
M00083	Fatty acid biosynthesis, elongation	Fatty acid metabolism	Lipid metabolism
M00085	Fatty acid elongation in mitochondria	Fatty acid metabolism	Lipid metabolism
M00086	beta-Oxidation, acyl-CoA synthesis	Fatty acid metabolism	Lipid metabolism
M00087	beta-Oxidation	Fatty acid metabolism	Lipid metabolism
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	Lipid metabolism	Lipid metabolism
M00089	Triacylglycerol biosynthesis	Lipid metabolism	Lipid metabolism
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC	Lipid metabolism	Lipid metabolism
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC	Lipid metabolism	Lipid metabolism
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE	Lipid metabolism	Lipid metabolism
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Lipid metabolism	Lipid metabolism
M00094	Ceramide biosynthesis	Lipid metabolism	Lipid metabolism
M00095	C5 isoprenoid biosynthesis, mevalonate pathway	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00096	C5 isoprenoid biosynthesis, non-mevalonate pathway	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00097	beta-Carotene biosynthesis, GGAP => beta-carotene	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides
M00098	Acylglycerol degradation	Lipid metabolism	Lipid metabolism
M00099	Sphingosine biosynthesis	Lipid metabolism	Lipid metabolism
M00100	Sphingosine degradation	Lipid metabolism	Lipid metabolism
M00101	Cholesterol biosynthesis, FPP => cholesterol	Sterol biosynthesis	Lipid metabolism
M00102	Ergocalciferol biosynthesis, FPP => ergosterol/ergocalciferol	Sterol biosynthesis	Lipid metabolism
M00103	Cholecalciferol biosynthesis	Sterol biosynthesis	Lipid metabolism
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	Sterol biosynthesis	Lipid metabolism
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate	Sterol biosynthesis	Lipid metabolism
M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone	Sterol biosynthesis	Lipid metabolism
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	Sterol biosynthesis	Lipid metabolism
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	Sterol biosynthesis	Lipid metabolism
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	Sterol biosynthesis	Lipid metabolism
M00112	Tocopherol/tocotorienol biosynthesis, homogentisate + phytyl/geranylgeranyl-PP => tocopherol/tocotorienol	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00113	Jasmonic acid biosynthesis	Lipid metabolism	Lipid metabolism
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate	Other carbohydrate metabolism	Carbohydrate metabolism
