module_ID	module_name	category_C	category_B
M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites
M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites
M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	Drug resistance	Gene set
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	Drug resistance	Gene set
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	Drug resistance	Gene set
M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	Biosynthesis of beta-lactams	Biosynthesis of other secondary metabolites
M00740	Methylaspartate cycle	Other carbohydrate metabolism	Carbohydrate metabolism
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA	Other carbohydrate metabolism	Carbohydrate metabolism
M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N	Nucleotide sugar biosynthesis	Glycan metabolism
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	Arginine and proline metabolism	Amino acid metabolism
M00773	Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin	Macrolide biosynthesis	Biosynthesis of terpenoids and polyketides
M00774	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B	Macrolide biosynthesis	Biosynthesis of terpenoids and polyketides
M00775	Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin	Macrolide biosynthesis	Biosynthesis of terpenoids and polyketides
M00776	Pikromycin/methymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin	Macrolide biosynthesis	Biosynthesis of terpenoids and polyketides
M00777	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	Macrolide biosynthesis	Biosynthesis of terpenoids and polyketides
M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00782	Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00784	Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00785	Cycloserine biosynthesis, arginine/serine => cycloserine	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00786	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites
M00787	Bacilysin biosynthesis, prephenate => bacilysin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00788	Terpentecin biosynthesis, GGAP => terpentecin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00789	Rebeccamycin biosynthesis, tryptophan => rebeccamycin	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00793	dTDP-L-rhamnose biosynthesis, glucose-1P => dTDP-L-Rha	Nucleotide sugar biosynthesis	Glycan metabolism
M00794	dTDP-6-deoxy-D-allose biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00795	dTDP-beta-L-noviose biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00796	dTDP-D-mycaminose biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00797	dTDP-D-desosamine biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00798	dTDP-L-mycarose biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00799	dTDP-L-oleandrose biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00800	dTDP-L-megosamine biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00801	dTDP-L-olivose biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00802	dTDP-D-forosamine biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00803	dTDP-D-angolosamine biosynthesis	Polyketide sugar unit biosynthesis	Biosynthesis of terpenoids and polyketides
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate	Nitrogen metabolism	Energy metabolism
M00805	Staurosporine biosynthesis, tryptophan => staurosporine	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00808	Violacein biosynthesis, tryptophan => violacein	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00815	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline	Type II polyketide biosynthesis	Biosynthesis of terpenoids and polyketides
M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00825	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00827	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00828	Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(4-hydroxyphenyl)-3-oxopropanoyl-PCP	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00829	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00834	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	Enediyne biosynthesis	Biosynthesis of terpenoids and polyketides
M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00837	Prodigiosin biosynthesis, L-proline => prodigiosin	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00838	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00844	Arginine biosynthesis, ornithine => arginine	Arginine and proline metabolism	Amino acid metabolism
M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	Arginine and proline metabolism	Amino acid metabolism
M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00847	Heme biosynthesis, archaea, siroheme => heme	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00848	Aurachin biosynthesis, anthranilate => aurachin A	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	Terpenoid backbone biosynthesis	Biosynthesis of terpenoids and polyketides
M00850	Vibrio cholerae pathogenicity signature, cholera toxins	Pathogenicity	Gene set
M00851	Carbapenem resistance	Drug resistance	Gene set
M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus	Pathogenicity	Gene set
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	Other carbohydrate metabolism	Carbohydrate metabolism
M00855	Glycogen degradation, glycogen => glucose-6P	Other carbohydrate metabolism	Carbohydrate metabolism
M00861	beta-Oxidation, peroxisome, VLCFA	Fatty acid metabolism	Lipid metabolism
M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	Sterol biosynthesis	Lipid metabolism
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Lipopolysaccharide metabolism	Glycan metabolism
M00867	KDO2-lipid A modification pathway	Lipopolysaccharide metabolism	Glycan metabolism
M00868	Heme biosynthesis, animals and fungi, glycine => heme	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00872	O-glycan biosynthesis, mannose type (core M3)	Glycan biosynthesis	Glycan metabolism
M00873	Fatty acid biosynthesis in mitochondria, animals	Fatty acid metabolism	Lipid metabolism
M00874	Fatty acid biosynthesis in mitochondria, fungi	Fatty acid metabolism	Lipid metabolism
M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	Aromatics degradation	Xenobiotics biodegradation
M00879	Arginine succinyltransferase pathway, arginine => glutamate	Arginine and proline metabolism	Amino acid metabolism
M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00881	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00882	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00884	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00885	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)	Fatty acid metabolism	Lipid metabolism
M00886	Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)	Fatty acid metabolism	Lipid metabolism
M00887	Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM	Fatty acid metabolism	Lipid metabolism
M00888	Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5	Other polysaccharide metabolism	Glycan metabolism
M00889	Puromycin biosynthesis, ATP => puromycin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00890	Roseoflavin biosynthesis, FMN => roseoflavin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00891	Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites
M00892	UDP-GlcNAc biosynthesis, eukaryotes, Fru-6P => UDP-GlcNAc	Nucleotide sugar biosynthesis	Glycan metabolism
M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites
M00894	Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00897	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00898	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00899	Thiamine salvage pathway, HMP/HET => TMP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00900	Crocin biosynthesis, crocetin => crocin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00901	Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites
M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00903	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00904	Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00905	Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00906	Ethynylserine biosynthesis, lysine => ethynylserine	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00909	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	Nucleotide sugar biosynthesis	Glycan metabolism
M00910	Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	Aromatic amino acid metabolism	Amino acid metabolism
M00911	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00912	NAD biosynthesis, tryptophan => quinolinate => NAD	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00915	Caffeine degradation, caffeine => xanthine	Aromatics degradation	Xenobiotics biodegradation
M00916	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	Sterol biosynthesis	Lipid metabolism
M00918	Aerobactin biosynthesis, lysine => aerobactin	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00919	Ectoine degradation, ectoine => aspartate	Serine and threonine metabolism	Amino acid metabolism
M00921	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	Biosynthesis of other bacterial compounds	Biosynthesis of other secondary metabolites
M00922	CMP-Neu5Ac biosynthesis, bacteria, UDP-GlcNAc => CMP-Neu5Ac	Nucleotide sugar biosynthesis	Glycan metabolism
M00923	UDP-L-FucNAm biosynthesis, UDP-GlcNAc => UDP-L-FucNAm	Nucleotide sugar biosynthesis	Glycan metabolism
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00927	Gibberellin A12 biosynthesis, GAPP => GA12	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides
M00928	Gibberellin A4/A1 biosynthesis, GA12/GA53 => GA4/GA1	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides
M00929	Gibberellin A1 biosynthesis, GGPP => GA1	Plant terpenoid biosynthesis	Biosynthesis of terpenoids and polyketides
M00930	Menaquinone biosynthesis, futalosine pathway	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00931	Menaquinone biosynthesis, modified futalosine pathway	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00933	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00934	Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II	Macrolide biosynthesis	Biosynthesis of terpenoids and polyketides
M00935	Methanofuran biosynthesis	Methane metabolism	Energy metabolism
M00936	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	Aromatic amino acid metabolism	Amino acid metabolism
M00937	Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1	Biosynthesis of other fungal compounds	Biosynthesis of other secondary metabolites
M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	Pyrimidine metabolism	Nucleotide metabolism
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	Pyrimidine metabolism	Nucleotide metabolism
M00940	Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00941	Isoflavone biosynthesis, liquiritigenin/naringenin => daidzein/genistein	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00942	Pterocarpan biosynthesis, daidzein => medicarpin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00943	Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00944	Morphine biosynthesis, (S)-reticuline => morphine	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00945	Sanguinarine biosynthesis, (S)-reticuline => sanguinarine	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00946	Noscapine biosynthesis, (S)-reticuline => noscapine	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00947	D-Arginine racemization, D-arginine => L-arginine	Other amino acid metabolism	Amino acid metabolism
M00948	Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	Other amino acid metabolism	Amino acid metabolism
M00949	Staphylopine biosynthesis, L-histidine => staphylopine	Other amino acid metabolism	Amino acid metabolism
M00950	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00951	Cremeomycin biosynthesis, aspartate/3,4-AHBA => cremeomycin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00952	Benzoxazinoid biosynthesis, indoleglycerol phosphate => DIMBOA-glucoside	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00953	Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00955	CMP-Neu5Ac/Neu5Gc biosynthesis, animals, UDP-GlcNAc => CMP-Neu5Ac => CMP-Neu5Gc	Nucleotide sugar biosynthesis	Glycan metabolism
M00956	Lysine degradation, bacteria, L-lysine => succinate	Lysine metabolism	Amino acid metabolism
M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA	Lysine metabolism	Amino acid metabolism
M00958	Adenine ribonucleotide degradation, AMP => Urate	Purine metabolism	Nucleotide metabolism
M00959	Guanine ribonucleotide degradation, GMP => Urate	Purine metabolism	Nucleotide metabolism
M00960	Lysine degradation, bacteria, L-lysine => D-lysine => succinate	Lysine metabolism	Amino acid metabolism
M00961	Betacyanin biosynthesis, L-tyrosine => amaranthin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00962	Psilocybin biosynthesis, tryptophan => psilocybin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00963	Chanoclavine aldehyde biosynthesis, tryptophan => chanoclavine-I aldehyde	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00964	Fumigaclavine biosynthesis, chanoclavine-I aldehyde => fumigaclavine C	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00965	Vinblastine biosynthesis, geissoschizine => vinblastine	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00966	Equol biosynthesis, daidzein => equol	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00967	Flavone degradation, luteolin/apigenin => DHCA/phloretate	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate	Other carbohydrate metabolism	Carbohydrate metabolism
M00969	Fumagillin biosynthesis, farnesyl-PP => fumagillin	Biosynthesis of other antibiotics	Biosynthesis of other secondary metabolites
M00970	Proline degradation, proline => glutamate	Arginine and proline metabolism	Amino acid metabolism
M00971	QS-7 biosynthesis, 2,3-epoxysqualene => QS-7	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00972	Proline metabolism	Arginine and proline metabolism	Amino acid metabolism
M00973	Anammox, nitrite + ammonia => nitrogen	Nitrogen metabolism	Energy metabolism
M00974	Betaine metabolism, animals, betaine => glycine	Serine and threonine metabolism	Amino acid metabolism
M00975	Betaine degradation, bacteria, betaine => pyruvate	Serine and threonine metabolism	Amino acid metabolism
M00976	C19-Steroid hormone biosynthesis, pregnenolone => testosterone => dihydrotestosterone	Sterol biosynthesis	Lipid metabolism
M00977	C19-Steroid hormone biosynthesis (androgen backdoor pathway), pregnenolone => androsterone => dihydrotestosterone	Sterol biosynthesis	Lipid metabolism
M00978	Ornithine-ammonia cycle	Arginine and proline metabolism	Amino acid metabolism
M00979	Ajmaline biosynthesis, geissoschizine => ajmaline	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00980	Strychnine biosynthesis, geissoschizine => strychnine	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00981	Geissoschizine biosynthesis, tryptophan => geissoschizine	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00982	Methylcitrate cycle	Other carbohydrate metabolism	Carbohydrate metabolism
M00983	GPI-anchor remodeling	Glycan biosynthesis	Glycan metabolism
M00984	Sulfur oxidation, tetrathionate intermediate (S4I) pathway, thiosulfate => sulfur + sulfate + thiosulfate	Sulfur metabolism	Energy metabolism
M00985	Sulfide oxidation, sulfide => sulfur	Sulfur metabolism	Energy metabolism
M00986	Sulfur reduction, sulfur => sulfide	Sulfur metabolism	Energy metabolism
M00987	Assimilatory sulfate reduction, plants, sulfate => H2S	Sulfur metabolism	Energy metabolism
M00988	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00989	Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00990	Dimethylsulfoniopropionate (DMSP) degradation, demethylation pathway, DMSP => methanethiol	Sulfur metabolism	Energy metabolism
M00991	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acetyl-CoA	Sulfur metabolism	Energy metabolism
M00992	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => acrylate => acetyl-CoA	Sulfur metabolism	Energy metabolism
M00993	Dimethylsulfoniopropionate (DMSP) degradation, cleavage pathway, DMSP => propionyl-CoA	Sulfur metabolism	Energy metabolism
M00994	UDP-GlcA biosynthesis, myo-inositol => GlcA => UDP-GlcA	Nucleotide sugar biosynthesis	Glycan metabolism
M00995	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	Nucleotide sugar biosynthesis	Glycan metabolism
M00996	UDP-MurNAc biosynthesis, anhMurNAc => UDP-MurNAc	Nucleotide sugar biosynthesis	Glycan metabolism
M00997	UDP-Xyl/L-Ara biosynthesis, UDP-Glc => UDP-Xyl => UDP-L-Ala	Nucleotide sugar biosynthesis	Glycan metabolism
M00998	UDP-L-Ara biosynthesis, L-Ala => UDP-L-Ala	Nucleotide sugar biosynthesis	Glycan metabolism
M00999	UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA	Nucleotide sugar biosynthesis	Glycan metabolism
