gene_set	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko00980	0.145333542	0.183613585	0.2264817	0.211941321	0.182399834	0.134327376	0.168730352	0.161398914	0.180368445	0.16988913	0.201354354	0.190121609	0.164151696	0.133412827	0.176897882	0.131595499	0.129107041	0.197573027	0.164730849	0.206027499	0.16249467	0.160278322	0.149866876	0.15104028
ko00981	0.094159885	0.168450617	0.136616337	0.144859245	0.097033399	0.180551544	0.223406258	0.170534307	0.219544358	0.261564086	0.155073053	0.178511373	0.124864767	0.141452555	0.11936334	0.156032578	0.135036615	0.189065487	0.191547134	0.147427917	0.140253872	0.151997285	0.158993214	0.188034826
ko00982	0.120283009	0.157836233	0.193555893	0.171017206	0.156145807	0.117580799	0.124282985	0.12285261	0.13347677	0.134692478	0.169066793	0.150308634	0.12606203	0.096941408	0.1344671	0.095149932	0.102400305	0.172192906	0.121955103	0.167909837	0.110865247	0.116083502	0.10137701	0.100080824
ko00983	0.163751068	0.170180259	0.179236716	0.15844588	0.148774698	0.142445922	0.159870324	0.125814223	0.18199337	0.157054703	0.182768871	0.160868643	0.150258668	0.133970916	0.159473007	0.139632646	0.118889181	0.166511199	0.151534654	0.169188023	0.149300239	0.149621417	0.098905679	0.128542897
ko01040	0.099579941	0.134195253	0.221043949	0.155954296	0.238311522	0.093841614	0.252938818	0.204959075	0.241529446	0.2784327	0.211930639	0.226171622	0.210513622	0.151602342	0.138428963	0.173528281	0.144145191	0.208502702	0.214090656	0.245987687	0.229499341	0.208604339	0.17400987	0.224930559
ko01100	0.184926793	0.220835891	0.216041283	0.219700931	0.20013717	0.198135463	0.193193104	0.174219496	0.196362311	0.185312229	0.186127583	0.181597426	0.206075737	0.2032537	0.21722636	0.210062099	0.18181749	0.205002008	0.206275733	0.191586326	0.202634293	0.194791186	0.180938978	0.207833723
ko01200	0.248694163	0.325657273	0.298567909	0.313995266	0.29840915	0.274247248	0.312616777	0.281067201	0.294620928	0.29168515	0.305367218	0.296211631	0.31524302	0.314414882	0.33252317	0.328804915	0.296832974	0.322277892	0.360282276	0.333882511	0.345903631	0.335273066	0.338831026	0.352726883
ko01210	0.191288162	0.22923815	0.224492934	0.240858403	0.241785346	0.205858884	0.214045816	0.182056183	0.198865845	0.189195654	0.199582209	0.217286434	0.281402461	0.278972384	0.316899076	0.289594523	0.252581785	0.272277034	0.246880481	0.226251742	0.233788273	0.233698537	0.225910969	0.233669419
ko01212	0.162845673	0.203301725	0.233369421	0.2086716	0.232041949	0.173653551	0.268751983	0.23985338	0.266495053	0.274681939	0.255304826	0.25924065	0.259577284	0.234942594	0.238907472	0.247275973	0.212753305	0.246205898	0.290553906	0.284953467	0.292578163	0.283625535	0.246488593	0.302885031
ko01230	0.221727633	0.299627169	0.275490134	0.272102061	0.25333557	0.250670366	0.245090574	0.205289061	0.199494041	0.210836515	0.250159027	0.239846287	0.225945416	0.223448492	0.26330319	0.227984529	0.215144606	0.246494639	0.303536735	0.259053683	0.285770602	0.238013253	0.285311824	0.274718848
ko01232	0.145032051	0.182657719	0.139802134	0.17161958	0.127606065	0.155087936	0.076755373	0.073231748	0.104554325	0.067730782	0.095167278	0.080571854	0.124467872	0.107404736	0.138549662	0.115699035	0.103665558	0.101440544	0.1231927	0.112941358	0.132788799	0.111749211	0.101096304	0.106146324
ko01240	0.161315004	0.211019564	0.209471431	0.200459604	0.184107173	0.18610222	0.17176036	0.160550372	0.171874417	0.156493397	0.178646398	0.179159891	0.196309852	0.196656659	0.212820568	0.203634096	0.172400272	0.185992878	0.166618186	0.144279025	0.163705574	0.154302277	0.137520988	0.171723825
