pathway	cpd
ko00904	C21656
ko00904	C21709
ko00904	C21714
ko00904	C21735
ko00904	C21796
ko00904	C21818
ko00904	C21819
ko00904	C21822
ko00904	C21823
ko00904	C21824
ko00904	C21825
ko00904	C21826
ko00904	C21830
ko00904	C21831
ko00905	C01789
ko00905	C08814
ko00905	C15784
ko00905	C15785
ko00905	C15786
ko00905	C15787
ko00905	C15788
ko00905	C15789
ko00905	C15790
ko00905	C15791
ko00905	C15792
ko00905	C15793
ko00905	C15794
ko00905	C15795
ko00905	C15796
ko00905	C15797
ko00905	C15798
ko00905	C15799
ko00905	C15800
ko00905	C15801
ko00905	C15802
ko00905	C15803
ko00905	C16251
ko00905	C16252
ko00905	C16253
ko00905	C17733
ko00905	C17735
ko00905	C19873
ko00905	C19874
ko00906	C00353
ko00906	C00448
ko00906	C02094
ko00906	C03427
ko00906	C03428
ko00906	C05413
ko00906	C05414
ko00906	C05421
ko00906	C05430
ko00906	C05431
ko00906	C05432
ko00906	C05433
ko00906	C05434
ko00906	C05435
ko00906	C06082
ko00906	C06098
ko00906	C08579
ko00906	C08580
ko00906	C08583
ko00906	C08584
ko00906	C08585
ko00906	C08586
ko00906	C08590
ko00906	C08591
ko00906	C08592
ko00906	C08601
ko00906	C08606
ko00906	C08607
ko00906	C08613
ko00906	C08614
ko00906	C09190
ko00906	C09707
ko00906	C13431
ko00906	C13433
ko00906	C13453
ko00906	C13454
ko00906	C13455
ko00906	C13456
ko00906	C15514
ko00906	C15857
ko00906	C15858
ko00906	C15859
ko00906	C15860
ko00906	C15861
ko00906	C15864
ko00906	C15867
ko00906	C15874
ko00906	C15877
ko00906	C15878
ko00906	C15879
ko00906	C15881
ko00906	C15884
ko00906	C15885
ko00906	C15886
ko00906	C15887
ko00906	C15888
ko00906	C15892
ko00906	C15895
ko00906	C15898
ko00906	C15900
ko00906	C15902
ko00906	C15903
ko00906	C15905
ko00906	C15908
ko00906	C15911
ko00906	C15914
ko00906	C15917
ko00906	C15935
ko00906	C15937
ko00906	C15940
ko00906	C15941
ko00906	C15942
ko00906	C15943
ko00906	C15965
ko00906	C15966
ko00906	C15967
ko00906	C15968
ko00906	C15969
ko00906	C15970
ko00906	C15971
ko00906	C15981
ko00906	C15982
ko00906	C15983
ko00906	C15984
ko00906	C16144
ko00906	C16145
ko00906	C16146
ko00906	C16147
ko00906	C16148
ko00906	C16270
ko00906	C16271
ko00906	C16274
ko00906	C16275
ko00906	C16276
ko00906	C16277
ko00906	C16278
ko00906	C16279
ko00906	C16280
ko00906	C16282
ko00906	C16284
ko00906	C16291
ko00906	C16340
ko00906	C16486
ko00906	C18036
ko00906	C18037
ko00906	C19759
ko00906	C19764
ko00906	C19765
ko00906	C19795
ko00906	C19797
ko00906	C19798
ko00906	C19892
ko00906	C20484
ko00906	C20692
ko00906	C20693
ko00906	C21770
ko00906	C22058
ko00906	C22059
ko00906	C22060
ko00906	C22346
ko00906	C22347
ko00906	C22348
ko00906	C22349
ko00907	C00024
ko00907	C00630
ko00907	C00808
ko00907	C00809
ko00907	C01291
ko00907	C01499
ko00907	C01500
ko00907	C01920
ko00907	C02759
ko00907	C02952
ko00907	C03037
ko00907	C03069
ko00907	C03448
ko00907	C04435
ko00907	C04675
ko00907	C07160
ko00907	C09847
ko00907	C09848
ko00907	C09849
ko00907	C09871
ko00907	C09880
ko00907	C09884
ko00907	C11384
ko00907	C11386
ko00907	C11938
ko00907	C11939
ko00907	C11940
ko00907	C11941
ko00907	C11942
ko00907	C11943
ko00907	C11944
ko00907	C11945
ko00907	C11946
ko00907	C11947
ko00907	C11948
ko00907	C11949
ko00907	C11950
ko00907	C16461
ko00907	C16462
ko00907	C16464
ko00907	C16465
ko00907	C16466
ko00907	C16468
ko00907	C16469
ko00907	C16470
ko00907	C16471
ko00907	C20271
ko00907	C20320
ko00907	C20321
ko00907	C20322
ko00907	C20323
ko00907	C20324
ko00907	C21929
ko00907	C21930
ko00907	C22610
ko00908	C00002
ko00908	C00008
ko00908	C00015
ko00908	C00019
ko00908	C00020
ko00908	C00029
ko00908	C00033
ko00908	C00147
ko00908	C00170
ko00908	C00190
ko00908	C00235
ko00908	C00371
ko00908	C00979
ko00908	C01513
ko00908	C01804
ko00908	C02029
ko00908	C03300
ko00908	C03423
ko00908	C04083
ko00908	C04432
ko00908	C04713
ko00908	C07330
ko00908	C15545
ko00908	C15546
ko00908	C16424
ko00908	C16426
ko00908	C16427
ko00908	C16428
ko00908	C16429
ko00908	C16430
ko00908	C16431
ko00908	C16441
ko00908	C16443
ko00908	C16445
ko00908	C16447
ko00908	C16448
ko00908	C16449
ko00908	C16467
ko00908	C17324
ko00909	C00448
ko00909	C00751
ko00909	C01054
ko00909	C01126
ko00909	C01841
ko00909	C01860
ko00909	C02004
ko00909	C03220
ko00909	C03428
ko00909	C03461
ko00909	C06079
ko00909	C06080
ko00909	C06083
ko00909	C06309
ko00909	C06310
ko00909	C06394
ko00909	C07667
ko00909	C08615
ko00909	C08616
ko00909	C08628
ko00909	C08637
ko00909	C09382
ko00909	C09627
ko00909	C09629
ko00909	C09665
ko00909	C09666
ko00909	C09672
ko00909	C09684
ko00909	C09699
ko00909	C09704
ko00909	C09723
ko00909	C09737
ko00909	C12142
ko00909	C16028
ko00909	C16141
ko00909	C16142
ko00909	C16143
ko00909	C16269
ko00909	C16286
ko00909	C16775
ko00909	C16814
ko00909	C16829
ko00909	C17277
ko00909	C17953
ko00909	C17954
ko00909	C17955
ko00909	C18245
ko00909	C19676
ko00909	C19678
ko00909	C19708
ko00909	C19711
ko00909	C19732
ko00909	C19736
ko00909	C19740
ko00909	C19742
ko00909	C19746
ko00909	C19747
ko00909	C19748
ko00909	C19749
ko00909	C19752
ko00909	C19753
ko00909	C19755
ko00909	C19801
ko00909	C19819
ko00909	C19820
ko00909	C19828
ko00909	C19829
ko00909	C19832
ko00909	C19833
ko00909	C19834
ko00909	C19835
ko00909	C19863
ko00909	C19908
ko00909	C19918
ko00909	C19939
ko00909	C19973
ko00909	C19974
ko00909	C20159
ko00909	C20163
ko00909	C20181
ko00909	C20187
ko00909	C20191
ko00909	C20192
ko00909	C20193
ko00909	C20195
ko00909	C20200
ko00909	C20478
ko00909	C20479
ko00909	C20724
ko00910	C00007
ko00910	C00011
ko00910	C00014
ko00910	C00025
ko00910	C00058
ko00910	C00064
ko00910	C00088
ko00910	C00169
ko00910	C00192
ko00910	C00244
ko00910	C00288
ko00910	C00488
ko00910	C00533
ko00910	C00697
ko00910	C00726
ko00910	C00887
ko00910	C01417
ko00910	C01563
ko00910	C05361
ko00910	C06058
ko00920	C00033
ko00920	C00042
ko00920	C00053
ko00920	C00054
ko00920	C00059
ko00920	C00065
ko00920	C00073
ko00920	C00084
ko00920	C00087
ko00920	C00094
ko00920	C00097
ko00920	C00155
ko00920	C00224
ko00920	C00245
ko00920	C00263
ko00920	C00283
ko00920	C00320
ko00920	C00409
ko00920	C00511
ko00920	C00580
ko00920	C00894
ko00920	C00979
ko00920	C01013
ko00920	C01118
ko00920	C01180
ko00920	C01861
ko00920	C02084
ko00920	C03172
ko00920	C03920
ko00920	C04022
ko00920	C08276
ko00920	C11142
ko00920	C11143
ko00920	C11145
ko00920	C15521
ko00920	C17267
ko00920	C19692
ko00920	C20870
ko00920	C20955
ko00920	C22315
ko00920	C22316
ko00920	C22834
ko00920	C23001
ko00920	C23002
ko00930	C00414
ko00930	C00571
ko00930	C00854
ko00930	C01147
ko00930	C01255
ko00930	C01880
ko00930	C02232
ko00930	C02378
ko00930	C02824
ko00930	C03241
ko00930	C03739
ko00930	C04277
ko00930	C06102
ko00930	C06103
ko00930	C06104
ko00930	C06105
ko00930	C06593
ko00930	C11249
ko00930	C11519
ko00930	C11520
ko00930	C12313
ko00930	C14143
ko00930	C14144
ko00930	C14145
ko00930	C20988
ko00930	C20990
ko00940	C00079
ko00940	C00082
ko00940	C00223
ko00940	C00315
ko00940	C00323
ko00940	C00406
ko00940	C00411
ko00940	C00423
ko00940	C00482
ko00940	C00540
ko00940	C00590
ko00940	C00761
ko00940	C00811
ko00940	C00852
ko00940	C00903
ko00940	C00933
ko00940	C01175
ko00940	C01197
ko00940	C01494
ko00940	C01533
ko00940	C02325
ko00940	C02646
ko00940	C02666
ko00940	C02887
ko00940	C02947
ko00940	C04366
ko00940	C05608
ko00940	C05610
ko00940	C05619
ko00940	C05627
ko00940	C05855
ko00940	C06224
ko00940	C10428
ko00940	C10434
ko00940	C10452
ko00940	C10453
ko00940	C10454
ko00940	C10469
ko00940	C10478
ko00940	C10945
ko00940	C12203
ko00940	C12204
ko00940	C12205
ko00940	C12206
ko00940	C12208
ko00940	C15804
ko00940	C15805
ko00940	C15806
ko00940	C15807
ko00940	C16930
ko00940	C18069
ko00940	C18070
ko00940	C18071
ko00940	C18072
ko00940	C18073
ko00940	C20225
ko00940	C20464
ko00940	C20465
ko00941	C00223
ko00941	C00323
ko00941	C00389
ko00941	C00406
ko00941	C00509
ko00941	C00540
ko00941	C00774
ko00941	C00852
ko00941	C00974
ko00941	C01378
ko00941	C01460
ko00941	C01477
ko00941	C01514
ko00941	C01604
ko00941	C01617
ko00941	C01709
ko00941	C02906
ko00941	C02947
ko00941	C03648
ko00941	C05334
ko00941	C05631
ko00941	C05903
ko00941	C05904
ko00941	C05905
ko00941	C05906
ko00941	C05907
ko00941	C05908
ko00941	C05909
ko00941	C05911
ko00941	C06561
ko00941	C06562
ko00941	C08578
ko00941	C08650
ko00941	C09099
ko00941	C09320
ko00941	C09614
ko00941	C09727
ko00941	C09736
ko00941	C09751
ko00941	C09756
ko00941	C09762
ko00941	C09789
ko00941	C09806
ko00941	C09826
ko00941	C09827
ko00941	C09833
ko00941	C10028
ko00941	C10044
ko00941	C10107
ko00941	C10192
ko00941	C10434
ko00941	C12123
ko00941	C12124
ko00941	C12127
ko00941	C12128
ko00941	C12136
ko00941	C12208
ko00941	C15525
ko00941	C16404
ko00941	C16405
ko00941	C16406
ko00941	C16407
ko00941	C16408
ko00941	C16409
ko00941	C16410
ko00941	C16415
ko00941	C16416
ko00941	C16417
ko00941	C16418
ko00941	C16419
ko00941	C16422
ko00941	C16492
ko00941	C21913
ko00941	C22048
ko00942	C05904
ko00942	C05905
ko00942	C05908
ko00942	C08604
ko00942	C08620
ko00942	C08639
ko00942	C08641
ko00942	C08725
ko00942	C12095
ko00942	C12096
ko00942	C12137
ko00942	C12138
ko00942	C12139
ko00942	C12140
ko00942	C12141
ko00942	C12640
ko00942	C12641
ko00942	C12642
ko00942	C12643
ko00942	C12644
ko00942	C12645
ko00942	C12646
ko00942	C12647
ko00942	C16288
ko00942	C16289
ko00942	C16290
ko00942	C16292
ko00942	C16293
ko00942	C16294
ko00942	C16295
ko00942	C16296
ko00942	C16297
ko00942	C16298
ko00942	C16299
ko00942	C16301
ko00942	C16302
ko00942	C16303
ko00942	C16304
ko00942	C16305
ko00942	C16306
ko00942	C16307
ko00942	C16312
ko00942	C16313
ko00942	C16314
ko00942	C16315
ko00942	C16349
ko00942	C16350
ko00942	C16351
ko00942	C16354
ko00942	C16367
ko00942	C16368
ko00942	C16369
ko00942	C16370
ko00942	C16371
ko00942	C16372
ko00942	C16373
ko00942	C19762
ko00942	C20469
ko00942	C20489
ko00942	C20490
ko00942	C20491
ko00942	C20492
ko00942	C20493
ko00942	C20494
ko00942	C20495
ko00942	C20496
ko00943	C00509
ko00943	C00786
ko00943	C00814
ko00943	C00858
ko00943	C01263
ko00943	C01477
ko00943	C01562
ko00943	C01701
ko00943	C02495
ko00943	C02675
ko00943	C02920
ko00943	C03567
ko00943	C04271
ko00943	C05376
ko00943	C06563
ko00943	C07593
ko00943	C09126
ko00943	C09762
ko00943	C10200
ko00943	C10205
ko00943	C10208
ko00943	C10216
ko00943	C10422
ko00943	C10502
ko00943	C10503
ko00943	C10509
ko00943	C10516
ko00943	C10520
ko00943	C10521
ko00943	C10522
ko00943	C10538
ko00943	C12123
ko00943	C12125
ko00943	C12134
ko00943	C12135
ko00943	C12625
ko00943	C12631
ko00943	C14314
ko00943	C14536
ko00943	C15509
ko00943	C15510
ko00943	C15511
ko00943	C15567
ko00943	C16187
ko00943	C16188
ko00943	C16189
ko00943	C16190
ko00943	C16191
ko00943	C16192
ko00943	C16195
ko00943	C16197
ko00943	C16222
ko00943	C16223
ko00943	C16224
ko00943	C16225
ko00943	C16226
ko00943	C16227
ko00943	C16228
ko00943	C16229
ko00943	C16230
ko00943	C16231
ko00943	C16232
ko00943	C16233
ko00943	C19727
ko00944	C00389
ko00944	C00616
ko00944	C01155
ko00944	C01156
ko00944	C01265
ko00944	C01460
ko00944	C01470
ko00944	C01477
ko00944	C01514
ko00944	C01714
ko00944	C01750
ko00944	C03515
ko00944	C03897
ko00944	C03898
ko00944	C03951
ko00944	C04024
ko00944	C04199
ko00944	C04293
ko00944	C04443
ko00944	C04444
ko00944	C04608
ko00944	C04858
ko00944	C04900
ko00944	C05622
ko00944	C05623
ko00944	C05625
ko00944	C05903
ko00944	C10098
ko00944	C10107
ko00944	C10175
ko00944	C11620
ko00944	C12249
ko00944	C12626
ko00944	C12627
ko00944	C12628
ko00944	C12629
ko00944	C12630
ko00944	C12632
ko00944	C12633
ko00944	C12634
ko00944	C12635
ko00944	C12636
ko00944	C12637
ko00944	C12638
ko00944	C12667
ko00944	C12668
ko00944	C16490
ko00944	C16911
ko00944	C19796
ko00944	C21833
ko00944	C21854
ko00945	C00223
ko00945	C00323
ko00945	C00406
ko00945	C00540
ko00945	C00852
ko00945	C01745
ko00945	C02947
ko00945	C03582
ko00945	C05901
ko00945	C10287
ko00945	C10434
ko00945	C10443
ko00945	C10462
ko00945	C12208
ko00945	C17740
ko00945	C17741
ko00945	C17742
ko00945	C17743
ko00945	C17744
ko00945	C17745
ko00945	C17746
ko00945	C17747
ko00945	C17748
ko00945	C17749
ko00945	C17750
ko00945	C22988
ko00946	C00036
ko00946	C00389
ko00946	C00509
ko00946	C00642
ko00946	C00774
ko00946	C00974
ko00946	C01161
ko00946	C01477
ko00946	C01514
ko00946	C01617
ko00946	C01744
ko00946	C02183
ko00946	C05623
ko00946	C05625
ko00946	C05631
ko00946	C05903
ko00946	C06563
ko00946	C09099
ko00946	C09126
ko00946	C09789
ko00946	C10208
ko00946	C10216
ko00946	C10447
ko00946	C10524
ko00946	C12088
ko00946	C14131
ko00946	C14458
ko00946	C22552
ko00946	C22553
ko00946	C22556
ko00946	C22557
ko00946	C22558
ko00946	C22559
ko00946	C22560
ko00946	C22567
ko00946	C22568
ko00946	C22569
ko00946	C22570
ko00946	C22571
ko00946	C22572
ko00950	C00082
ko00950	C00355
ko00950	C00483
ko00950	C00757
ko00950	C00811
ko00950	C01179
ko00950	C01516
ko00950	C01735
ko00950	C01795
ko00950	C01852
ko00950	C02105
ko00950	C02106
ko00950	C02134
ko00950	C02890
ko00950	C02915
ko00950	C02916
ko00950	C03329
ko00950	C03758
ko00950	C03765
ko00950	C04043
ko00950	C04118
ko00950	C05174
ko00950	C05175
ko00950	C05176
ko00950	C05177
ko00950	C05178
ko00950	C05179
ko00950	C05189
ko00950	C05190
ko00950	C05191
ko00950	C05193
ko00950	C05194
ko00950	C05202
ko00950	C05220
ko00950	C05243
ko00950	C05247
ko00950	C05315
ko00950	C05316
ko00950	C05322
ko00950	C06160
ko00950	C06161
ko00950	C06162
ko00950	C06163
ko00950	C06165
ko00950	C06167
ko00950	C06171
ko00950	C06172
ko00950	C06173
ko00950	C06174
ko00950	C06175
ko00950	C06327
ko00950	C06511
ko00950	C06512
ko00950	C06516
ko00950	C06517
ko00950	C06518
ko00950	C06520
ko00950	C06533
ko00950	C06546
ko00950	C07304
ko00950	C07307
ko00950	C07547
ko00950	C07592
ko00950	C08521
ko00950	C08526
ko00950	C08527
ko00950	C08532
ko00950	C09248
ko00950	C09328
ko00950	C09330
ko00950	C09337
ko00950	C09390
ko00950	C09421
ko00950	C09464
ko00950	C09541
ko00950	C09581
ko00950	C09592
ko00950	C09593
ko00950	C09654
ko00950	C11250
ko00950	C11813
ko00950	C11814
ko00950	C11815
ko00950	C11816
ko00950	C11817
ko00950	C11818
ko00950	C12162
ko00950	C12173
ko00950	C12180
ko00950	C12193
ko00950	C12231
ko00950	C15530
ko00950	C16700
ko00950	C16701
ko00950	C16702
ko00950	C16703
ko00950	C16704
ko00950	C16705
ko00950	C16706
ko00950	C16707
ko00950	C16708
ko00950	C16709
ko00950	C16710
ko00950	C16712
ko00950	C16713
ko00950	C16714
ko00950	C17591
ko00950	C17592
ko00950	C20297
ko00950	C20299
ko00950	C21405
ko00950	C21406
ko00950	C21566
ko00950	C21583
ko00950	C21584
ko00950	C21586
ko00950	C21587
ko00950	C21588
ko00950	C21589
ko00950	C21590
ko00950	C21591
ko00950	C21599
ko00950	C21600
ko00950	C21630
ko00950	C21631
ko00950	C21633
ko00950	C21634
ko00950	C21635
ko00950	C21637
ko00950	C21639
ko00950	C22694
ko00960	C00047
ko00960	C00079
ko00960	C00134
ko00960	C00166
ko00960	C00253
ko00960	C00407
ko00960	C00408
ko00960	C00450
ko00960	C00729
ko00960	C00745
ko00960	C00783
ko00960	C01004
ko00960	C01416
ko00960	C01456
ko00960	C01479
ko00960	C01672
ko00960	C01746
ko00960	C01851
ko00960	C02046
ko00960	C02066
ko00960	C02621
ko00960	C02723
ko00960	C03239
ko00960	C03325
ko00960	C03882
ko00960	C04076
ko00960	C04092
ko00960	C04170
ko00960	C05607
ko00960	C06176
ko00960	C06177
ko00960	C06178
ko00960	C06179
ko00960	C06180
ko00960	C06181
ko00960	C06182
ko00960	C06183
ko00960	C06184
ko00960	C06185
ko00960	C06366
ko00960	C06521
ko00960	C06524
ko00960	C07475
ko00960	C10126
ko00960	C10157
ko00960	C10171
ko00960	C10173
ko00960	C10763
ko00960	C10772
ko00960	C10773
ko00960	C10783
ko00960	C10850
ko00960	C10858
ko00960	C10860
ko00960	C10865
ko00960	C12440
ko00960	C12448
ko00960	C12449
ko00960	C12450
ko00960	C12452
ko00960	C12453
ko00960	C12454
ko00960	C12455
ko00960	C15612
ko00960	C16257
ko00960	C16671
ko00960	C16697
ko00960	C16933
ko00960	C18158
ko00960	C22421
ko00960	C22430
ko00960	C22466
ko00960	C23039
ko00965	C00082
ko00965	C00355
ko00965	C03758
ko00965	C05587
ko00965	C05604
ko00965	C08537
ko00965	C08538
ko00965	C08539
ko00965	C08540
ko00965	C08542
ko00965	C08543
ko00965	C08544
ko00965	C08552
ko00965	C08557
ko00965	C08565
ko00965	C17751
ko00965	C17752
ko00965	C17753
ko00965	C17754
ko00965	C17755
ko00965	C17756
ko00965	C17757
ko00965	C17758
ko00966	C00073
ko00966	C00078
ko00966	C00079
ko00966	C00082
ko00966	C00123
ko00966	C00141
ko00966	C00183
ko00966	C00233
ko00966	C00407
ko00966	C00671
ko00966	C01069
ko00966	C01180
ko00966	C02153
ko00966	C02937
ko00966	C03219
ko00966	C03719
ko00966	C04350
ko00966	C05837
ko00966	C08401
ko00966	C08407
ko00966	C08409
ko00966	C08412
ko00966	C08417
ko00966	C08418
ko00966	C08426
ko00966	C16516
ko00966	C16517
ko00966	C16518
ko00966	C17210
ko00966	C17211
ko00966	C17212
ko00966	C17213
ko00966	C17214
ko00966	C17215
ko00966	C17216
ko00966	C17217
ko00966	C17218
ko00966	C17219
ko00966	C17220
ko00966	C17221
ko00966	C17222
ko00966	C17223
ko00966	C17224
ko00966	C17225
ko00966	C17226
ko00966	C17227
ko00966	C17228
ko00966	C17229
ko00966	C17230
ko00966	C17231
ko00966	C17232
ko00966	C17233
ko00966	C17235
ko00966	C17236
ko00966	C17237
ko00966	C17238
ko00966	C17239
ko00966	C17240
ko00966	C17241
ko00966	C17242
ko00966	C17243
ko00966	C17244
ko00966	C17245
ko00966	C17246
ko00966	C17248
ko00966	C17249
ko00966	C17250
ko00966	C17251
ko00966	C17252
ko00966	C17253
ko00966	C17254
ko00966	C17255
ko00966	C17256
ko00966	C19491
ko00966	C19714
ko00966	C21650
ko00966	C21746
ko00970	C00025
ko00970	C00037
ko00970	C00041
ko00970	C00047
ko00970	C00049
ko00970	C00062
ko00970	C00064
ko00970	C00065
ko00970	C00073
ko00970	C00078
ko00970	C00079
ko00970	C00082
ko00970	C00097
ko00970	C00101
ko00970	C00123
ko00970	C00135
ko00970	C00148
ko00970	C00152
ko00970	C00183
ko00970	C00188
ko00970	C00234
ko00970	C00407
ko00970	C00886
ko00970	C01005
ko00970	C01931
ko00970	C02047
ko00970	C02163
ko00970	C02282
ko00970	C02412
ko00970	C02430
ko00970	C02553
ko00970	C02554
ko00970	C02702
ko00970	C02839
ko00970	C02984
ko00970	C02987
ko00970	C02988
ko00970	C02992
ko00970	C03125
ko00970	C03127
ko00970	C03294
ko00970	C03402
ko00970	C03511
ko00970	C03512
ko00970	C06112
ko00970	C06113
ko00970	C06481
ko00970	C06482
ko00970	C16138
ko00970	C16638
ko00970	C17022
ko00970	C17027
ko00980	C00745
ko00980	C00829
ko00980	C02617
ko00980	C03012
ko00980	C06205
ko00980	C06755
ko00980	C06790
ko00980	C06800
ko00980	C06899
ko00980	C07490
ko00980	C07535
ko00980	C11036
ko00980	C11088
ko00980	C11148
ko00980	C11149
ko00980	C11150
ko00980	C11278
ko00980	C11713
ko00980	C11714
ko00980	C14039
ko00980	C14040
ko00980	C14453
ko00980	C14556
ko00980	C14783
ko00980	C14784
ko00980	C14785
ko00980	C14786
ko00980	C14787
ko00980	C14788
ko00980	C14789
ko00980	C14790
ko00980	C14791
ko00980	C14792
ko00980	C14793
ko00980	C14796
ko00980	C14797
ko00980	C14798
ko00980	C14799
ko00980	C14800
ko00980	C14801
ko00980	C14802
ko00980	C14803
ko00980	C14804
ko00980	C14805
ko00980	C14806
ko00980	C14839
ko00980	C14840
ko00980	C14841
ko00980	C14842
ko00980	C14843
ko00980	C14844
ko00980	C14845
ko00980	C14846
ko00980	C14847
ko00980	C14848
ko00980	C14849
ko00980	C14850
ko00980	C14851
ko00980	C14852
ko00980	C14853
ko00980	C14854
ko00980	C14855
ko00980	C14856
ko00980	C14857
ko00980	C14858
ko00980	C14859
ko00980	C14860
ko00980	C14861
ko00980	C14862
ko00980	C14863
ko00980	C14864
ko00980	C14865
ko00980	C14866
ko00980	C14867
ko00980	C14868
ko00980	C14869
ko00980	C14870
ko00980	C14871
ko00980	C14872
ko00980	C14873
ko00980	C14874
ko00980	C14875
ko00980	C14876
ko00980	C14877
ko00980	C16453
ko00980	C16756
ko00980	C19488
ko00980	C19489
ko00980	C19490
ko00980	C19559
ko00980	C19561
ko00980	C19562
ko00980	C19563
ko00980	C19564
ko00980	C19565
ko00980	C19566
ko00980	C19567
ko00980	C19568
ko00980	C19569
ko00980	C19574
ko00980	C19577
ko00980	C19578
ko00980	C19579
ko00980	C19580
ko00980	C19581
ko00980	C19582
ko00980	C19585
ko00980	C19586
ko00980	C19588
ko00980	C19589
ko00980	C19590
ko00980	C19591
ko00980	C19592
ko00980	C19594
ko00980	C19595
ko00980	C19602
ko00980	C19603
ko00980	C19604
ko00980	C19605
ko00980	C19606
ko00980	C19607
ko00981	C00187
ko00981	C00448
ko00981	C00477
ko00981	C01126
ko00981	C01164
ko00981	C02513
ko00981	C02633
ko00981	C03461
ko00981	C09694
ko00981	C16493
ko00981	C16494
ko00981	C16495
ko00981	C16496
ko00981	C16497
ko00981	C16498
ko00981	C16499
ko00981	C16500
ko00981	C16502
ko00981	C16503
ko00981	C16504
ko00981	C16505
ko00981	C16506
ko00981	C16507
ko00981	C16508
ko00981	C16509
ko00982	C01471
ko00982	C01516
ko00982	C05011
ko00982	C06174
ko00982	C06754
ko00982	C06868
ko00982	C07047
ko00982	C07073
ko00982	C07108
ko00982	C07163
ko00982	C07185
ko00982	C07492
ko00982	C07493
ko00982	C07495
ko00982	C07496
ko00982	C07501
ko00982	C07572
ko00982	C07643
ko00982	C07644
ko00982	C07645
ko00982	C07646
ko00982	C07647
ko00982	C07888
ko00982	C08012
ko00982	C11004
ko00982	C11583
ko00982	C11785
ko00982	C16544
ko00982	C16545
ko00982	C16546
ko00982	C16547
ko00982	C16548
ko00982	C16549
ko00982	C16550
ko00982	C16551
ko00982	C16552
ko00982	C16553
ko00982	C16554
ko00982	C16555
ko00982	C16556
ko00982	C16557
ko00982	C16558
ko00982	C16559
ko00982	C16560
ko00982	C16561
ko00982	C16569
ko00982	C16570
ko00982	C16571
ko00982	C16572
ko00982	C16576
ko00982	C16577
ko00982	C16578
ko00982	C16582
ko00982	C16584
ko00982	C16586
ko00982	C16587
ko00982	C16591
ko00982	C16592
ko00982	C16595
ko00982	C16596
ko00982	C16601
ko00982	C16602
ko00982	C16603
ko00982	C16604
ko00982	C16605
ko00982	C16606
ko00982	C16607
ko00982	C16608
ko00982	C16609
ko00982	C16610
ko00982	C16612
ko00982	C16643
ko00982	C16648
ko00982	C16649
ko00982	C16650
ko00982	C16651
ko00982	C16652
ko00982	C16653
ko00982	C16654
ko00982	C16655
ko00982	C16656
ko00982	C16657
ko00982	C16658
ko00982	C16659
ko00982	C16660
ko00982	C16661
ko00982	C16662
ko00983	C00003
ko00983	C00006
ko00983	C02320
ko00983	C02380
ko00983	C04242
ko00983	C04646
ko00983	C05361
ko00983	C06108
ko00983	C06837
ko00983	C07054
ko00983	C07446
ko00983	C07447
ko00983	C07585
ko00983	C07648
ko00983	C07649
ko00983	C11173
ko00983	C11376
ko00983	C11736
ko00983	C12650
ko00983	C12673
ko00983	C12739
ko00983	C13252
ko00983	C16542
ko00983	C16543
ko00983	C16613
ko00983	C16614
ko00983	C16615
ko00983	C16616
ko00983	C16617
ko00983	C16618
ko00983	C16619
ko00983	C16620
ko00983	C16621
ko00983	C16622
ko00983	C16623
ko00983	C16624
ko00983	C16625
ko00983	C16630
ko00983	C16631
ko00983	C16632
ko00983	C16633
ko00983	C16634
ko00983	C16635
ko00983	C16641
ko00983	C21748
ko00983	C21749
ko00983	C21750
ko00983	C21751
ko00983	C21754
ko00983	C21758
ko00983	C21759
ko00983	C21760
ko00984	C00022
ko00984	C00024
ko00984	C00091
ko00984	C00100
ko00984	C00187
ko00984	C00280
ko00984	C00479
ko00984	C00535
ko00984	C00599
ko00984	C00674
ko00984	C01227
ko00984	C04793
ko00984	C04844
ko00984	C06762
ko00984	C07635
ko00984	C11354
ko00984	C14909
ko00984	C19944
ko00984	C20144
ko00984	C20199
ko00984	C20252
ko00984	C20838
ko00984	C20839
ko00984	C20840
ko00984	C21076
ko00984	C21906
ko00984	C23003
ko00984	C23004
ko00984	C23005
ko00984	C23006
ko00984	C23007
ko00984	C23009
ko00984	C23010
ko00984	C23011
ko00984	C23012
ko00984	C23013
ko00984	C23014
ko00984	C23015
ko00984	C23016
ko00984	C23017
ko00984	C23018
ko00984	C23019
ko00984	C23020
ko00984	C23021
ko00984	C23022
ko00984	C23023
ko00984	C23024
ko00984	C23025
ko00984	C23026
ko00996	C00024
ko00996	C00074
ko00996	C00078
ko00996	C00079
ko00996	C00083
ko00996	C00108
ko00996	C00180
ko00996	C00187
ko00996	C00223
ko00996	C00251
ko00996	C00254
ko00996	C00323
ko00996	C00406
ko00996	C00423
ko00996	C00493
ko00996	C00630
ko00996	C00751
ko00996	C00755
ko00996	C00805
ko00996	C01054
ko00996	C01197
ko00996	C01494
ko00996	C01575
ko00996	C01897
ko00996	C02765
ko00996	C03005
ko00996	C03470
ko00996	C04351
ko00996	C06332
ko00996	C06528
ko00996	C06543
ko00996	C06866
ko00996	C07303
ko00996	C08300
ko00996	C08301
ko00996	C08624
ko00996	C08627
ko00996	C08748
ko00996	C08794
ko00996	C08795
ko00996	C08796
ko00996	C08797
ko00996	C08800
ko00996	C10632
ko00996	C10660
ko00996	C10722
