pathway	cpd
ko00061	C06423
ko00061	C06424
ko00061	C08362
ko00061	C16219
ko00061	C16220
ko00061	C16221
ko00061	C16520
ko00061	C20683
ko00061	C20794
ko00062	C00024
ko00062	C00040
ko00062	C00083
ko00062	C00136
ko00062	C00154
ko00062	C00162
ko00062	C00249
ko00062	C00264
ko00062	C00605
ko00062	C00638
ko00062	C00640
ko00062	C00658
ko00062	C01832
ko00062	C01944
ko00062	C02593
ko00062	C02843
ko00062	C03221
ko00062	C05258
ko00062	C05259
ko00062	C05260
ko00062	C05261
ko00062	C05262
ko00062	C05263
ko00062	C05264
ko00062	C05265
ko00062	C05266
ko00062	C05267
ko00062	C05268
ko00062	C05269
ko00062	C05270
ko00062	C05271
ko00062	C05272
ko00062	C05273
ko00062	C05274
ko00062	C05275
ko00062	C05276
ko00062	C20876
ko00062	C20877
ko00062	C20878
ko00062	C20879
ko00071	C00010
ko00071	C00024
ko00071	C00071
ko00071	C00136
ko00071	C00154
ko00071	C00162
ko00071	C00226
ko00071	C00229
ko00071	C00249
ko00071	C00332
ko00071	C00340
ko00071	C00435
ko00071	C00489
ko00071	C00517
ko00071	C00527
ko00071	C00638
ko00071	C00823
ko00071	C00877
ko00071	C01144
ko00071	C01371
ko00071	C01832
ko00071	C01944
ko00071	C02593
ko00071	C02990
ko00071	C03221
ko00071	C03547
ko00071	C03561
ko00071	C05102
ko00071	C05258
ko00071	C05259
ko00071	C05260
ko00071	C05261
ko00071	C05262
ko00071	C05263
ko00071	C05264
ko00071	C05265
ko00071	C05266
ko00071	C05267
ko00071	C05268
ko00071	C05269
ko00071	C05270
ko00071	C05271
ko00071	C05272
ko00071	C05273
ko00071	C05274
ko00071	C05275
ko00071	C05276
ko00071	C05279
ko00071	C05280
ko00071	C20683
ko00073	C00226
ko00073	C00249
ko00073	C00406
ko00073	C00609
ko00073	C00712
ko00073	C01371
ko00073	C01450
ko00073	C01612
ko00073	C01629
ko00073	C02843
ko00073	C08281
ko00073	C08285
ko00073	C18217
ko00073	C18218
ko00073	C19418
ko00073	C19614
ko00073	C19615
ko00073	C19616
ko00073	C19617
ko00073	C19618
ko00073	C19620
