Human_vs_Wild_up	Human_vs_Lab_up
ko04136	ko00750
ko00062	ko03420
ko04070	ko03010
ko00760	ko03015
ko01040	
ko00510	
ko00830	
ko04122	
ko04148	
ko04150	
ko04711	
ko00040	
ko01212	
ko00310	
ko00650	
ko00983	
ko01232	
ko00980	
ko00982	
ko00053	
ko00541	
ko00860	
ko04140	
ko00790	
ko00592	
ko04981	
ko00512	
ko00190	
ko00590	
ko00730	
ko00780	
ko01240	
ko00514	
ko03060	
ko03018	
ko00981	
ko04081	
ko00630	
ko00562	
ko00440	
