Sample	group
Pame_1	other
Pame_2	other
Pame_3	other
Pame_4	other
Pame_5	other
Pame_6	other
Pful_1	Pful
Pful_2	Pful
Pful_3	Pful
Pful_4	Pful
Pful_5	Pful
Pful_6	Pful
Esin_1	other
Esin_2	other
Esin_3	other
Esin_4	other
Esin_5	other
Esin_6	other
Bger_1	other
Bger_2	other
Bger_3	other
Bger_4	other
Bger_5	other
Bger_6	other
