OG Bger Esin Pame Pful
OG0003734 0.472267701388889 28.2297388888889 1.95017158333333 9.98041951388888
OG0003735 1.38152095138889 2.03972976388889 9.70823541666667 5.45770618055556
OG0003736 0.461801854166667 2.17138997916667 1.479170375 3.15459579861111
OG0003737 21.9433022222222 13.0132175 13.4738951388889 41.9856319444444
OG0003738 0.278648097222222 0.709882659722222 1.18836691666667 1.21220935416667
OG0003739 18.4395536805556 4.93269456944444 39.7933583333333 102.08371875
OG0003740 8.06081041666666 9.474971875 15.444346875 16.7570713888889
OG0003741 36.9731347222222 0.00507958680555556 27.7784798611111 24.8120754861111
OG0003742 1.24365361111111 32.2414078472222 11.2501168055556 8.69744611111111
OG0003743 5.74260895833333 6.09510826388889 2.59638089583333 2.45861329166667
OG0003744 36.6667534722222 9.56735215277777 7.42295736111111 18.2601784027778
OG0003745 1.42669311805556 10.3444770138889 0.505168395833333 0.567381638888889
OG0003746 0.808353270833334 6.09598159722222 15.2198324305556 3.30332734375
OG0003747 18.7181267361111 3.59713645833333 4.56082590277778 1.57733864583333
OG0003748 1.34301120833333 3.94875027777778 2.45103099305555 3.71634694444445
OG0003749 228.922 13.2789575694444 253.005310416667 267.3954875
OG0003750 13.3601890277778 25.436164375 5.5921709375 13.7978196527778
OG0003751 1.230734875 72.5737138888889 4.20819438888889 9.4490775
OG0003752 1.05237659027778 1.82888477083333 8.70730631944444 3.33364756944444
OG0003753 0.0149201041666667 0.656111000000001 0.499436319444444 1.24480919444444
OG0003754 12.4869131944444 9.66052687499999 2.23018469444444 0.822861805555555
OG0003755 4.370940625 0.167900986111111 0.704946340277778 0.449207510416667
OG0003756 1.60366769444444 4.84743645833333 0.878687256944444 3.55559993055556
OG0003757 21.9486590972222 9.32657645833334 29.2825038888889 67.8022513888889
OG0003759 0.194133888888889 2.87708609722222 0.620435048611111 0.758570791666666
OG0003760 1.04875636111111 15.4422584027778 3.96190375 3.37127263888889
OG0003761 6.81372319444444 27.0863111805556 35.7392347222222 5.08405284722222
OG0003762 1.04542353472222 8.77845729166667 9.37583923611112 7.71704534722222
OG0003763 3.80861502777778 48.4067739583333 3.02688669444445 2.38717368055556
OG0003765 1.98792372222222 2.47486677777778 1.59418863194445 1.85017372222222
OG0003766 1.19762082638889 4.45812441666667 0.454891888888889 0.595788798611111
OG0003767 4.09341493055556 24.4540666666666 7.46013583333333 7.46164236111111
OG0003768 0.902986305555555 2.09934919444445 5.839415 5.70021496527778
OG0003769 58.7287451388889 188.725652777778 631.277027777778 756.391381944444
OG0003770 1.12262005555555 4.06493652777778 4.188571875 3.77892131944445
OG0003771 0.308298354166667 6.46545020833334 2.79349077083333 6.09153951388889
OG0003772 0.490266159722222 2.82006876388889 5.0171275 2.13330494444445
OG0003773 11.4706374305556 6.80357125 6.55639090277778 6.09682506944444
OG0003774 6.43921347222222 22.0270580555555 0.666889993055556 2.64405643402778
OG0003775 3.13011121527778 3.30327506944445 1.21191188194444 1.04928109027778
OG0003776 2.49298666666667 0.603703388888889 0.693510354166667 1.88308865972222
OG0003777 1.87424815972222 10.2296310416667 30.1293770138889 71.2415493055556
OG0003778 1.93772979861111 35.2642375 9.23561923611112 4.433446875
OG0003782 4.50294673611111 29.6129819444444 4.67694055555555 5.51343895833333
OG0003783 0.141606104166667 0.785566173611111 0.25634375 0.467613347222222
OG0003784 21.260588125 110.825632638889 26.6779573611111 69.79945
OG0003785 4.45353673611111 27.1666118055556 16.3752303472222 13.1369004166667
OG0003786 1.89459911111111 0.124282597222222 1.52815560416667 0.554166291666666
OG0003789 0.592034888888889 8.18368069444445 4.72550694444444 6.90601
OG0003791 39.5634922916667 17.5398766666667 4.25042125 7.84843847222222
OG0003792 0.118653097222222 10.3268160416667 1.69115287152778 2.04613594444444
OG0003793 5.36302267361112 7.24134777777778 18.2818410416667 31.5866319444444
OG0003795 3.25284860416667 6.723604375 3.23725720833333 7.48230958333333
OG0003796 4.39963015277778 0.302435211805556 2.60619804861111 8.49930520833333
OG0003797 16.8588980555555 95.6395145833333 8.38147069444445 5.89549076388889
OG0003798 357.797218055555 78.7938951388889 922.69282638889 354.008368055556
OG0003799 8.71751756944445 15.178741875 0.979538163194445 0.982351090277779
OG0003800 22.383849375 3.23911540277778 12.161603125 20.8953150694444
OG0003802 3.063297625 2.60781615277778 2.28620907638889 3.76502252777778
OG0003803 0.677113159722222 35.4961375 3.81630472222222 3.94980430555555
OG0003804 4.42913701388889 12.1364877777778 2.44675361111111 0.275910809027778
OG0003805 1.3330709375 9.6378945138889 2.51409452777778 3.08234143055556
OG0003806 0.975865243055556 2.19421186111111 0.0467414097222222 0.239875680555556
OG0003807 1.90202511805555 0.278707298611111 0.357159072916667 0.733198701388888
OG0003808 15.1374444444445 15.5271448611111 14.9380960416667 16.8088940277778
OG0003809 2.22114480555556 1.93738422916667 0.460678496527778 0.237157701388889
OG0003810 1.25212656944444 3.34182311111111 30.3897764583333 15.5863049305555
OG0003811 9.89723888888891 10.3196433333333 5.59142055555555 0.92733945138889
OG0003812 3.54614291666667 3.38213063888889 2.36692013194445 1.23267123611111
OG0003815 5.39868069444444 10.1043484027778 8.67915715277778 7.23688513888889
OG0003816 4.22051055555556 1.86385152083333 4.13731006944444 1.70754616666666
OG0003817 1.21274796527778 2.04868579861111 0.803804798611111 9.07271673611112
OG0003818 3.1371740625 0.450550430555555 1.27585927083333 0.0997079861111112
OG0003819 8.26920798611111 3.75522713194444 6.08708986111111 3.63551944444445
OG0003820 5.05911451388889 17.5915531944444 10.1636134722222 14.6147861805556
OG0003821 15.2848176388889 0.780083625000001 21.2027120833333 16.7212610416667
OG0003822 6.35396972222222 13.6897927777778 42.8423645833333 34.7129166666667
OG0003823 18.8691772916667 42.3834430555556 8.81537590277777 11.2278220833333
OG0003825 4.93228173611111 3.35080604166667 1.27865696527778 2.67103091666667
