Sample	group	ko00010	ko00020	ko00030	ko00040	ko00051	ko00052	ko00053	ko00061	ko00062	ko00071	ko00100	ko00130	ko00190	ko00220	ko00230	ko00240	ko00250	ko00260	ko00270	ko00280	ko00290	ko00310	ko00330	ko00340	ko00350	ko00360	ko00380	ko00400	ko00410	ko00430	ko00440	ko00450	ko00470	ko00480	ko00500	ko00510	ko00511	ko00512	ko00513	ko00514	ko00515	ko00520	ko00531	ko00532	ko00534	ko00541	ko00561	ko00562	ko00563	ko00564	ko00565	ko00590	ko00592	ko00600	ko00601	ko00603	ko00604	ko00620	ko00630	ko00640	ko00650	ko00670	ko00730	ko00740	ko00750	ko00760	ko00770	ko00780	ko00785	ko00790	ko00830	ko00860	ko00900	ko00910	ko00920	ko00970	ko00980	ko00981	ko00982	ko00983	ko01040	ko01100	ko01200	ko01210	ko01212	ko01230	ko01232	ko01240	ko01250	ko02010	ko03008	ko03010	ko03013	ko03015	ko03018	ko03020	ko03022	ko03030	ko03040	ko03050	ko03060	ko03082	ko03083	ko03250	ko03272	ko03273	ko03410	ko03420	ko03430	ko03440	ko03450	ko03460	ko04013	ko04068	ko04070	ko04080	ko04081	ko04082	ko04120	ko04122	ko04130	ko04136	ko04137	ko04140	ko04141	ko04142	ko04144	ko04145	ko04146	ko04148	ko04150	ko04213	ko04214	ko04215	ko04310	ko04320	ko04330	ko04341	ko04350	ko04382	ko04391	ko04392	ko04512	ko04620	ko04624	ko04711	ko04745	ko04814	ko04820	ko04977	ko04980	ko04981	ko05100
Pame_1	other	0.2777736786862	0.32885472204208	0.171030041081032	0.22880101414438	0.417199380950686	0.278187295731743	0.23577305481383	0.25573807534993	0.211190955801275	0.424202684093506	0.158309782820948	0.210091344818515	0.569722338615533	0.119958051152007	0.0945217589160163	0.130692884324499	0.271303650561283	0.318226836729013	0.228920882337607	0.341254104218765	0.0708563070962999	0.267020373299484	0.166627923631574	0.0637795941057797	0.166283481063631	0.114267374911878	0.326526929128093	0.016649335873807	0.306152663728744	0.0525147921869197	-0.137034083557298	0.162335573314029	0.551385625001318	0.212701418954465	0.0851497903361507	0.156839457897764	-0.0727805883393844	-0.0353589761587837	0.12380666392205	-0.0466389379188078	-0.383740242207583	0.208244909445595	0.0733963732536947	0.0705029411724088	0.00568628044804779	0.257626109275879	0.255945496294489	0.0339294200104753	0.167597803307908	0.0649577355962332	-0.048815945343554	-0.0320067239224206	-0.0318949730164195	0.113479938001552	-0.284120990699502	-0.00881745089368801	0.170642932749281	0.268041952066232	0.26943127260568	0.304028591509067	0.217627313180053	0.118564078119533	0.0589579538288947	0.036630811903791	0.13804640861643	0.180398015915917	0.256275325236861	0.201787387698235	0.232268458493104	0.236116100569577	0.0880034936357884	0.202108496876813	0.30021187354494	0.403926300946807	0.426703738173197	0.145607965478381	0.164151696399689	0.12486476729144	0.126062029620587	0.150258668144631	0.210513621661614	0.206075736961363	0.31524301994933	0.281402461329113	0.259577283668195	0.225945416058081	0.124467871739274	0.196309851655255	0.276978334284336	0.0109796323944149	0.264532262671547	0.537088554226193	0.228604866690039	0.249499662532078	0.22041382816762	0.279799139846818	0.192967643958342	0.093839195837632	0.330230514994068	0.510487977512136	0.41507611360191	0.142901412999545	0.0655188520798141	0.306550423882235	0.188413419462647	0.517501997585872	0.106878848889728	0.152044160559221	0.0565603626018349	0.00381815683304393	0.0675506845846928	-0.0200842224595334	0.116419735213484	0.022009226219234	0.00862209393386576	-0.145807248202956	-0.0412268334972896	-0.233307419537272	0.229613589406832	0.0476387909417431	0.17164432522029	0.190644281448305	0.378636142974581	0.128792219378574	0.358901279222775	0.19171232288665	0.184912857133998	0.336671902319766	0.197476793659357	0.123199887079569	0.107296440797607	0.0650380007820577	0.170854562369497	0.129542076988021	0.0517981380370408	0.174611005024504	0.00712288441361746	0.00705312251793911	0.0573306594884408	0.0706180433386735	0.0574801161982794	-0.0847517511027181	0.0269579348742962	0.0888330663292078	0.0757956077952444	0.0157177999843093	-0.0501002635319388	0.0132880255292723	0.180883775367173	-0.271335251681303	0.240831047538828	0.072527923174487	0.249034359563995
Pame_2	other	0.290618006291419	0.32307701752883	0.192105861922042	0.216271972824097	0.380233126329252	0.247463849546955	0.26552942666645	0.259777802054424	0.161411908241713	0.432012008445244	0.185625268424761	0.175024219296721	0.568791140599847	0.0728350398952591	0.09109095182777	0.117232366199518	0.245443205109931	0.323912434895925	0.226551293449549	0.343263207840576	0.131285141076565	0.287203320261739	0.182024953356877	0.131383746778661	0.165680105300469	0.135479814336114	0.33488998290776	0.0383636350749233	0.31662699536535	0.0783175114655702	-0.160762841671881	0.171398877316176	0.418883670523888	0.244943429142802	0.0511000909609081	0.143453577644681	-0.0185937607185788	-0.0209385612825533	0.123412849723086	-0.0184161121521768	-0.388783903840239	0.209747364810269	0.0790098843577348	0.0688365810649361	0.00125805391778671	0.239987765866864	0.26424865957179	0.0354301951376117	0.16416376972756	0.0582634461992472	-0.0315837724894054	-0.0500217334726471	-0.0468892249494221	0.0910043372459538	-0.332360534229805	-0.0194293158457943	0.0901866233524637	0.280489727464205	0.286456205165508	0.318446736115232	0.200578310528882	0.118848068409087	0.0355302673366555	0.075311142983675	0.105461895278297	0.164616321083475	0.252886229151111	0.209921317862535	0.228426285604087	0.231198305504257	0.0447163695472809	0.200424881489097	0.281124905383937	0.40385435324556	0.374124246442095	0.138963593968172	0.133412827464601	0.1414525552391	0.09694140764975	0.133970916409692	0.151602341608411	0.203253699709097	0.31441488243191	0.278972384255346	0.234942593582409	0.223448491790468	0.107404736016827	0.196656659222241	0.266772192940663	0.0170778245639439	0.23887180655234	0.53807766905708	0.217242838469221	0.244603165698633	0.215839991088531	0.258358261008457	0.171172346530025	0.132460515199376	0.318485975202941	0.517263585651076	0.422080716897228	0.13750170297758	0.0738756412124487	0.301602346574793	0.196899561368752	0.531727864865398	0.121239473346326	0.150195964807686	0.0772592830548998	-0.0119728279742511	0.0869316683025348	-0.00822677588262333	0.116742509306619	0.0369889354078871	0.0110667190145249	-0.143240252561931	-0.0450939146050732	-0.220700398354757	0.226352787530897	0.0755641825591677	0.17018898779604	0.190345189820311	0.384025659428043	0.128627027159061	0.351330897409594	0.194723972706617	0.183035984815437	0.329878339448679	0.192961236638667	0.110947498385527	0.094976755876109	0.0483026402598543	0.172110484153098	0.17559002761964	0.0442424703443442	0.197505580565179	0.00646191615094743	0.00533141938783608	0.0588481220894928	0.0395047553489765	0.0665272985385297	-0.0932097908276957	0.096599742902718	0.0741085818951419	0.0626793342551612	0.036325255982204	-0.0428062142044439	0.0134174586461481	0.198183090282256	-0.306067234954068	0.257703722996795	0.0960148215848168	0.245441097250713
Pame_3	other	0.293178324466636	0.343565463899051	0.18113471535599	0.215265631851253	0.405963476279403	0.265951970640634	0.222751085256945	0.275660832463215	0.183047601777635	0.423447757627001	0.164319111971278	0.211406903767738	0.579031493286866	0.187499942002352	0.1020583332767	0.135032450971154	0.290136257550364	0.358178244195754	0.244827323184419	0.354677439913863	0.0600625391613566	0.289563241634175	0.19486283078046	0.170277468269478	0.160422568964104	0.115121489579848	0.348264516053968	0.0212557368700555	0.302082163376878	0.0504251232770023	-0.0970993363599208	0.164933748558496	0.556265417937427	0.240749482783944	0.0919846770356492	0.147794639434179	-0.158135840328076	-0.0560790562247886	0.0823215438420131	-0.0374849806408263	-0.31775372728699	0.197997068189043	0.0108944241554868	0.0476026662412777	-0.0112487941726189	0.24461193216852	0.250877710225627	0.0470795608936396	0.16427761885171	0.0709088167022032	-0.0244699327912454	-0.0272111889417666	-0.0623884616815922	0.080671744786034	-0.274817420507091	-0.110289617380014	-0.00942030231187516	0.287009364540755	0.302515189654902	0.300022813094972	0.246798613384615	0.180571386772117	0.0874678752785662	0.0498721167592275	0.202125937636534	0.178715817425888	0.261368760919147	0.218185039700495	0.25508191992737	0.262666000910818	0.0823572488461375	0.212722400157617	0.296121216895017	0.388697727987477	0.420485589276463	0.177970631312696	0.176897882368268	0.119363339623452	0.134467099846276	0.159473006616561	0.138428962882986	0.21722635980735	0.332523169962044	0.316899075821861	0.23890747170747	0.263303189511319	0.138549661818205	0.212820567911543	0.290104857107613	0.0208157848664628	0.263383418854971	0.554923371364275	0.22157451519152	0.241801538497766	0.212618267633548	0.279578781338936	0.182483590557269	0.0898777867195934	0.320880010134179	0.520393457804186	0.42722757415261	0.122745345257852	0.0572996270967579	0.281051033830742	0.173235241013598	0.484285998144651	0.111687400852704	0.147551487399375	0.0512502245450254	-0.00987103808069631	0.0835743239605575	-0.0224626203285997	0.0981675547582985	0.0179230649602457	0.00771123907346534	-0.149438279997375	-0.0554223419140545	-0.216484449396453	0.214992309308408	0.108790656701083	0.174121969645327	0.180133328323506	0.371939282492911	0.116900308056392	0.350411123450487	0.185792713779533	0.171834170628762	0.320106711376558	0.202675218307538	0.102784369947317	0.0940921986976226	0.0564561477152956	0.157103079837588	0.174886583955646	0.0237347160895455	0.157564947099865	-0.0220530070529599	-0.00887937354826014	0.0298228215541784	0.0173816117128496	0.0351154017423346	-0.112488500499308	0.0266413834637363	0.0704338933235061	0.044163737173553	0.0381435842470691	-0.056211554775011	0.0099754497074423	0.171247375813263	-0.267128664187996	0.316228915936325	0.0822980275196947	0.233449039611001
Pame_4	other	0.2829597662965	0.326784482753884	0.206219826217497	0.196561939789406	0.422113576772188	0.259854225101313	0.237884052178821	0.269297190068082	0.166925788774788	0.434577476363879	0.204604137660641	0.175497341882068	0.568638449338412	0.0712383867073456	0.0889861921525576	0.108564240458254	0.268622702999479	0.332204729984054	0.250508335705147	0.355992560453818	0.00931411864610596	0.274984678980892	0.164245442188688	0.111349688664765	0.136803075765388	0.100377666997722	0.3460299335716	0.0100932004197748	0.325327572819656	0.0737525038731454	-0.115253896201215	0.197900804285223	0.432684786230855	0.245257335166073	0.0897540337647108	0.16776307849635	-0.0377819050635368	-0.0440674893893852	0.125728896441886	-0.0527976656363382	-0.348410331611936	0.211133364134295	0.0660320318784999	0.0834610902227545	0.0163433674351125	0.26561131343098	0.250692635238723	0.0456714743348197	0.184118387913053	0.0864760321795817	-0.0186909713217272	-0.0511177228193219	-0.0344996876726552	0.107218434896677	-0.346995754638082	-0.0782699977058466	0.0905946312706999	0.275684471001254	0.294350446861044	0.325642722048005	0.205639005742734	0.117534052907753	0.0380756828596308	0.0791598830947299	0.122968199620612	0.195388989281653	0.272869426009191	0.144836057802134	0.238542825264256	0.213902455608366	0.0510753294263157	0.201804875443449	0.294976609470617	0.402730997649646	0.358198860930268	0.161739324977214	0.131595499333227	0.156032578120866	0.095149932424508	0.139632645683224	0.173528280930654	0.210062099046862	0.328804914853436	0.289594523183237	0.247275973050821	0.227984529285108	0.115699034629025	0.203634096121237	0.302102140402701	0.0405265763535194	0.249531077679861	0.534164310430561	0.232448700088347	0.25815495031208	0.22183715853182	0.260816287385746	0.166958253201478	0.0940164081250149	0.325348079754415	0.518792254805419	0.419230295213921	0.132088744008862	0.091178215678275	0.316287374225692	0.174678560580637	0.5253949120111	0.110207398954466	0.140918706643005	0.0535330134934757	-0.0337608182483242	0.0556468224066942	-0.0328320737627628	0.127803822936808	0.0302423947849788	0.0250835663196837	-0.147011000748138	-0.048779658444703	-0.228878385778739	0.233595732364814	0.111492838610228	0.195045655794664	0.191376278476658	0.387614419187017	0.136979487657823	0.362240397313493	0.199432823266765	0.198604705158669	0.330228615317565	0.196674919375686	0.10857667261118	0.103182278669092	0.0488992569753589	0.169686266265761	0.139682073747793	0.0515584702679342	0.209574843335906	0.0138824997988893	0.0166388971515551	0.0734500249759931	0.0559064373336776	0.0731608326382776	-0.0770099664043103	0.0375752490289096	0.108422363507399	0.0772883166083825	0.0998247769853671	-0.0159979354387975	0.0178884272602944	0.17069445978677	-0.268336027105118	0.293668097398463	0.0743669035530609	0.253797938384859
Pame_5	other	0.277555233829736	0.315874163508603	0.14097507655317	0.198240957198122	0.379017138245378	0.228961362493647	0.220662918359372	0.219205096890668	0.153074452934649	0.399704971092139	0.269395391742237	0.180849451461205	0.56819095892898	0.0747490513863269	0.0716445979036534	0.101557542697281	0.227155231709847	0.319235143934514	0.193027496422237	0.297294835352765	0.0681915751446724	0.256869403655462	0.166189459949984	0.144835163883297	0.159749134864401	0.107967845705653	0.302193779960523	0.0333200946709607	0.262306877018234	0.0555364728963126	-0.24203666681471	0.118081169949967	0.461107085501249	0.22024346984001	0.0394097771902093	0.120676681348385	-0.132669600302994	-0.0334598423012818	0.0780620407053425	-0.0241235248077452	-0.392984955336606	0.151935288069951	-0.0402471697999918	0.067672534860641	-0.00696650601439752	0.204105333822825	0.222476186464332	0.00813087071302859	0.161902527092806	0.0353316043871671	-0.0543775706561221	-0.0716240919072203	-0.0477856320018524	0.0664969413050996	-0.249015112666038	-0.131548033482725	-0.186422786082447	0.237986614364465	0.273004541541429	0.258517084913056	0.144110296612482	0.136834060569703	0.00869285432897727	0.030910470961973	0.0895983493208096	0.133659855500374	0.205265212625162	0.174373732519953	0.200449467432121	0.215996661243355	0.0650596021568536	0.192239061502766	0.28653069068575	0.359579418765434	0.333404290266133	0.137986331639648	0.129107041022842	0.135036615053057	0.102400304951848	0.11888918136318	0.144145190579947	0.181817489548634	0.296832974269129	0.252581784758355	0.212753305205945	0.215144605984889	0.103665558086263	0.172400272134991	0.242698615928654	0.00676180236689468	0.256521909913135	0.545621613993854	0.225992667789872	0.24794822124448	0.221773412076864	0.288767217478141	0.188029020712789	0.190848378276319	0.331132145149669	0.51459255227923	0.409851095557416	0.144908131061203	0.0762358846410385	0.316372738256839	0.191844671756598	0.504393980422536	0.155067911264255	0.165670612679472	0.131967917189979	0.0463178021536178	0.102146369441702	0.0190207463172803	0.120041582938073	0.0374702974417506	-0.0183281945838588	-0.14505496660517	-0.0612583041328413	-0.205886382159313	0.235724049750145	0.0657067557781119	0.18038012486375	0.172701334681112	0.393547874352768	0.122407307265654	0.337218296919624	0.177813733513151	0.179551635781414	0.32954340535036	0.166476903604442	0.102605365415662	0.0973369808198966	0.0264375020798984	0.174618427458703	0.190133292067227	0.0624512592992087	0.185541447204514	-0.00297338588469741	-0.0112816805101336	0.0452427369388695	0.0246548642042624	0.0656098878518603	-0.0871222140515479	0.0679304070644728	0.0924729118455057	0.0694436749523021	0.0279528276941563	-0.0727864198457746	0.00428551029376389	0.180777353111455	-0.293333408007707	0.276769695665471	0.117962457895644	0.252276654452971
Pame_6	other	0.281499143681247	0.325491502335296	0.219025643288754	0.185663435076036	0.394897928048741	0.250848803504828	0.267462179247465	0.230837458441037	0.208839053185051	0.414799690648992	0.284060059292977	0.181284987565956	0.568520493926051	0.0756443105413367	0.079676512621255	0.10535084562313	0.250526979809436	0.335324056707934	0.223055272944931	0.367038276723978	0.0580804102017884	0.26968938453899	0.175095702327153	0.088879888953077	0.183189687213016	0.193062262179911	0.339762408336826	0.177145532636305	0.323175492670071	0.0576074294896471	-0.122116726040067	0.161102549015202	0.36756872538421	0.252308369567744	0.0441926635025323	0.171658789174671	-0.0756160146481179	-0.0636364259637969	0.117712036426777	-0.0460964664668711	-0.347574275618182	0.248718074222809	0.114490511777107	0.0597886293379916	-0.0194158556917928	0.251306736508705	0.212237879311416	0.0198632019567376	0.158011880344612	0.0718938769022426	0.00692143350870242	0.0270879334479673	0.0423289711252721	0.0999106603729778	-0.318197797082302	0.00284915306295841	0.18053295254364	0.256571717209137	0.290915643368514	0.278540169613202	0.215619973389518	0.127580546513621	-0.00442974391354854	0.0385918800704042	0.0694250454329297	0.156233395252578	0.275756098130961	0.135425379057889	0.213445570188908	0.230220074103444	0.0206117044127854	0.196516144859925	0.313817348530338	0.386699674003428	0.342342611697991	0.151267185929776	0.197573027459255	0.189065487414305	0.172192906120033	0.166511198870486	0.208502701942589	0.205002008188354	0.322277892150252	0.272277033611319	0.24620589785159	0.246494638679609	0.101440543666548	0.18599287771773	0.291211839781384	0.0230459866989753	0.240504390759301	0.542983918674253	0.207282570073165	0.232370399764253	0.197339150741273	0.260557367797497	0.16048032852192	0.0854041706097912	0.299527453626542	0.512129300956393	0.411879431940322	0.108511064836369	0.0466592240863543	0.280036785709038	0.169577109362029	0.515791742477371	0.0973431961542808	0.125343957360462	0.0513837287442678	-0.0562099123029088	0.0735638123355566	-0.0763199355673985	0.112073238560689	0.00329938748420704	-0.00394821208151601	-0.102160987030215	-0.0761966188742268	-0.23165610003089	0.212132991839699	0.0745920155491756	0.12060190503714	0.155536777678291	0.38803470558168	0.0981521018360191	0.341116553000935	0.204642889577787	0.16648484275661	0.326238098828805	0.193436746133224	0.115419640275395	0.0752851312481108	0.0251608484708132	0.148496686616189	0.131309917455185	0.0397312014285007	0.183894422452475	-0.00273081644458451	-0.0311499995961752	0.0323074064734638	0.0963600263528775	0.054979008490165	-0.115246956071727	0.109276288976398	0.0685408733662138	0.0831797566396041	0.0270521528715005	-0.0507571120501643	-0.0173578303558585	0.175890403676283	-0.292763968770437	0.276626196641944	0.0421468609043746	0.241630482021272
Pful_1	other	0.269608050918588	0.34647348312643	0.268106434629677	0.167721212318395	0.402591593739032	0.285115668654923	0.226470275901143	0.316854461495217	0.265926501818875	0.440378964885245	0.118583670731184	0.149904814860242	0.562815628968111	0.175947101492974	0.0908590210309905	0.14997504625405	0.281039577685071	0.354233567890315	0.2271433582605	0.330887931494623	0.117614908744234	0.29681714525212	0.22873037909896	0.118981036596794	0.170101309923023	0.183847812778669	0.327440271221128	0.157841991642915	0.349628057062831	0.0474388867242543	-0.0321127115536919	0.13813548911292	0.353138804521266	0.228324147014027	0.111981878062711	0.137889476673491	0.0603248015421267	0.0313974961557804	0.0818425607689004	0.0363561497670436	-0.251562420953128	0.18175826447264	0.127902125177943	-0.121870687054305	-0.173778695116523	0.224781125529892	0.206671387755181	0.0562456123063979	0.0899226706349624	0.0372806291140834	-0.0711741832569196	0.00279561157235733	-0.0131607104215456	0.134384571737388	-0.233760202648688	0.0198287961888154	0.173126167460407	0.305866565915887	0.349909279059698	0.281627603112157	0.230029124656629	0.239479972446629	0.0326354555385039	-0.0353270785205688	0.154076646440149	0.119081569987245	0.295691942797153	0.24515002431328	0.219287350639847	0.212552583554019	-0.0056909392992323	0.164331058761822	0.292333258399658	0.462883319515753	0.349089023849293	0.125130700223014	0.164730849055743	0.191547134231653	0.121955102623789	0.151534654228364	0.214090655595495	0.206275733087228	0.360282275701488	0.246880480842085	0.290553906101323	0.303536734799225	0.123192699991897	0.166618186022273	0.276772431074267	0.00947518126083321	0.262011048315437	0.521899148788296	0.235590187898309	0.256956862989045	0.239220560569164	0.255566591340948	0.159179239547321	0.079120457480072	0.308586888574477	0.522963315215759	0.417390923382436	0.12311560617413	0.076103215381955	0.31028980332432	0.200037219335037	0.492740590472505	0.0957511752636078	0.114670398975057	0.0336081893795916	-0.0513207606996349	0.0909222046563852	-0.0488254607404187	0.132183244803335	0.0159391694430407	0.00152511075736674	-0.180910674396358	-0.0802723936088892	-0.226855159483991	0.226762192880996	0.0227262166781472	0.128606828439538	0.169479221757593	0.368962825649348	0.114236539965511	0.343191732309554	0.209427475580987	0.180699843613335	0.323775245386917	0.201107977715905	0.105065635789208	0.093707252957508	0.050132209079706	0.1344513225078	0.106100298158962	0.0654774107076478	0.179007147316519	0.0269592516565911	0.0115700364590607	0.0595821165851306	0.117415803082026	0.0247058091007639	-0.147381758407904	0.0362388956589636	0.090914578541178	0.0725807204112996	0.0929184234079508	-0.0825751602957321	-0.00677363590112398	0.174963643109664	-0.268790587228057	0.153186255370913	0.111346780458918	0.251884518380866
Pful_2	other	0.282675680598949	0.332646185371023	0.239872053337632	0.190550845573025	0.380551537662543	0.261381984390662	0.260724329889991	0.270953388101076	0.281425003712285	0.43402309204349	0.202900245808758	0.116091139751902	0.562512686141522	0.129046834936198	0.0573214044888756	0.146491669224655	0.249007601951477	0.306906710773237	0.178777404294101	0.357352176162011	0.101127289561015	0.271835790652381	0.211740952188685	0.169396683147664	0.157235526472841	0.168277928589069	0.31410542559269	0.135468968172855	0.310513971785825	0.0748238702615308	-0.104916973413931	0.0915572343114664	0.218194308389622	0.243807121116432	0.0690284827447859	0.118060224437137	0.0601160069390856	0.0320016793411063	0.0640612456457899	0.0296414581870626	-0.27303302194745	0.182766454876069	0.103247059657637	-0.159410855567704	-0.211231641597126	0.188779433448082	0.21448999879297	0.0189484412107972	0.0758935851567973	0.0449848635868144	-0.0771169006072495	0.05237156449811	0.0395905162095946	0.146500131935116	-0.191602910401147	0.0685549857698834	0.162726003542427	0.293770456881569	0.325439365391139	0.264290636256448	0.198868901819994	0.162798201140764	-0.0214555816774499	0.0975277061556142	0.0114833487535015	0.116099541346838	0.245537929161172	0.233480594631398	0.191885859162851	0.233541964848594	0.0256211204521634	0.140673560983178	0.279862528744369	0.441660005651027	0.366936037061222	0.0945596277229118	0.20602749900133	0.147427917364693	0.167909836644529	0.169188023076257	0.245987686851155	0.191586325598989	0.333882510851462	0.226251742256759	0.284953467062535	0.259053683079715	0.11294135849828	0.14427902521988	0.232364167557821	-0.0137223921684723	0.242669360981443	0.521629354920337	0.217119219221798	0.240188739228586	0.22150310335508	0.246165447524408	0.136024036109036	0.0531540479245193	0.291060577100721	0.516422638409001	0.40749870067863	0.0972493791316967	0.0508961943237303	0.29011787443777	0.206487385604575	0.508852619960061	0.0707951187347138	0.0886320333532195	0.0158585729250461	-0.0646702079639286	0.081417148244911	-0.0526667171946555	0.10617566242986	0.00473257337108444	-0.0206792560467478	-0.0977291586810325	-0.0876041607771959	-0.211376343107412	0.212038192805685	0.0200526252034125	0.113651151709611	0.148757757002559	0.357804972098642	0.104334466174792	0.332876111345223	0.235130163016322	0.16304397909415	0.326415534350027	0.174684554054898	0.105499659845368	0.0781869312997567	0.0449380410922868	0.123827156379646	0.113405414228503	0.0522920029960002	0.155541882037279	0.00730091342051976	-0.000957487262686599	0.0220300855830382	0.134362278310411	0.0377851934218786	-0.125116584481816	0.0839912500131755	0.0652039137633568	0.127225067106029	0.0555042640114209	-0.0876483847652798	-0.00268993558707891	0.185504384125813	-0.246359655162141	0.145085351232889	0.0935948423288773	0.255601431167697
Pful_3	other	0.293977265468517	0.34181048204305	0.225964593207243	0.204397850519145	0.399618393082785	0.288860531437852	0.245851792038105	0.29903853324778	0.293873551505541	0.448826836052529	0.166370170264385	0.14608005775264	0.563788470993142	0.238554119312186	0.0776823724677204	0.156650187433257	0.263822314381647	0.343790123417787	0.19939758518247	0.325037827654888	0.114106320300857	0.300558546548707	0.214653959481994	0.200880434248843	0.189303622331868	0.21476174068503	0.329288492516005	0.212811733843515	0.309645672233905	-0.0426728428841055	-0.155369180932271	0.116156163156652	0.516661654937981	0.239760687661425	0.123569818127142	0.106891443396166	0.0273803938972185	0.0535654464811912	0.0547594032933428	0.0413671788186349	-0.296454165459535	0.148293429187718	0.0888537541383837	-0.173696210643344	-0.222199733415639	0.19584735599231	0.234820479746552	0.0344970028108511	0.0969979556528227	0.04685856860778	-0.0833254391584576	0.036814399268743	0.0141314003637998	0.108314226051791	-0.187397958624197	0.0149450720331656	0.0867981295776103	0.297984638047993	0.331526433983706	0.271275723555351	0.184241333744894	0.220954882575582	0.0332182694022285	0.00752220404432946	0.128924095915228	0.149786754068245	0.216156192950946	0.265557400355094	0.219539708376182	0.25400369876606	0.0148839148639737	0.172406496364405	0.288164154890368	0.444307982875754	0.416726381255094	0.113967513056364	0.162494669926084	0.140253872051731	0.110865246879728	0.149300238503091	0.229499341189142	0.202634292733854	0.345903631245726	0.233788273258633	0.292578162648305	0.28577060200485	0.132788798901935	0.163705574404596	0.247749545997317	0.00339377884542786	0.231932487707334	0.528499029622964	0.21535189211309	0.222734235178858	0.22784983819884	0.246518255467746	0.1467852735081	0.0686106809074575	0.30545314719609	0.519485258202718	0.401726570671355	0.111434071415663	0.0362072067838158	0.289288099163013	0.187985396580543	0.471297478412385	0.0986596947301194	0.10842061822415	0.0303502499565181	-0.0323840312284208	0.133687050005054	-0.0357192325481288	0.113255141392039	0.0147390962819284	-0.0179864568096673	-0.140848624144517	-0.0905586572982466	-0.21540083893441	0.223161501408993	0.0629390812978418	0.126671497496474	0.17961829681377	0.365449589283278	0.109237490235206	0.335477283792832	0.211977252780194	0.175799726116813	0.313023051538455	0.213090954097608	0.101524911777337	0.0898859984012647	0.0574906728834625	0.122344406593949	0.121303716616052	0.0592898378044673	0.128089175365164	0.00417591949437909	0.00359261986866819	0.029878150091875	0.088959967995228	-0.00221808388173247	-0.15525933901551	0.005615490828273	0.0634543180227626	0.0695652739816803	0.0491863476693675	-0.0957125705563205	-0.00401264086122326	0.17462769841954	-0.26681267002643	0.172431655155089	0.125558493460753	0.243426266590837
Pful_4	other	0.268478994033102	0.329612750619669	0.218929320327387	0.19043089330832	0.408484504859351	0.272969498926745	0.200712459468741	0.304228487897705	0.260762269059975	0.451350898343979	0.106902145448424	0.161826446113095	0.562812971110112	0.165808960020008	0.06053226293632	0.134459102280052	0.265654484671795	0.290470250275354	0.185615630553133	0.329499228756163	0.0986950604314396	0.272466685860035	0.197305202250037	0.0835786201457284	0.145185992509184	0.125233417756227	0.322809082772759	0.05797369960259	0.315811713783455	-0.0262486505754071	-0.0468915884915769	0.115684818421459	0.425648837849834	0.226970033522728	0.107159507808226	0.133262600140067	-0.0468194437302554	0.0755499185827178	0.0636904960446006	0.0584212087345409	-0.263787367633159	0.181985116402518	0.0898069033459348	-0.130717031166577	-0.171124096929875	0.225494046484858	0.227047071535415	0.0523167883897373	0.11287213756678	0.0801749362051215	-0.0345554749337188	0.0366318331153913	0.0325155866824095	0.0857353102393593	-0.291804404285841	-0.0263032188583575	0.0777452687903177	0.28626065009062	0.336656128400494	0.279622787743505	0.176206434568113	0.118225691626187	0.0230503051162079	0.086570464733286	0.083169975954025	0.130142443114956	0.238541545384343	0.244582984707886	0.173105229553917	0.210902265600215	0.00274633313769488	0.163284206142378	0.266897275294027	0.474796203395008	0.373816489680266	0.12412095129517	0.1602783221006	0.151997285474074	0.116083502183225	0.149621417462098	0.208604339063613	0.194791186344032	0.335273066354161	0.233698537313455	0.283625535064717	0.238013252519561	0.111749210783173	0.154302277073462	0.279259698638162	0.0246383558596299	0.247172092091675	0.517305877517669	0.235313814013795	0.248962419050035	0.236980254996682	0.258854807551297	0.167161630843219	0.053306141635155	0.312206038982916	0.531861960959072	0.409970465612799	0.116068255967396	0.0740783062434685	0.310639441276675	0.200344081733369	0.520873831130681	0.0815933716271556	0.106281617763156	0.0468917228510563	-0.0371585292999526	0.113366000582187	-0.0218685797033418	0.137751865766	0.0271401870806894	0.00826869472655746	-0.188381850850417	-0.073834282562006	-0.201729536379975	0.241455071670644	0.0436753865367765	0.140021586594477	0.215376274500593	0.377291822358154	0.134844299281035	0.351696934435817	0.198994456722609	0.197535394485874	0.32643563258078	0.217729271547706	0.12121149054732	0.0984178989471124	0.0726845722637444	0.130805013607975	0.0884398176292185	0.0788397054497868	0.196293310241581	0.0432917581288572	0.0304928884646664	0.0673002729698308	0.0765526029328079	0.0403349747371076	-0.123848428337806	-0.0211647406121521	0.0971712967429652	0.0752372955032881	0.0942321189291605	-0.0756513390279042	0.0137793485070039	0.166710311675188	-0.255120089926692	0.147396342519048	0.0480776599169333	0.256239503768982
