gene	Peri_vs_Esin	Bger_vs_Esin
ko00190	17.5326445938814	14.0435390583133
ko03010	14.4275121957853	12.8174406710512
ko03050	13.4584799811391	12.6275642851581
ko03060	13.3985205464386	7.50995109570117
ko04320	12.0267653816742	0.168765553781848
ko03020	11.9501970019433	0.42402014542006
ko04980	11.0779881233663	8.6757891682877
ko00220	10.8297587113086	10.7010913827887
ko03040	9.97801809747803	2.84701771105706
ko03018	9.21547789087561	5.25421489839808
ko04150	8.49510730578904	3.52425977807609
ko00780	8.44723072181035	-3.70326362424435
ko03015	7.44190340880951	-0.19070489948764
ko00470	7.4032243489331	0.0147675048728892
ko00052	7.4032243489331	7.2532024580381
ko00910	7.37971597330192	3.52425977807609
ko00290	6.96476906046748	4.15276352410836
ko03410	6.84012346543849	2.12112634069424
ko00860	6.56037146392982	10.6703710449108
ko00250	6.43864296020057	1.29936164461688
ko04122	6.42265039803889	6.51964233065952
ko03013	6.42265039803889	2.13733157278842
ko05100	6.19785796637256	0.86413248710227
ko04137	5.99153492161583	-3.03000071098555
ko03008	5.86189008913919	-6.35746218232226
ko00920	5.76772569998934	-0.944243449354091
ko00400	5.48906571142873	9.09006607262922
ko03250	5.32340011318451	-3.17555701714476
ko00360	5.19627923765876	9.61636895289829
ko03030	5.12479360888914	3.38988180723924
ko00450	4.66740969836115	1.38356055270136
ko00730	4.33374327205857	4.73607090031112
ko01250	4.03783255809643	3.70326362424435
ko01210	3.77075188223717	0.82063561705675
ko00100	3.5875033558874	7.68063116498453
ko00770	3.44904194093707	0.241418948304236
ko00130	3.24960891395284	4.81606976078341
ko00071	3.09057648916987	-5.47437856650126
ko03082	3.07542461079522	3.62361804195955
ko04145	3.06526932385658	-0.797840930548017
ko01232	2.99775810572803	6.54730943228815
ko00630	2.86849581311511	1.12068814133166
ko02010	2.84754342404013	2.94125004391809
ko00900	2.80717639784481	-3.46460956197305
ko04981	2.74022240111235	-0.946925306369047
ko01200	2.49416932899881	-0.100037861819436
ko00350	2.04515909240455	8.39799879513921
ko00020	1.99593654347281	3.52425977807609
ko00280	1.94446750287291	-3.48575201539792
ko04141	1.76250621532441	2.08989769893435
ko00601	1.6307882736122	15.1219762428171
ko03420	1.57696307449999	0.944243449354091
ko00760	1.51801855581757	-0.0465377854427764
ko00480	1.35739775545352	4.03044954597155
ko01100	1.2812141477345	1.77487807029314
ko01230	1.25073119603333	1.50536869165686
ko00270	1.19273585802936	3.71837770271313
ko00563	1.07437884792419	-2.9506342344488
ko03430	0.959168020019893	0.536495108923526
ko00430	0.92535037813281	-0.0591266739036131
ko04213	0.92535037813281	0.712705156898063
ko04215	0.910958139956593	0.0147675048728892
ko00061	0.896361929437271	-5.30830068928795
ko00240	0.757401611397869	9.11939972317753
ko00230	0.741470349862781	0.935092297387053
ko00040	0.73958746485576	6.31082027575811
