Sample	group
Pame_1	other
Pame_2	other
Pame_3	other
Pame_4	other
Pame_5	other
Pame_6	other
Pful_1	other
Pful_2	other
Pful_3	other
Pful_4	other
Pful_5	other
Pful_6	other
Esin_1	Esin
Esin_2	Esin
Esin_3	Esin
Esin_4	Esin
Esin_5	Esin
Esin_6	Esin
Bger_1	other
Bger_2	other
Bger_3	other
Bger_4	other
Bger_5	other
Bger_6	other
