pathway,lambda.min,coef,absCoef
ko03050,6.405714318017106,6.405714318017106,6.405714318017106
ko03010,5.67174173016072,5.67174173016072,5.67174173016072
ko03018,4.9146044181391195,4.9146044181391195,4.9146044181391195
ko00190,4.646063243000317,4.646063243000317,4.646063243000317
ko04150,4.216363531940805,4.216363531940805,4.216363531940805
ko00052,4.0885583302958075,4.0885583302958075,4.0885583302958075
ko03060,3.3109730446626573,3.3109730446626573,3.3109730446626573
ko00220,2.2549199423199475,2.2549199423199475,2.2549199423199475
ko04122,2.2175613467771425,2.2175613467771425,2.2175613467771425
ko04980,1.7475939769293658,1.7475939769293658,1.7475939769293658
ko00730,1.317539972492701,1.317539972492701,1.317539972492701
ko00860,1.307461177808864,1.307461177808864,1.307461177808864
ko03030,1.0701362523087066,1.0701362523087066,1.0701362523087066
ko02010,0.47626897700346693,0.47626897700346693,0.47626897700346693
ko00400,0.38295002221251623,0.38295002221251623,0.38295002221251623
ko00290,0.37349964597758184,0.37349964597758184,0.37349964597758184
ko00910,0.35204578716278684,0.35204578716278684,0.35204578716278684
ko00360,0.01280416253829106,0.01280416253829106,0.01280416253829106
ko04214,-0.0011155261683496807,-0.0011155261683496807,0.0011155261683496807
ko00534,-0.09316412950124445,-0.09316412950124445,0.09316412950124445
ko00511,-0.25055625565730977,-0.25055625565730977,0.25055625565730977
ko04820,-0.32685542601493367,-0.32685542601493367,0.32685542601493367
ko00512,-0.5751262422671184,-0.5751262422671184,0.5751262422671184
ko04136,-1.273184076515178,-1.273184076515178,1.273184076515178
ko04391,-1.5876828462825552,-1.5876828462825552,1.5876828462825552
ko00500,-1.761712934600461,-1.761712934600461,1.761712934600461
ko00531,-2.027042868528592,-2.027042868528592,2.027042868528592
ko00515,-2.0800025361434455,-2.0800025361434455,2.0800025361434455
ko00340,-2.3803247110287917,-2.3803247110287917,2.3803247110287917
ko04082,-3.129602173480667,-3.129602173480667,3.129602173480667
ko04068,-3.1478917996214966,-3.1478917996214966,3.1478917996214966
ko00562,-3.397990878043388,-3.397990878043388,3.397990878043388
ko03273,-4.159746524750777,-4.159746524750777,4.159746524750777
ko03272,-4.240318029300778,-4.240318029300778,4.240318029300778
ko04392,-4.521721025847611,-4.521721025847611,4.521721025847611
ko04081,-6.124794796597326,-6.124794796597326,6.124794796597326
ko04070,-7.2154367426021775,-7.2154367426021775,7.2154367426021775
