gene	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
OG0003734	1.39682508333333	1.81252183333333	2.18143220833333	2.38969583333333	1.7665535	2.15400104166667	9.246015	8.75210125	10.4008541666667	13.0464483333333	6.70477375	11.7323245833333	21.25885	41.801675	22.7472666666667	23.7669333333333	33.3922875	26.4114208333333	0.307389083333333	0.592234375	0.615733916666667	0.566220625	0.308761333333333	0.443266875
OG0003735	9.12083666666667	8.872795	10.31595125	12.07788625	8.872795	8.98914833333333	4.54844666666667	5.11230083333333	4.92441958333333	6.27443458333333	6.33362166666667	5.55301375	1.96963495833333	2.14012075	2.12980641666667	2.39664625	1.84806291666667	1.75410729166667	0.927515583333333	4.22026666666667	1.15903483333333	0.617509291666666	0.662212708333333	0.702586625
OG0003736	1.60400683333333	1.098547375	1.18725516666667	1.63063208333333	1.68127241666667	1.673308375	2.7925275	2.8941325	3.37530208333333	3.56509020833333	2.66947916666667	3.63104333333333	2.25362454166667	1.97213191666667	2.24221629166667	2.14751395833333	2.43687708333333	1.97597608333333	0.523393708333333	0.351808125	0.33065875	0.432129416666667	0.388836333333333	0.743984791666667
OG0003737	13.3297925	15.3669595833333	15.77380875	16.3722958333333	8.72110958333333	11.2794045833333	41.9982458333333	32.1099708333333	45.47345	55.211075	24.789925	52.331125	13.4979858333333	12.6076116666667	15.2591116666667	14.59612875	10.4088029166667	11.7096641666667	15.21512125	23.6835333333333	26.4637125	28.165425	18.4738304166667	19.6581908333333
OG0003738	1.339749625	1.24902791666667	1.36579025	1.46010795833333	0.994669541666667	0.720856208333333	1.21692866666667	1.160676875	1.15026991666667	1.618190875	0.884158166666667	1.243031625	0.656995125	0.61828725	0.699311916666666	0.669134458333333	0.673363875	0.942203333333333	0.268308041666667	0.081944875	0.321622375	0.454452416666667	0.280223458333333	0.265337416666667
OG0003739	24.5500666666667	47.5827958333333	50.0557625	25.0702625	38.8086583333333	52.6926041666667	173.793533333333	74.81135	116.165204166667	32.9725291666667	125.875291666667	88.8844041666667	5.78287541666667	2.35177433333333	2.2519885	9.48097333333333	6.73626833333333	2.9922875	14.28725	17.4915841666667	38.0536708333333	9.89573458333333	9.60869916666667	21.3003833333333
OG0003740	18.70113875	15.6892279166667	12.0150579166667	17.9655204166667	15.731065	12.56407125	14.8886833333333	16.7510504166667	15.7113208333333	17.8720779166667	15.4177395833333	19.90155625	8.69252958333333	9.39843541666667	9.18910666666667	11.7096641666667	8.29878333333333	9.56131208333333	6.82379625	9.30243541666667	6.590155	9.53750375	4.977195	11.1337770833333
OG0003741	33.181025	29.128325	21.8955708333333	38.4057541666667	19.2064166666667	24.8537875	23.6195	25.048425	26.8461708333333	30.3986375	18.96808625	23.9916333333333	0.003610125	0.00432491666666667	0.009859125	0.00428025	0.0046229375	0.00378016666666667	30.445075	38.3516125	38.4668791666667	38.0536708333333	49.9679166666667	26.5536541666667
OG0003742	10.05546125	10.96467875	8.25215833333333	13.9029325	11.8457345833333	12.4797354166667	9.73410916666667	9.01508458333333	6.70477375	10.2858129166667	7.52940666666666	8.91548958333333	26.5536541666667	34.5390708333333	41.291775	40.3245708333333	19.7006845833333	31.0386916666667	0.646229416666667	1.35368945833333	1.0744715	1.559494375	1.463915375	1.36412154166667
OG0003743	1.76859145833333	3.04978875	2.91872625	3.04978875	1.98409308333333	2.80729708333333	1.28809979166667	5.20173125	1.74205091666667	3.04495833333333	1.67206341666667	1.80277604166667	5.25558375	4.55327333333333	6.25344583333333	7.15921875	7.92722708333333	5.42190083333333	6.87786083333333	5.11230083333333	6.76514375	6.84757333333333	3.17176166666667	5.68101333333333
