Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Paludibacteraceae;g_QVMH01;s_QVMH01_sp010501035	4.77942806	3.499217634	3.06187519	2.312548305	2.612933524	1.679615152	0.47060617	1.7353551	1.7784995	0.41005847	1.5825315	0.520389325	4.939657858	4.215456008	3.93259631	5.069515757	3.88083908	4.09582256	1.45575161	1.59904514	0.751910456	1.40004405	1.98025488	2.70037652
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_WRHT01;s_WRHT01_sp031275645	0	0	0	0	0	0	0.18192515	0.09671191	0.1508319	0.29178995	0.14977962	0.4750794	2.70735598	3.6534768	11.26415245	10.78288661	6.35885792	12.8432927	3.58664935	1.374866006	0.792228999	2.455892348	1.05997983	1.396385272
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_JAAYCI01;s_unclassify_g_JAAYCI01	2.495851	3.4139168	4.3361855	2.667928	2.8343177	2.9415407	3.74936903	4.98024343	5.5110607	2.05900357	5.23053177	4.537448	1.29944011	1.15133404	1.41912145	1.30106775	1.33350375	1.43636208	0.9038652	0.60094134	0.60012482	0.40950398	0.79847967	0.9071601
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_DFXE01;s_DFXE01_sp029892785	0	0	0	0	0	0	0	0	0	0	0	0	1.30154871	1.66037042	3.96896999	6.98378011	3.02346905	6.04283001	4.76495237	10.14206695	1.31626418	5.812677304	3.53467027	4.63006761
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_QVMG01;s_QVMG01_sp029892605	0.60102296	0.6356004	0.8477569	0.5911539	0.7967479	3.3997512	0	0	0	0	0	0	4.430003	5.4507537	4.045402	3.4811342	3.5185091	4.0689735	5.785163092	4.861241457	2.190867244	2.163890408	2.9773787	2.660386562
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides_H;s_unclassify_g_Bacteroides_H	1.352668	1.91561278	3.044003	2.88904894	5.5013416	2.03227793	4.69340305	5.92800225	4.84482223	7.76745742	4.5803736	2.03270607	0.96007198	1.28423534	0.97616256	0.9279059	0.554059735	0.48629297	0	0	0	0	0	0
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_FLUQ01;s_FLUQ01_sp900079685	0	0	0	0	0	0	3.835769486	2.745883087	2.457050986	2.10062879	3.12742586	4.59258144	2.90238677	3.674123125	2.87022754	2.311385986	2.475508116	2.391341876	1.76663452	1.39023155	3.17754743	1.682269025	4.12168276	2.36539164
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Frigididesulfovibrio;s_Frigididesulfovibrio_sp030267245	0	0	0	0	0	0	0	0	0	0	0	0	2.04848245	2.05668543	4.67552684	12.2122498	4.72533387	3.6595233	2.8907303	2.01939628	2.6207003	4.6342447	3.35727145	3.71025225
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_QVMG01;s_QVMG01_sp029893085	0	0	0	0	0	0	0	0	0	0	0	0	4.10521231	3.55348591	3.63021052	4.85716043	4.98638825	6.06636916	6.24935623	4.54505941	2.24740933	1.91517364	2.48159744	2.92429124
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella_sp031285565	0	0	0	0	0	0	1.09863934	4.697435	2.415578	3.80750219	2.9955914	5.15104253	1.03319764	0.256808976	1.68025274	1.2276467	2.1317341	1.24645615	1.425524973	1.76268846	3.343356663	3.011176597	1.702244804	3.91365911
