Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_A;s_Enterococcus_A_xiangfangensis	0.8799285	0.86414856	0.30153766	1.6702441	1.1243386	0.20164105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_asini	4.1406684	0.89504695	0.8381408	0.5543329	1.2860975	0.48261142	0	0	0	0	0	0	1.17021517	0.96296852	0.8476120199999999	0.3668172	0.6848336100000001	0.5730558299999999	0.750731	0.160355916	0.31247432599999997	0.21619661	0.283831086	0.203243082
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_mediterraneensis	0.63484675	0.76634556	0.2704539	2.395553	0.32828984	0.550912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_songbeiensis	1.6116515	1.873509	1.6953934	0.66540056	2.5268805	4.0512857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_sp027692465	1.8617359	0.68139064	0.27104053	2.3559136	1.589464	0.6254641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_stercoravium	2.5918288	1.853613	1.12169	2.946929	1.1621882	0.7297083	0	0	0	0	0	0	0.8285136	0.67052156	0.7363789	0.1320907	0.4351125	0.3115828	0.42239368	0.09227118	0.022345817	0.03124572	0.09836258	0.04865142
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_J;s_Enterococcus_J_nangangensis	0.44757017	0.19823718	0.50102544	2.2188482	0.2724106	0.03786953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lacticaseibacillus;s_Lacticaseibacillus_sp934339215	1.2912803	0.18599427	0.3273791	0.18872301	0.12902221	0.29534942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Loigolactobacillus;s_Loigolactobacillus_bifermentans	0.71596546	0.11411621999999999	0.52367458	0.10848706999999999	0.05789224899999999	0.205217645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Loigolactobacillus;s_Loigolactobacillus_coryniformis	3.8717935999999997	2.4228127600000002	4.0903631	12.1833818	3.6500063	2.3696124000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Paucilactobacillus;s_Paucilactobacillus_vaccinostercus	2.0419025	0.6974783	0.67994122	3.0523892000000004	1.1827025	0.8316425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
