Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_faecipullorum	2.1868536	2.621953	1.9338822	0.8942347	3.8267503	8.931519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp030266245	1.2235101	0.4832875	0.7323059	0.8108887	1.2252241	1.8381397	0	0	0	0	0	0	0.3234629	0.8999728	0.37816787	0.15857778	0.2707256	0.3542132	0.299516659	0.5667701669999999	0.544987037	0.83505263	0.191814995	2.04429907
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp020854915	0.7662370199999999	0.360753215	0.32438879	0.68597653	0.467446177	0.28950197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp030266405	0.06536807	0.02412728	0.21487969	0.09650572	0.047606967	0.17207204	0	0	0	0	0	0	0.62855375	0.3451253	0.27501884	0.39860025	0.72579396	0.5207481	0.4402565	0.18588188	0.269225367	0.10755779	0.208123625	0.20202983000000002
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_cuticularis	0.0351818	0.07791337	0.05626252	0.01833194	0.096084744	0.017364576	0	0	0	0	0	0	1.7396844	0.29685836	0.19993052	0.29040732	0.32316466	0.11743337799999999	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp003315655	0.091584384	0.059156477	0.14035863	0.113338	0.037518825	0.090406105	0	0	0	0	0	0	0	0	0	0	0	0	0.1695606	0.15368846	0.1300685	0.13094783	0.19900699	0.5833632
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp031261945	0.33740451	0.21177619	0.23555396	0.20334800600000003	0.19465650499999998	0.23657687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_Methanoplasma;s_Methanoplasma_sp023402275	0.08674559	0.3430468	0.2080843	0.0193714	0.14214605	0.064222075	0	0	0	0	0	0	0.79524469	2.06920512	1.254685964	1.067498563	0.82487533	1.87056785	0.047766503	0.059855048	0.06281352	0.06587321	0.057205886	0.022793025
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_RumEn-M2;s_RumEn-M2_sp002502965	0.373807	0.4707273	0.18168104	0.17759073	0.5104504	1.0364484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_WRKA01;s_WRKA01_sp009780575	0.58908926	0.43262944000000003	0.8146525	0.41909129	0.39350952	0.91857018	0	0	0	0	0	0	1.028583835	1.55288661	1.53522635	1.29030539	1.6784074900000001	1.891573046	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Bifidobacteriaceae;g_JALCQC01;s_JALCQC01_sp022651005	0.3434416	0.31268448	1.0435358	0.20878041	0.24387239	0.22601515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Bifidobacteriaceae;g_JALCQC01;s_unclassify_g_JALCQC01	0.14424552	0.0608467	1.1973202	0.04294914	0.14069568	0.177987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Dermatophilaceae;g_Flexivirga;s_Flexivirga_endophytica	5.5701058	5.9158460999999996	5.2430783	4.1619526	7.7892232	8.9229098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium;s_Microbacterium_protaetiae	0.752157	0.6616186	1.1466367	0.6318358	0.5989848	1.2386234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium_terpenotabidum	13.468768	3.9125536	5.2673422	2.0532548	5.164716	7.8749827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Gordonia;s_Gordonia_liuliyuniae	1.8921094	1.9225858	2.9724505	2.261789	3.7388563	5.3231316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Mycobacterium;s_Mycobacterium_abscessus	0.5547904	0.8446862	1.1459883	1.5176741	1.5151837	3.867796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Rhodococcus;s_Rhodococcus_yananensis	0.70708555	0.7829538	0.3553836	0.25264192	2.7145975	2.3183184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Propionibacteriales;f_Nocardioidaceae;g_Marmoricola;s_Marmoricola_sp030151765	2.2431479	2.0494394	2.179683	2.2721252	3.7416778	3.9469938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Propionibacteriales;f_Propionibacteriaceae;g_Arachnia;s_Arachnia_defluvii	0.8130452	0.9158049	1.5916437	0.7231229	1.1140791	1.1000942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Coriobacteriia;o_Coriobacteriales;f_Eggerthellaceae;g_Raoultibacter;s_Raoultibacter_massiliensis	0.71041233	0.5196014	0.42241407000000003	1.58082295	0.48711178	0.57610836	0	0	0	0	0	0	0	0	0	0	0	0	0.28150534400000005	0.574810417	0.581837277	0.42626611	0.7036859099999999	0.90119305
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_asini	3.7944078	1.1706579	0.74112886	0.8942347	1.5603645	0.28949684	0	0	0	0	0	0	1.03352189	0.9108157100000001	0.8339956900000001	0.137561232	0.6814560000000001	0.27813186	0.5932577	0.08377305	0.046542574	0.06507945	0.08006528	0.11259196
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_myersii	3.1733985	0.80926096	0.41521737	0.9470282	1.6230639	0.22782344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_songbeiensis	2.053493	2.2896752	1.8536484	0.86681205	2.9721954	4.301354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_sp027692465	3.9960103	3.7413779000000003	0.64204281	13.215633	3.1417206	3.3779085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_Enterococcus_C_stercoravium	3.5337257	2.2932065	1.1522238	5.772906	1.3705107	1.4528462	0	0	0	0	0	0	0.7061616	0.4250473	0.4284227	0.17577285	0.56202537	0.20396326	0.28988722	0.09362865	0.08791371	0.07954166	0.1648401	0.13511035
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_C;s_unclassify_g_Enterococcus_C	1.6341796499999999	0.96225669	0.6019956129999999	1.60196872	1.1782735500000001	0.42630697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Loigolactobacillus;s_Loigolactobacillus_coryniformis	3.231612	2.1880887	3.4167929	10.90615	3.9511664	2.1918273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Paucilactobacillus;s_Paucilactobacillus_vaccinostercus	1.2020454	0.45411316	0.45796034	1.9342899	0.50981456	0.45543727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Avichristensenella;s_Avichristensenella_sp009787135	6.99473303	8.70182374	6.9718013700000006	5.06780482	9.54698626	11.462863200000001	2.1151303400000003	3.25089261	3.4111791399999998	1.92604762	4.48361918	4.8666619099999995	19.18808884	14.383018669999998	19.730303759999998	22.02341129	24.58636433	20.07369528	0.69858986	1.170015	0.43703008	1.5204512	1.00925	1.9539819
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Faecivicinus;s_Faecivicinus_sp004555155	3.069167463	1.7720852599999999	1.48795604	1.80656525	1.50498315	4.92642891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAEZHK01;s_JAEZHK01_sp029974035	0.7015119000000001	0.8807689	1.2068916	0.6510577200000001	0.46753847	0.79490077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAJDGF01;s_JAJDGF01_sp030265545	1.3228757999999998	1.4648173	1.2094228500000002	0.9886013499999999	1.2319857399999998	1.40051403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Pullichristensenella;s_Pullichristensenella_sp012514855	0.624592	0.5350184	0.4334604	0.33159244	0.32828984	0.7852368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Ventricola;s_Ventricola_sp934631055	3.95905917	4.70942053	6.04979498	4.44733066	2.6846017630000003	4.078444434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_unclassify_f_Aristaeellaceae;s_unclassify_f_Aristaeellaceae	2.07591106	1.63175755	2.85900776	1.32529896	1.9720729000000001	2.35407789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_Borkfalkia;s_Borkfalkia_sp904374385	0.04840447	0.313648468	0.19945911	0.19496863	0.29933232	0.59101459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_Borkfalkia;s_Borkfalkia_sp949291725	0.12995084	0.1678766	0.288634	0.16363874	0.18336897	0.12827896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Borkfalkiaceae;g_HGM11416;s_HGM11416_sp015055965	0.17172073	0.5996913	0.21124205	0.12389168	0.16234113	0.40095988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG-1252;g_SACC01;s_SACC01_sp009928745	0.22828169	0.1737832	0.3422498	0.25648415	0.17534758	0.10034872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG-917;g_Limadaptatus;s_Limadaptatus_sp949286725	0.17104211	0.15782855	0.3115195	0.17824739	0.18685262	0.1547713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DTU072;g_CAG-1782;s_CAG-1782_sp023394875	2.1026337	1.3474856499999999	1.55307521	1.59049119	1.122700054	1.84876828	0.124039926	0.06137483	0.17861664	0.085401855	0.24071719	0.21013114	0	0	0	0	0	0	0.086752035	0.10145979	0.026618687	0.13027121	0.15757468	0.10142012
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_JAIRRW01;s_JAIRRW01_sp031255775	1.68375883	1.9716937460000001	1.8344864289999998	1.17146386	1.41121249	1.5601304040000001	0	0	0	0	0	0	0	0	0	0	0	0	0.347543861	0.59215428	0.182283648	0.35388712	0.25941576	0.51990974
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_Protoclostridium;s_Protoclostridium_sp900761765	1.096572492	1.60106503	1.53812727	1.3278077449999999	1.009194794	1.16849311	0	0	0	0	0	0	0	0	0	0	0	0	0.22729375000000002	0.21176949	0.112854053	0.15294772	0.28176318	0.27546953
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_RACS-047;s_RACS-047_sp013316045	0.2159364	0.29489687	0.21870507	0.24191044	0.17692252	0.29842138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_UBA10677;s_UBA10677_sp934277845	0.76743798	0.9118902600000001	1.98747897	0.529046	0.48535569	0.5217579130000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_UBA3700;g_MGBC161649;s_MGBC161649_sp910587685	0.43058336	0.4052663	0.37872222	0.11778962	0.9642895	0.83414817	0.22030964	0.062290944	0.12085508	0.021669134	0.17101699	0.06490751	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium_sp023424785	0.13474259	0.11778951	0.17578575	0.09977122	0.1336401	0.1312589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
