Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Archaea;p_Halobacteriota;c_Methanomicrobia;o_Methanomicrobiales;f_Methanocorpusculaceae;g_Methanocorpusculum;s_Methanocorpusculum_faecipullorum	2.328964	2.8006904	1.8488816	0.9395124	3.4333634	7.187458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_blatticola	0.5051149	0.099118546	0.32208785	0.05497146	0.7019812	0.17041297	0.2193593	1.349573	0.13586055	0.012179812	0.23802462	0.04169512	0.80135286	1.6197348	1.6313834	1.1935956	1.2727916	2.5705092	1.9056677	0.27111474	0.06867614	0.027436692	0.03127255	0.16554241
d_Archaea;p_Halobacteriota;c_Methanosarcinia;o_Methanosarcinales;f_Methanosarcinaceae;g_Methanimicrococcus;s_Methanimicrococcus_sp030266245	1.0248003	0.41393712	0.34013936	1.1687236	0.52808017	1.9182508	0	0	0	0	0	0	0	0	0	0	0	0	0.8295142759999999	1.059856776	0.90805318	1.64989643	0.51735447	3.3433916000000004
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp020854915	0.5638258899999999	0.30349017	0.36317125	0.3733568	0.333636306	0.30147622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_JAHKLT01;s_JAHKLT01_sp030266405	0.14095649	0.1734231	0.23555451	0.07344723	0.07699303	0.18552391	0	0	0	0	0	0	0.41475403	0.25210634	0.27196335	0.51160672	0.50705599	0.44772519	0.11261376	0.13376403	0.021596266	0.19628449	0.22618484	0.71704817
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_cuticularis	0.28554323	0.09179459	0.34616166	0.17998323	0.18112536	0.17730509	0	0	0	0	0	0	0.08065569	0.1236326	0.043101944	0.06590237	0.060581975	0.09327252	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp003315655	0.09306159	0.068697885	0.03720584	0.06061376	0.04447795	0.08038125	0	0	0	0	0	0	1.5325867	0.3974073	0.1590599	0.07366188	0.12038218	0.06619338	0.055954944	0.102252424	0.1448638	0.045013316	0.14170358	0.08177003
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp031261945	0.26085723499999997	0.27985303	0.51266485	0.300332426	0.243589057	0.3340539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_Methanoplasma;s_Methanoplasma_sp023402275	0.148688201	0.45935397	0.55143947	0.097971734	0.386482884	0.20945781	0	0	0	0	0	0	1.106837204	2.7549553440000003	1.62229702	1.2544901899999998	1.125295129	2.26305983	0.0	0.021247258	0.033446208	0.015589038	0.040613666	0.01213654
d_Archaea;p_Thermoplasmatota;c_Thermoplasmata;o_Methanomassiliicoccales;f_Methanomethylophilaceae;g_WRKA01;s_WRKA01_sp009780575	0.6039723800000001	0.751476	0.8656918600000001	0.34723974	0.75012907	1.8214985	0	0	0	0	0	0	0.54807145	0.9474041900000001	0.847700255	0.81610348	0.9050617599999999	1.05730184	0.1689208	0.46302956	0.24295823	0.15853758	0.13276067	0.74055797
