KO Bger Esin Pame Pful
K00001 106.049458406667 76.3070789670833 62.9490624565 116.6557164465
K00002 37.4818313105 25.9116933095833 30.4725280735 32.66309067725
K00003 95.2198776014167 201.965114913833 222.886695262 156.417300626917
K00004 12.738622188 33.2270353021667 22.7904651404167 26.2001997467667
K00005 88.5079406892667 106.242483575833 49.8758053161667 63.9484661638333
K00007 8.4426795145 1.15814919666667 7.17910564316667 5.42532024766667
K00008 342.832389041233 174.858298108583 236.797651158583 315.47876669965
K00009 43.4868286235 46.8924171225 36.3143987728333 28.7755023644167
K00010 545.980140720333 346.82813166785 598.798376809917 459.142819231483
K00012 210.65765637065 296.352667098117 258.2760462085 343.453907651917
K00013 225.54679281305 303.561516191917 250.133266163167 302.4353496888
K00014 249.22861637395 240.782456196833 220.6634051923 207.4140996165
K00015 181.863429109117 68.1047243393333 133.53682323975 148.509471427217
K00016 95.7227912306667 151.411596475417 90.7582998420833 97.40893743325
K00018 171.719973534483 167.155795788883 174.394445490833 169.541405911367
K00019 26.4811300556667 72.1420819923333 36.8189650078333 41.6708769148667
K00020 76.823797123 99.4105702894167 76.3237131144167 69.82976684325
K00021 1.53025794333333 15.0211617325 8.52433591816667 4.2697865505
K00022 7.48348685233333 15.012910148 5.45925323133333 4.04729739683333
K00023 4.326765147 5.35171969833333 3.60303456316667 9.17393233516667
K00024 210.067698628583 266.988682831 177.412088324417 198.140150987667
K00027 94.3195125384167 241.805129233333 179.3843199805 134.260415932083
K00029 211.005299923067 172.509547726833 159.2814356595 187.130672168767
K00030 51.0067915333333 42.9490039305 54.9395788373333 42.3842294800833
K00031 170.821073114117 182.632540646167 150.321208237083 159.79103154335
K00033 142.528089086 140.223831824833 145.720958654 148.710543085733
K00034 204.6563563665 46.4009721953333 66.1196176584167 73.3351820826667
K00036 105.036630486667 98.110121057 79.2721293416667 106.771448504667
K00038 9.21193698883333 47.1585756915 51.8292046768333 48.3256891575833
K00039 0.826965474833333 3.81815275183333 4.33333609733333 4.38334988283333
K00040 46.7506924106667 69.9763536596667 50.6563273028333 92.3846748747167
K00041 168.304242762083 130.3367598155 106.031480403333 116.857090843033
K00042 101.8860011545 50.9649529890667 94.680611108 95.5313908839167
K00043 1.59804727133333 1.3038491865 0.629211332166667 0.077740608
K00045 4.23633398166667 27.8318213515667 9.02596742783333 15.36934720325
K00046 260.363654794733 180.3984628665 173.1361597265 176.30962124
K00048 59.4523151394167 84.519140417 37.5611533685 42.5474412835
K00052 226.900295667833 258.584709188833 234.096748522583 230.771321131
K00053 238.561343172333 312.955498318 261.361300154333 246.5394870775
K00054 35.7995833995 43.1846389805 34.9582421363333 37.94906686
K00055 25.5594581303333 33.8700678576667 27.7210253175 35.0533442001667
K00057 352.225121662133 332.1764993748 357.398129219833 355.330945107717
K00058 411.06602333685 535.211708978083 512.097730376333 436.650033030817
K00059 1362.0506605678 1186.58630437667 1115.24318148242 1119.48221716365
K00060 85.3004989581667 51.5630822276667 80.3185282456667 80.3802082435833
K00064 4.21677968796667 33.5205245278333 0.9276774645 3.070061522
K00065 110.019860712133 79.5338599875833 84.7154320545 80.068571315
K00066 0.415568622 3.20728992233333 5.4530764545 0.602343680666667
K00067 294.171549852617 274.836151375 282.375379149333 268.980088160383
K00068 39.6893299305 47.1432189278333 56.8544997421667 48.6863111573333
K00073 14.0377729038333 6.46875358616667 10.7913387698333 10.0306769683333
K00074 199.20426434675 173.893227963167 190.05019583325 158.195978887
K00075 256.600360443833 334.139290069 310.768912149417 280.804090267833
K00076 2.60874826616667 14.1952100205 5.267374629 8.28919384666667
K00077 216.763788946417 153.923534098417 135.37738443075 177.888514505983
K00078 90.0578282730333 113.651486516267 64.4217441428833 80.4601063683333
K00079 1.53634789183333 1.15385931008333 0.927934696666667 2.28319188
K00084 1.98471231666667 1.3988780015 0.15263993 0.67134728925
K00086 8.94003219966667 25.7208301693333 79.4021021476667 44.5733571216667
K00087 76.6428571357667 114.476837441167 149.177448873667 106.383563266983
K00088 346.3023947375 460.230431137333 426.8541464655 394.26847301075
K00090 7.594189561 3.84080839516667 3.18063105033333 4.4151885136
K00091 71.9525158589167 63.9502249346667 55.9959775985 74.6894190738667
K00096 102.356304080167 123.763665726917 165.682016861333 141.24671735185
K00097 189.97533034965 176.295148036333 154.692874696833 154.306352022233
K00098 4.36428043258333 2.60530754 2.32253748716667 3.78755734983333
K00099 268.186288189183 298.352066229333 315.009907214667 285.63822955135
K00100 30.04002872075 21.7442634913333 16.7709715605 28.2134248928333
K00101 2.615075134 11.9591353195833 2.28205369091667 4.31237087666667
K00102 25.6620460418333 20.2150557801667 20.7778303375833 20.6007964465
K00104 49.8290191229167 81.2396781155833 59.1875119085 52.2966846677667
K00105 6.95427566633333 11.1305299725 11.3236471158333 8.91856371641667
K00108 5.47103218483333 49.238216365 3.427226161 8.53828064391667
K00109 0.968475617166667 0.549589442333333 0 0.440178341666667
K00111 250.99700029135 259.336275424583 303.4491371405 275.498682778567
K00112 60.4512226726167 9.239066411 15.4886955023333 27.8819228296167
K00113 30.2772656081667 13.390936959 28.5654323973333 34.9561956578333
K00114 1.20920674048333 3.62183300883333 0.1500634 0.43223163
K00116 2.987491928 27.111482392 5.33157884716667 11.0642173326667
K00117 6.238389938 15.9125336179167 3.56661857333333 11.8878348226667
K00118 0.793511942166667 0.371311407 0 0
K00121 15.3015860425 26.5683042243333 5.19654025666667 7.374037178
K00123 73.922773056 87.2175542906667 173.442434332167 163.390245209833
K00124 55.7845235063333 27.2755516154167 99.1010332223333 128.425410012667
K00125 44.1469818041667 30.3047040855 80.5227242215 67.09875567195
K00127 12.9741353521667 9.584478372 24.339349003 21.74371387725
K00128 136.512399068 129.819346431 110.033807748667 116.2928736428
K00129 0.189374407833333 2.29351617166667 0 0.248664585
K00130 5.94524824806667 37.6244467921667 5.24131366233333 5.60854279333333
K00131 7.31547058766667 3.91950293016667 4.15665516583333 6.53522106216667
K00132 99.94170774055 20.9688683848333 56.1171398053333 69.6349149455333
K00133 306.963082262133 404.797677479183 356.003572399667 317.967416388417
K00134 400.184603214667 496.3369622505 541.8693024963 449.752162387167
K00135 82.5853327768833 138.188122303167 52.4155046553333 90.4402305151667
K00137 1.01403662566667 4.83211030633333 0.187698701166667 1.56754438033333
K00138 5.02991442716667 33.9737339911667 1.76622309916667 2.761559809
K00140 54.5142592476667 50.4613539993333 56.8449992903333 55.6542345725
K00141 0.2923798785 1.2468990785 0.118950114 1.168471434
K00145 232.411426847967 282.35470800375 242.555302698167 242.593146811583
K00146 6.24339706716667 10.015693818 1.67962248383333 2.58209424966667
K00147 218.73541666805 297.15710702525 279.598656076333 258.386411798533
K00148 2.06531989833333 20.0738062125 0.485985377333333 4.34624409625
K00150 6.79746611095 16.348006992 17.4330494156667 10.8515373201667
K00151 2.88082618133333 11.740974759 0.7144371645 2.152883902
K00154 1.23959928283333 7.093221777 0.54798009 2.74513905816667
K00156 35.0008375615833 29.0314397826667 2.27308568383333 14.147867268
K00158 219.686622872 102.819422603 61.7905935176667 152.857189067167
K00161 7.4011950365 31.9636243771667 17.3836867325 25.1772024093333
K00162 9.65116264933333 26.192957187 16.648978725 23.912401037
K00163 3.71667774216667 57.1480863676667 4.34986641566667 18.4211757016667
K00164 9.59186403583333 20.350989459 6.2030469365 31.8768945095
K00166 0.109379671 19.0877201236667 1.120391113 0.9768568485
K00167 0.083913844 18.209110422 0.844422441833333 0.9429986375
K00169 19.5589655443333 49.9516020441667 57.4423671306667 39.9881512385
K00170 20.07298554075 44.6653858243333 55.6555772775 40.3444075125833
K00171 9.88656214 18.964633786 25.0389038651667 17.1146864715
K00172 19.9829919478333 40.84435861 56.5341345835 40.3755811140833
K00174 468.078073239367 490.341094319 491.966745257667 439.288985416933
K00175 463.746295333833 447.012765478333 467.372329376167 399.770419465117
K00176 1.74344107666667 1.10517676716667 5.32949519666667 9.70578234233333
K00177 249.630620651333 260.451953859 285.467590950333 237.3544547325
K00179 197.300140553167 346.62697734925 352.3790966065 305.3377426557
K00180 188.711380112667 267.661911598167 279.840590754667 211.094001741
K00184 19.0104676851667 6.13644964466667 29.2374698796667 28.6888079013333
K00185 1.404768176 2.45146200833333 3.57613418733333 4.409071293
K00186 0.268898091 4.0948065355 5.96030442166667 4.02332740716667
K00187 9.89067156533333 8.12725692583333 15.1816458021667 12.3532937506667
K00193 0.434037260166667 2.70293018366667 4.00701553466667 1.55744952883333
K00194 11.6034924965 14.7443586690833 26.3269000776667 14.0197568845
K00196 45.680595057 55.9834659178333 42.286042238 43.1645191453333
K00197 7.36408742716667 21.0472990805 38.957349235 11.659603732
K00198 17.9239370186667 19.7023257876667 41.3145496228333 25.4146758515
K00208 220.439748922833 111.940398782083 163.148012394583 196.00920121395
K00209 21.0182893586667 15.46992135525 18.2176061186667 23.7733373853333
K00213 0.301201419333333 0.2975767795 0.257128006833333 0
K00214 0.374772296666667 0 0.0691749276666667 0
K00215 249.718905361133 339.343386277 289.38586242865 267.839383861683
K00216 1.7566181865 13.4002493915 0.882370723666667 2.6251261025
K00218 10.2616094413333 51.0697635275 18.9774963635833 16.8428877199167
K00219 27.0296355405 52.4490025525 28.3674111083333 25.2206778122167
K00220 1.58872809716667 1.320901049 1.85068212316667 1.88837193341667
K00223 0.240445901666667 0.100907862666667 0 0
K00226 124.808060549583 146.448047535333 124.875563092333 99.98234642295
K00227 0.158914095333333 0.171995525 0.0493063736666667 0.217783601666667
K00228 3.14950932866667 5.3896293565 1.11042525266667 3.72456068675
K00230 43.4301011563333 44.9624901296667 40.8844003149167 44.80322066225
K00231 46.75068175975 30.0881265771667 21.3074801815 26.8554747121667
K00233 11.8291666623333 4.270935273 22.9899581811667 22.9377475323333
K00239 246.956368891167 221.85836644325 181.5585640465 224.439426305217
K00240 231.113226808717 185.016174347333 167.721638056167 185.499323746117
K00241 217.3341737416 183.605503936417 133.464223014333 148.821114579083
K00242 2.938623607 15.3146108545 5.59112250183333 10.418246889
K00243 159.49709716425 124.296324014083 105.554641022333 192.36787187625
K00244 5.01479612183333 4.00335751316667 6.43143324816667 12.04878110875
K00245 4.4603396465 1.57735271683333 6.09074962766667 10.28416265745
K00246 2.1812433765 1.48856007766667 4.60180144166667 6.066399974
K00247 4.37317049233333 0.978206815666667 4.74468864216667 6.66770606416667
K00248 110.180264120767 178.9628362525 189.140348587 183.4398459055
K00249 88.9159379927667 207.901444273 143.872698888833 112.2282216165
K00252 0.693292659666667 26.9516153518333 1.34200919566667 5.3992732255
K00253 0.170559113333333 6.55369739316667 5.573926754 5.5523980245
K00254 66.573345862 59.297705223 32.4210743375 41.56294570675
K00259 189.736580609167 201.115075621167 197.7264506325 205.23875807435
K00260 22.7901209391667 7.0378583865 43.911407723 22.740890919
K00261 29.5598986876667 36.1175250116667 42.1495611581667 37.9410023175833
K00262 626.399212182417 754.04477995675 601.687371079833 561.370051465067
K00263 3.21907575 3.27115750116667 10.0747829315 11.2868814280833
K00265 215.034806296833 275.147822962333 152.968035032333 188.690097722717
K00266 538.046265013017 587.813195375917 535.382442354 497.736510667567
K00274 27.0709585036667 6.89864346783333 7.78168456983333 9.7862447125
K00275 208.33412865925 134.704020173833 107.891605817833 184.550308317833
K00276 4.24584517916667 3.5023333055 0.5749211825 1.59488098
K00278 225.9938923337 239.9917535625 223.772065152667 218.920483166867
K00281 187.070328564667 234.158906323167 157.124778506833 168.5173015014
K00282 102.448405348333 73.5847995549167 153.099544636333 122.116936372083
K00283 107.717757352667 95.4347443483333 185.540556463167 140.569625025133
K00284 15.2722562183333 28.269975439 21.621881747 22.020942879
K00285 9.55500382616667 28.9825611169167 8.21578069683333 15.6699293905
K00286 264.354130521667 289.499728731267 283.207127183833 269.77524614615
K00287 288.782683602817 293.578162627167 230.301154724833 206.206802386333
K00288 1.13672168383333 5.80045845633333 3.332739791 1.91144682933333
K00290 0.31020826 0.149644755666667 0.086444398 0
K00293 1.63777022433333 3.31396984016667 6.41365019316667 2.05304290483333
K00294 58.2355825588333 83.9512389333333 91.8282580621667 67.1591092211833
K00297 258.521773883483 283.672187135667 274.473052149 267.22880617775
K00298 3.62793302533333 2.2666362555 2.96981919216667 8.042309429
K00299 2.21444349033333 22.3554981796667 1.46465424016667 3.83473232766667
K00301 1.19107249666667 2.95412919416667 0.243429500166667 0.1985920815
K00302 1.15922694333333 16.8533140548333 6.77209526983333 2.29488166266667
K00303 1.82663481433333 14.0864864033333 12.4079213698333 4.6761437613
K00309 0.432681578333333 3.66865957666667 0.265169239166667 0.609646935
K00311 3.8052957555 15.256440778 7.48857712 7.64773855321667
K00313 9.22178512483333 8.88583863183333 20.7716014150833 26.2739046578333
K00315 1.75659197 4.19814928816667 0.177912776833333 0.123056434166667
K00316 1.04129991783333 4.38738600116667 0.325138620166667 0.326232517666667
K00318 26.680852203 22.5599679503333 45.7032039965 35.4744539555833
K00320 0.431666959 28.5113115176667 8.92834196 2.45911015158333
K00322 3.10512979076667 7.475939156 0.866513090666667 2.217371024
K00324 29.6494858666667 47.9067762018333 81.4095191280333 94.7636891908333
K00325 20.04880760505 36.13939679575 59.7705621110667 68.3099965488333
K00330 152.911275890833 83.8530397976667 74.7296116705 103.6635693455
K00331 172.176218806333 81.1375793451667 75.336395496 109.364444873333
K00332 30.212510976 13.9350021338333 8.01214902433333 22.6569303905
K00333 34.9718727766667 28.7544621914167 27.4983762425 34.3533067674667
K00334 204.960697465583 294.529383855583 367.376698751 295.374366088833
K00335 263.568295517133 418.33151590775 509.63709857885 378.592557730067
