Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG-138;g_UBA7707;s_UBA7707_sp021372675	0.028964942	0.14432754	0.1389616	0.090555385	0.047463533	0.11794316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Cyanobacteriota;c_Vampirovibrionia;o_Gastranaerophilales;f_Gastranaerophilaceae;g_CAG-196;s_CAG-196_sp944324255	0.04271223	0.04053875	0.043910492	0.0810746	0.33995485	0.14455798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Synergistota;c_Synergistia;o_Synergistales;f_Synergistaceae;g_JAIRKI01;s_unclassify_g_JAIRKI01	0.12771732	0.066551134	0.39046776	0.19964644	0.08617615	0.21692158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_unclassify_d_Bacteria;c_unclassify_d_Bacteria;o_unclassify_d_Bacteria;f_unclassify_d_Bacteria;g_unclassify_d_Bacteria;s_unclassify_d_Bacteria	0.20109006000000001	0.07067367	0.26835081	0.47633341	0.209380238	0.12347582300000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_WRHT01;s_WRHT01_sp030267065	0	0	0	0	0	0	0.35935676	0.1768945	0.22130863	0.09336543	0.32456818	0.41949847	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Acidimicrobiia;o_Acidimicrobiales;f_Acidimicrobiaceae;g_Ferrimicrobium;s_Ferrimicrobium_sp027409005	0	0	0	0	0	0	0	0	0	0	0	0	0.063743934	0.09853082	0.077861525	0.044643603	0.041039377	0.02407033	0	0	0	0	0	0
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Actinomycetales;f_Cellulomonadaceae;g_Isoptericola;s_Isoptericola_croceus	0	0	0	0	0	0	0	0	0	0	0	0	0.041962706	0.0100897765	0.12814078	0.25143838	0.17860763	0.1571347	0	0	0	0	0	0
d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter_nematophilus	0	0	0	0	0	0	0	0	0	0	0	0	0.08198664	0.059140116	0.12518053	0.10048491	0.04618628	0.18962325	0	0	0	0	0	0
d_Bacteria;p_Synergistota;c_Synergistia;o_Synergistales;f_Aminobacteriaceae;g_JAISLU01;s_unclassify_g_JAISLU01	0	0	0	0	0	0	0	0	0	0	0	0	0.15900332	0.026987122	0.1256706	0.15284595	0.19670892	0.32139683	0	0	0	0	0	0
d_Bacteria;p_Desulfobacterota;c_Desulfovibrionia;o_Desulfovibrionales;f_Desulfovibrionaceae;g_WRHT01;s_WRHT01_sp031264465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46059428	0.5734025	0.303632575	0.2624572	0.33685833	0.28846713
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Evtepia;s_Evtepia_sp004554585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33824894	0.105211504	0.14905602	0.069474004	0.36199704	0.102165475
