module	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
M00019	0.459058413052586	0.456472391630545	0.45872780229413	0.460782885780586	0.46028284514489	0.464063778671014	0.419605589923018	0.424619304273721	0.42416227619582	0.422269072620326	0.421950251795623	0.422639915414376	0.460412903082459	0.450858160512335	0.459750802151282	0.461230168508493	0.45804946688809	0.459103246584137	0.465943227009742	0.459994192561601	0.460702875505493	0.46186102133646	0.460699119110883	0.45933077330669
M00570	0.373909655667158	0.367613292634345	0.370507358979974	0.374324717122961	0.372559099173532	0.380610875772193	0.32533428298482	0.328520528905678	0.331320858588465	0.327658795920437	0.330629086616691	0.326653870477944	0.378717314242632	0.368865155548144	0.379316027091553	0.380174624117975	0.378105899321307	0.381234812183421	0.385779035181754	0.376428427406772	0.378175340284149	0.37490128620379	0.381034649962934	0.375771563986229
M00535	0.418084317779195	0.419571780015232	0.421282864457927	0.443909290616881	0.419614398920167	0.433728653406067	0.360158560898808	0.372243105319082	0.374347111710189	0.373919333904426	0.36820077942787	0.362723199656718	0.419721428382372	0.409876777072608	0.416736492857322	0.418706446291765	0.419188340020541	0.419422276021668	0.426233203993455	0.422654470874039	0.423142182099068	0.424552420015356	0.422696929353934	0.418242603221667
M00432	0.442732773576474	0.442401417022353	0.444086143813191	0.462135075113961	0.442411543749604	0.470359714852821	0.413243354194594	0.412449781822945	0.411960533549105	0.410753861977143	0.410997944194036	0.41562548548738	0.449935719993435	0.439143442784269	0.448250870210446	0.451755360760263	0.448508184385264	0.450695614028851	0.457581997474638	0.454165097160645	0.447415619682283	0.452201212508522	0.447839526411514	0.446383388517966
ko00524	0.115934489714359	0.137390200807713	0.126758429387684	0.119419596874617	0.131151439561254	0.129311905804759	0.0459401171327115	0.0607100160729241	0.0661973621376062	0.0505533631247341	0.0660711420334041	0.0615719579650451	0.118886812415718	0.108830662214792	0.129196545018753	0.129157139213174	0.118732130228742	0.119148238657375	0.0949573795043717	0.114463408925522	0.120972646060499	0.109006440816648	0.104712516579474	0.118047656754735
ko00365	-0.165171584904097	-0.178314382769082	-0.183927426780117	-0.191922015153419	-0.174935553636854	-0.177968929282692	-0.32442433381224	-0.282738957947231	-0.277870413020432	-0.294083888069507	-0.270877329290343	-0.249084657758648	-0.176287219397916	-0.195963790565402	-0.160453398790142	-0.175905194168304	-0.187182022639612	-0.155328416235021	-0.17823542195849	-0.210044022179034	-0.177719013707794	-0.209322705606572	-0.175563327888169	-0.179416197481962
M00145	-0.187154577724601	-0.152962759067436	-0.169578120163131	-0.159152651774722	-0.171511062659496	-0.151290404684902	-0.325852036943962	-0.3038166692101	-0.26995561978786	-0.279191950173481	-0.276528286425806	-0.283169932407558	-0.155755199946392	-0.135169119831618	-0.125578646992526	-0.105324994017949	-0.117321810182885	-0.115275275676155	-0.171392626178115	-0.188822493098522	-0.139706991569235	-0.163516547234472	-0.132945551731082	-0.150130070023087
M00153	0.415760291617723	0.415349655177382	0.401274483597226	0.402393060914001	0.404336769680433	0.392953901705933	0.307922743878088	0.307162048522628	0.298888839657382	0.289742734957418	0.320459746240968	0.326709933055527	0.34710103135304	0.341086592665087	0.378298005900343	0.390994512484658	0.377466975590462	0.379967129230889	0.402704461793619	0.385307780732875	0.387143519325745	0.390058227830002	0.386304055510565	0.384151150093494
M00150	0.0591845639839619	0.0515605703194416	0.00673310697925932	-0.0491125508702745	0.0228957113966702	-0.00776261947709554	-0.19257942410226	-0.203245765293384	-0.23953724190396	-0.132298989952116	-0.156625396458602	-0.0910784161713695	-0.0546105422835399	-0.0168905054516212	0.0813496193797475	0.0926913906842926	-0.00388724377039929	0.0747864643582507	0.137603293928533	0.0545246413565002	0.0155804599351751	0.0707713539413778	0.047251361228348	0.0237273637789636
M00856	-0.169043501179658	-0.226415847157701	-0.174677472738006	-0.201893167808868	-0.0709783536646804	-0.168260856527713	-0.311796113432847	-0.283192455869302	-0.341587254287341	-0.388914014757138	-0.308171281221032	-0.339020078662242	-0.138646670514921	-0.177082698770781	-0.150515247490001	-0.173811143706403	-0.168076380546662	-0.122669583759819	-0.195709695388101	-0.16528956524238	-0.128382803736855	-0.151965884962826	-0.144778037840874	-0.192138856572365
M00555	-0.0334360254920067	-0.0774674607356218	-0.0571184075223835	-0.0900438453275651	-0.0678180555754374	-0.117705159600985	0.102612335884726	0.127889494558792	0.10823427577693	0.117733943178829	0.140767892719346	0.148238383813442	-0.0659658525061923	-0.0452394051587879	-0.0491159098799299	-0.0471895818163924	-0.0452402022075178	-0.052918715363506	-0.0693876408459787	-0.0725114109531278	-0.10958408144012	-0.103679350159726	-0.0973143695375701	-0.119538511610967
M00889	-0.425425871291809	-0.425425871291809	-0.425425871291809	-0.425425871291809	-0.425425871291809	-0.425425871291809	-0.233733400237675	-0.259572196574051	-0.243953524525039	-0.264694109598699	-0.183144471074649	-0.142779172851635	-0.477913147460462	-0.477879131079277	-0.477743065554536	-0.47730085259913	-0.477402901742685	-0.477743065554536	-0.465973397664482	-0.466177495951593	-0.466041430426852	-0.465633233852631	-0.466245528713963	-0.466007414045667
