module	lambda.min	coef	absCoef	Module.category	label
M010	1.43099050922692	-1.43099050922692	1.43099050922692	Organoheterocyclic compounds	M010:Organoheterocyclic compounds
M129	1.30394164592274	-1.30394164592274	1.30394164592274	Miscellaneous	M129:Miscellaneous
M096	1.29456360510356	-1.29456360510356	1.29456360510356	Phenylpropanoids and polyketides	M096:Phenylpropanoids and polyketides
M014	1.25690440279969	-1.25690440279969	1.25690440279969	Organoheterocyclic compounds	M014:Organoheterocyclic compounds
M085	1.20562334657113	-1.20562334657113	1.20562334657113	Organic acids and derivatives	M085:Organic acids and derivatives
M100	0.99429126590521	-0.99429126590521	0.99429126590521	Miscellaneous	M100:Miscellaneous
M128	0.962730308917591	-0.962730308917591	0.962730308917591	Lipids and lipid-like molecules	M128:Lipids and lipid-like molecules
M105	0.746879747265671	-0.746879747265671	0.746879747265671	Lipids and lipid-like molecules	M105:Lipids and lipid-like molecules
M117	0.741241165313337	-0.741241165313337	0.741241165313337	Lipids and lipid-like molecules	M117:Lipids and lipid-like molecules
M031	0.580875288370589	-0.580875288370589	0.580875288370589	Miscellaneous	M031:Miscellaneous
M144	-0.212403538308825	0.212403538308825	0.212403538308825	Organic acids and derivatives	M144:Organic acids and derivatives
M051	-0.810686160991542	0.810686160991542	0.810686160991542	Lipids and lipid-like molecules	M051:Lipids and lipid-like molecules
M132	-0.915174437047794	0.915174437047794	0.915174437047794	Organic acids and derivatives	M132:Organic acids and derivatives
M138	-0.948021055653172	0.948021055653172	0.948021055653172	Organic acids and derivatives	M138:Organic acids and derivatives
M018	-0.965428925177398	0.965428925177398	0.965428925177398	Lipids and lipid-like molecules	M018:Lipids and lipid-like molecules
M044	-0.970279963148632	0.970279963148632	0.970279963148632	Phenylpropanoids and polyketides	M044:Phenylpropanoids and polyketides
M113	-1.00029830598444	1.00029830598444	1.00029830598444	Lipids and lipid-like molecules	M113:Lipids and lipid-like molecules
M068	-1.03980890445168	1.03980890445168	1.03980890445168	Organic acids and derivatives	M068:Organic acids and derivatives
M133	-1.10105261719238	1.10105261719238	1.10105261719238	Organoheterocyclic compounds	M133:Organoheterocyclic compounds
M009	-1.12018632860998	1.12018632860998	1.12018632860998	Lipids and lipid-like molecules	M009:Lipids and lipid-like molecules
M008	-1.14081436768299	1.14081436768299	1.14081436768299	Organic oxygen compounds	M008:Organic oxygen compounds
