Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
Bger_1	0	37.6100855577164	26.4197893746081	34.1861019548583	11.4906723862606	14.5053936905845	101.30323247624	99.8554891398738	98.6417232614526	99.3563051230107	99.324019254257	102.536309720844	68.1375588524598	85.8347743051264	71.2276342312229	79.1528147375471	86.8060837875504	92.6146583459306	77.715567731391	83.3958270108008	70.2513911445129	78.0282620207088	86.2781466811559	84.6787756865652
Bger_2	37.6100855577164	0	12.9667546844166	6.01808752087347	41.9190573079104	44.2113654011061	74.2071118419929	72.4772332734261	71.9971786417746	70.6634951897113	71.8238995256818	76.1352321872397	53.6653047307489	67.9474161378826	54.9449308983335	65.5847347099662	73.2068724720335	71.6493432663713	50.1186322024734	53.080665343568	48.9710818672668	45.5951367298944	50.8127433931597	51.2381671746623
Bger_3	26.4197893746081	12.9667546844166	0	9.66449883100234	31.1737329988783	34.8174891789891	85.2133564984164	83.5545825809522	82.9167219189146	82.2090539304569	82.8568259634905	86.7981630325012	60.1340499505889	76.3576405384772	61.7499464489798	71.9247454236398	80.3488161697715	81.2062831516183	58.4017941856629	63.2346863610343	55.5231834467527	56.8812810469082	62.1801359209571	62.2090345508457
Bger_4	34.1861019548583	6.01808752087347	9.66449883100234	0	37.352027107249	40.063692027149	79.7452636183395	78.0115382052211	77.474839002225	76.0777168274883	77.4183302922881	81.7854569079247	53.3588193627289	68.9854349780661	54.4301744932867	65.0355434634801	73.7229885089642	73.4049449426367	49.3890542127973	53.7010441595935	47.2974305161504	47.2240155223349	52.8545655025233	52.6318725625208
Bger_5	11.4906723862606	41.9190573079104	31.1737329988783	37.352027107249	0	7.55299098105939	107.755944523311	106.249153044142	105.009708181972	105.218283161722	105.868345220481	109.451716564727	65.5627906977546	84.4836554715417	68.1458479252321	75.5685163153896	84.726509323446	92.1109647022852	75.0306827346527	81.9062239737922	66.2347237585866	77.9468082783622	86.9634888120178	84.3548794726153
Bger_6	14.5053936905845	44.2113654011061	34.8174891789891	40.063692027149	7.55299098105939	0	106.155966795132	104.702877994607	103.297600907346	103.735122297779	104.440074376079	107.939001932838	61.9985049781874	80.6209605039274	65.1089697361115	71.7718151051859	80.164862607239	88.5462991548535	75.9018791916691	82.1590305222856	65.9061966103434	78.1480648856145	88.4396623301798	85.2726576586288
Esin_1	101.30323247624	74.2071118419929	85.2133564984164	79.7452636183395	107.755944523311	106.155966795132	0	1.88497939452396	3.2377745796	7.69400016858777	3.06435107741921	5.43631299062781	77.2687348757028	70.1100725868589	79.853353540375	84.6557980441022	77.6036570121649	63.9541324029426	87.0345968715426	77.4218554458077	89.2568923824666	67.4794068511733	71.3371706955055	73.6074175312136
Esin_2	99.8554891398738	72.4772332734261	83.5545825809522	78.0115382052211	106.249153044142	104.702877994607	1.88497939452396	0	2.78170574588874	6.32435458574314	2.06388630371761	6.68853114562252	75.8329007891068	68.9433413920918	78.3630541767393	83.3160005787949	76.5376078902577	62.8795738419337	85.2305808303002	75.6729693354056	87.5121806715471	65.6873699759601	69.543774550181	71.8228389565948
Esin_3	98.6417232614526	71.9971786417746	82.9167219189146	77.474839002225	105.009708181972	103.297600907346	3.2377745796	2.78170574588874	0	7.52052998986252	4.17208235885306	7.42659473858976	74.473073807938	67.5450468615433	77.1986187971046	81.9788432743868	74.9095961335787	61.639853083052	85.2657580759073	75.8132498299813	87.0335053380983	65.8235743110941	70.3405191695702	72.3084075422686
Esin_4	99.3563051230107	70.6634951897113	82.2090539304569	76.0777168274883	105.218283161722	103.735122297779	7.69400016858777	6.32435458574314	7.52052998986252	0	7.40506877377391	12.8135035281688	72.0442536446504	64.7449565963147	74.1714941239724	79.1623694465536	72.7873938066592	58.3447120785063	80.1440223673585	70.2209163152241	82.8176378765418	60.47166321258	64.3261405123019	66.4187790362045
Esin_5	99.324019254257	71.8238995256818	82.8568259634905	77.4183302922881	105.868345220481	104.440074376079	3.06435107741921	2.06388630371761	4.17208235885306	7.40506877377391	0	5.98491079852419	76.6660140389508	70.2302861133049	79.1849586439308	84.3590404569774	77.8674847399421	64.3118025654522	85.4334382303301	76.0208317520487	87.8955393035705	65.9209990307268	69.4268848345804	71.9418201943084
Esin_6	102.536309720844	76.1352321872397	86.7981630325012	81.7854569079247	109.451716564727	107.939001932838	5.43631299062781	6.68853114562252	7.42659473858976	12.8135035281688	5.98491079852419	0	81.6180406196505	74.9612952181676	84.377858195743	89.3172361694069	82.2548585674893	69.0318916609357	91.3342057128034	81.9895902878927	93.605908954416	71.8610026384098	75.2509107891357	77.8884956753922
Pame_1	68.1375588524598	53.6653047307489	60.1340499505889	53.3588193627289	65.5627906977546	61.9985049781874	77.2687348757028	75.8329007891068	74.473073807938	72.0442536446504	76.6660140389508	81.6180406196505	0	20.3163669346688	6.82876431402024	12.5374760063631	22.0188991932014	29.3016911874389	43.4050524447862	41.799640872088	30.8444105870972	40.2950119034745	57.5488388029891	49.8473273854922
Pame_2	85.8347743051264	67.9474161378826	76.3576405384772	68.9854349780661	84.4836554715417	80.6209605039274	70.1100725868589	68.9433413920918	67.5450468615433	64.7449565963147	70.2302861133049	74.9612952181676	20.3163669346688	0	21.5646740895945	17.9866230027319	10.3264687275705	10.3376515932828	52.9446050069474	46.6900387785012	44.2191862786127	45.0124557659992	61.6352788529743	54.1729159710194
Pame_3	71.2276342312229	54.9449308983335	61.7499464489798	54.4301744932867	68.1458479252321	65.1089697361115	79.853353540375	78.3630541767393	77.1986187971046	74.1714941239724	79.1849586439308	84.377858195743	6.82876431402024	21.5646740895945	0	11.2482971379369	24.3811002195685	29.8662240693839	38.1634242200392	36.8260794590183	25.4927183966011	36.8402864915671	53.9630715211694	45.6697611563488
Pame_4	79.1528147375471	65.5847347099662	71.9247454236398	65.0355434634801	75.5685163153896	71.7718151051859	84.6557980441022	83.3160005787949	81.9788432743868	79.1623694465536	84.3590404569774	89.3172361694069	12.5374760063631	17.9866230027319	11.2482971379369	0	16.7209967303165	27.5740085795489	47.1915145974553	45.1680182708272	34.4142871057574	46.1552461301092	63.2170145071873	54.5750014069943
Pame_5	86.8060837875504	73.2068724720335	80.3488161697715	73.7229885089642	84.726509323446	80.164862607239	77.6036570121649	76.5376078902577	74.9095961335787	72.7873938066592	77.8674847399421	82.2548585674893	22.0188991932014	10.3264687275705	24.3811002195685	16.7209967303165	0	18.7523668328823	59.842368437958	55.00234973302	49.0635726535656	53.9821363938297	70.9385298123682	63.1488678276035
Pame_6	92.6146583459306	71.6493432663713	81.2062831516183	73.4049449426367	92.1109647022852	88.5462991548535	63.9541324029426	62.8795738419337	61.639853083052	58.3447120785063	64.3118025654522	69.0318916609357	29.3016911874389	10.3376515932828	29.8662240693839	27.5740085795489	18.7523668328823	0	55.4559572627613	47.091419969361	49.4455738970843	44.7802655543555	60.1223973480785	53.3811350324551
Pful_1	77.715567731391	50.1186322024734	58.4017941856629	49.3890542127973	75.0306827346527	75.9018791916691	87.0345968715426	85.2305808303002	85.2657580759073	80.1440223673585	85.4334382303301	91.3342057128034	43.4050524447862	52.9446050069474	38.1634242200392	47.1915145974553	59.842368437958	55.4559572627613	0	12.7314429879594	16.1151740847035	19.8122484496002	26.4068420134637	18.5796057621313
Pful_2	83.3958270108008	53.080665343568	63.2346863610343	53.7010441595935	81.9062239737922	82.1590305222856	77.4218554458077	75.6729693354056	75.8132498299813	70.2209163152241	76.0208317520487	81.9895902878927	41.799640872088	46.6900387785012	36.8260794590183	45.1680182708272	55.00234973302	47.091419969361	12.7314429879594	0	22.8075581901532	11.0955381488046	20.5639347220126	10.8689400965259
Pful_3	70.2513911445129	48.9710818672668	55.5231834467527	47.2974305161504	66.2347237585866	65.9061966103434	89.2568923824666	87.5121806715471	87.0335053380983	82.8176378765418	87.8955393035705	93.605908954416	30.8444105870972	44.2191862786127	25.4927183966011	34.4142871057574	49.0635726535656	49.4455738970843	16.1151740847035	22.8075581901532	0	27.3605249326837	39.938865354355	31.5351864188994
Pful_4	78.0282620207088	45.5951367298944	56.8812810469082	47.2240155223349	77.9468082783622	78.1480648856145	67.4794068511733	65.6873699759601	65.8235743110941	60.47166321258	65.9209990307268	71.8610026384098	40.2950119034745	45.0124557659992	36.8402864915671	46.1552461301092	53.9821363938297	44.7802655543555	19.8122484496002	11.0955381488046	27.3605249326837	0	17.3511619758397	10.7635992643336
Pful_5	86.2781466811559	50.8127433931597	62.1801359209571	52.8545655025233	86.9634888120178	88.4396623301798	71.3371706955055	69.543774550181	70.3405191695702	64.3261405123019	69.4268848345804	75.2509107891357	57.5488388029891	61.6352788529743	53.9630715211694	63.2170145071873	70.9385298123682	60.1223973480785	26.4068420134637	20.5639347220126	39.938865354355	17.3511619758397	0	9.70885793021456
Pful_6	84.6787756865652	51.2381671746623	62.2090345508457	52.6318725625208	84.3548794726153	85.2726576586288	73.6074175312136	71.8228389565948	72.3084075422686	66.4187790362045	71.9418201943084	77.8884956753922	49.8473273854922	54.1729159710194	45.6697611563488	54.5750014069943	63.1488678276035	53.3811350324551	18.5796057621313	10.8689400965259	31.5351864188994	10.7635992643336	9.70885793021456	0
