KO	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K14940	2.38257343	2.68686325	2.54333031	3.11043205	0	5.97816455	1.73425825	6.3551301	0	1.6814943199999999	0	0.26822972	0.24909514	0.50750999	0	0	0	1.0393766899999999	0	0	13.0424109	5.99832511	6.8676817	4.89137546	3.20283883	13.28799631	4.32646775	2.64231493	1.04517539	3.64387648	0.3766928	0.7549788	0.23404607	0.4413656	0	0.29585966	0.32157133000000004	0.3143055	1.71099144	0.15996915	7.06200737	3.32540324	0.224785286	1.26765325	1.5061843499999998	2.38369456	4.24392144	2.046381705	6.470909499999999	1.00530429
K14941	1.1191095	4.9914201	2.43484946	0.90243146	15.375864400000001	0.67182143	1.6008890199999999	1.24942008	1.59861153	2.29696761	0.743330956	0.14498308	0.6562631600000001	1.13197246	0	0.82167842	0.29556932999999996	0.62868864	0.6262772	0	7.825760464	2.76464848	5.85806849	6.459188360000001	6.95743854	8.355573849999999	4.8449392	2.69281739	1.8936708	6.268587	0.26784325	0.6006723	1.1044817	0	0.50169621	0.16310464	2.3008123300000003	0.5164057	0.28255513	2.0463974400000002	0.722	0.40406856	20.870593274	2.169903884	2.27895433	19.50268733	1.2758120800000001	87.46692142	0.41647258	2.4693381399999996
K14956	3.69205024	37.10068282	3.75223036	15.2464134	33.85871597	2.36366374	1.588413738	1.20562547	1.9293740400000001	3.38918269	0.13046767	0	0.29397377	1.42848817	0.701781195	0.34174952	0.4803274	0.35368639	0.2920912	0	12.220740730000001	29.89034555	32.01101082	11.281148174	45.41377147	21.797293716	21.559531678	6.34016662	8.826454975	16.148025169	1.1999379	2.02775157	1.58868733	2.0841335	49.69160349	0.61707866	4.24368507	0.468716274	2.79569793	1.08029372	15.691878305	38.498672874	87.50261018	8.55642033	5.907945065	7.17638596	3.88279854	44.34497758	17.374564045	2.7287809
K14977	1.47533259	1.59695919	0.29971743	2.68158613	4.63144939	0.93626106	1.06160805	0.14643323	3.23278239	0.49409953	0	0	0	0	0	0	0.36820582	0	0	0	1.30470118	5.75084803	10.935580767	1.67464953	4.49270897	4.68933195	1.97578184	0.19245276	0.28218693	1.93021134	0	0.22623225000000002	0.25188534399999996	0.16832693	0	0.367309	0.17709891	0.45107159	0.100897625	0.21303025	2.08926789	8.07391437	28.874264185	11.06628353	5.460488515	12.86494867	9.29049495	16.52865955	3.07220581	5.695847949999999
K14979	53.272800665	108.21872101	21.755187427	30.85660847	15.92556779	15.655047524	21.281855020000002	73.96970431	3.21602451	21.15414049	8.453603496	2.9741346699999998	2.4250391000000002	4.49603321	2.452327485	0.5058893950000001	6.55707046	4.20305178	0	0.15128323	61.743445019999996	169.41963966999998	116.94495441	38.9121787	91.448115535	76.48392546400001	53.07683096	10.8132962	13.344576909999999	67.20409535	6.36557073	9.232697539	8.59585663	10.155652024	0.30251324	13.89598965	10.5249683	20.08991167	38.580565962	3.34621442	7.51217708	14.2847792	2.9127860400000003	10.060013404	31.840303405	6.86111897	7.61518799	47.009674506	6.63409891	22.30368017
K14980	2.88980467	23.8384582	3.4989457600000002	0.72671818	7.105229929999999	4.4211221	1.04482591	3.16571118	1.28347949	2.796374	0.95206205	0.14355414	0.65643537	0.83855814	0.78506245	0	0.3040879	0.52550376	0.2120015	0	18.82918414	18.10038894	7.7209610699999995	10.140367789999999	7.39489482	15.66219977	16.1591947	5.01341365	1.6014319	16.06043737	1.8343062799999998	1.0901283	0.96518381	0.38334402	0	1.99049324	2.91719924	2.7409333399999998	2.68762838	2.7653728	2.35138845	8.45010274	8.76964776	3.92549231	10.14861188	4.35909927	8.956467946	18.97745734	5.87074216	7.40456061
K14981	0.1781055	0.8707998699999999	0.99757052	0.7849771299999999	0.5430904	0.13508253	0.44677174	0	0.93362781	0	0.16435537	0	0	0	0	0	0	0	0	0	0.55704993	0.24976118	3.83297203	0	4.281757596	4.904861	2.92769515	0.16336945	0.40648368	3.30397389	0	0.121710174	0.21621397	0.03524796	0	0	0	0	0	0	0.10687242	2.34070733	0	0.24680853	6.8998816	41.26078466	8.21049508	372.19442075	0.12668777	1.83891432
K14982	21.527730006	134.45166805000002	14.85308879	40.45869968	193.68376942999998	15.285246928	14.770799225	28.544838256	245.06371831	13.886745379999999	10.75912072	0.2712487	6.98037401	3.266517745	4.6922754	2.12471172	1.44749466	1.0478386400000002	1.000024597	0.144625796	139.39167056	37.258137564	78.635282388	241.54306744000002	78.02382446	79.263997389	103.820545346	233.42405273	201.47605814	81.81468301	10.65682902	4.119716465	18.484443805	6.651745406	133.52861081	6.81808484	22.15683601	14.90282272	9.17075625	438.92668844	236.30414709	148.61701354299998	102.977429837	210.939723688	129.366262834	55.464844649999996	185.872676096	126.678994575	270.257281434	172.272853439
K14983	9.6800428	130.28437727	10.43883596	20.17556029	146.69963629	7.88823682	4.432952391	10.69152771	180.59931109	5.410924	6.65259052	0.20661525	2.7910185	1.79387044	1.3296053509999999	0.982076335	0.53735716	1.37569389	0.23471618	0	74.99648519	17.84363023	22.03638104	132.54708501	18.911281849999998	48.13320642	69.500490667	211.85012364000002	147.39236857	59.288232380000004	2.9799862900000003	2.52984238	8.50345019	1.29163007	136.92208542	0.9661713000000001	9.62850593	4.621866935	7.714389300000001	269.26102773	198.940810217	180.299485792	88.75034864999999	142.58296583999999	114.244884025	47.05955685	147.73874231	79.14147264	161.81649326	144.60810861
K14986	2.70920857	3.96477466	0.34946476000000004	3.48732027	2.82603505	1.91377967	1.6582603	1.25621744	1.10197911	0.5802212	0.16915798999999998	0	0.13414383	0.59698977	0.797340626	0.29186573	0.84149417	0.443802996	0	0.4001684	1.539698989	3.4373297899999997	5.11418198	4.09255984	7.61818156	2.84616893	16.38548846	0.661920886	10.994903370000001	3.12309956	0.64661201	0.52947057	0.6495169	0	0	0.30853948	0.7955232	0.757816745	1.24958723	0.41823456	7.87935776	11.8969678	10.28185436	24.169541560000003	7.091876874	22.210179665000002	16.099347623	112.89258247	6.2356922	5.00332721
