gene	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K01972	282.724231482	420.746815656	95.820389149	175.60784741	488.807405765	93.026145662	80.742010844	210.35351663	719.61468638	88.862891202	33.779047686	13.22925044	22.949740204	59.575598955	14.510954107	6.024737405	53.080893263	24.396577856	3.77325318	7.664056723	277.437254795	465.352345299	412.612094871	517.671231065	524.8462334	532.415200318	611.466416145	559.629909036	463.472967207	579.682439776	55.069969115	33.96927164	36.833297612	40.359218646	849.976291235	60.180720836	66.125557724	61.522226794	94.007192596	664.595605645	500.599190484	424.651800433	506.270331921	510.715481097	531.163469303	464.216725904	497.256686202	500.85430843	503.083143292	578.596891629
K01974	15.02327124	0	2.47909221	8.26024278	4.11496619	4.13282874	2.525945317	0.77655444	1.50114657	2.49745526	0.54984476	0.579607255	0.28544575	0.45668718	0	0.078368105	1.67260722	0.55066468	0	0.20352317	2.04852602	22.16479174	16.411939944	6.88802572	13.44756068	4.14224983	8.51790165	0	2.2528544	6.10382731	0.45195377	2.25094848	0.86863703	0.45949984	0	1.42033786	1.42394535	1.361945416	1.14196337	0	7.72184768	25.380602935	14.85732266	10.37471311	19.1378486	11.039305805	24.73587535	14.04844445	17.02184457	16.22676408
K01975	33.219085974	29.24636531	12.30763504	24.20210766	52.64247761	18.99629914	13.704656114	5.528159285	10.424052165	13.65598693	5.45405704	1.373123319	1.83735346	3.25418416	2.028709417	0.75183692	10.594851765	3.80185431	0.28574127	1.42700644	23.33819506	34.89293387	73.81746538	52.48657238	119.719611514	89.402877493	64.613967085	5.71838193	29.84535827	78.455102024	7.56631476	8.583919817	3.00466549	5.06778655	0	6.08486615	6.443457226	7.63215574	14.71976276	2.9064145	26.162123284	50.12050939	61.923046011	23.85018254	31.492110679	122.63651152	34.74786693	113.90922943	28.069567285	29.85574081
K01989	11.9414766	201.50426398	7.39214174	24.40618647	517.49890648	8.187297936	5.83965384	17.39975603	237.54910307	4.24771171	12.83733737	0	2.9399375	1.87871594	1.683204124	4.28144451	4.05591461	1.28786567	0.59324746	0	92.43402576	37.151152706	34.50609543	309.39798903	42.487345478	92.133684259	194.670985426	308.20083324	362.49119179	112.423088045	5.55677684	2.43452068	9.081199728	4.59657394	445.16574293	5.46805897	6.66839951	8.00484913	5.745823733	731.08736563	457.79565495	185.06701549	145.77850592	303.800065659	259.046824597	77.791095705	301.42723706	765.466644142	381.06355211	318.58042127
K01990	612.843388133	1075.820818862	329.709986747	648.466964113	2020.714132151	334.247942169	352.715186249	625.846267123	4713.724279888	279.359658812	159.600849933	24.623020307	88.721501382	87.030972184	70.839433304	27.730741691	86.86887169	65.759597449	14.299656792	8.951006479	1623.512603524	1462.260826313	1741.781576586	1883.55831008	1679.814223535	1863.402247652	1646.924128941	1738.840341865	1691.672477982	1742.954819003	163.682653829	102.190868839	247.906172532	133.666003301	1365.949819466	206.94104624	333.29058353	272.922545995	283.613999613	2043.22073636	1848.007907233	1448.915200073	1549.848415845	1592.441145174	1468.821663179	941.039158591	1555.358571304	2220.739791467	1771.682309249	1506.525740587
K01991	104.144008009	275.871205063	42.81075851	54.94801346	35.22170647	35.013949827	39.506190571	148.720833657	11.76785185	28.38918938	13.43261595	4.39578135	3.227702754	5.059523248	3.233333878	0.56625685	7.054713109	7.131152295	0.84804054	0.71894597	147.350703196	334.418373756	203.77953909	151.92614688	250.890376668	219.399351418	175.6360934	46.08236417	112.90863099	194.28475894	10.40029769	13.699555123	12.550713139	13.497269832	5.03676186	18.01284642	23.89812537	30.432589654	64.355387559	16.147136164	191.375194705	172.526547904	185.141164259	209.461567658	156.705011838	322.47050648	185.559623061	134.112472144	166.180734956	172.500892346
K01992	501.233227757	727.201686684	207.666565722	362.771101782	895.27495847	202.113672047	245.789675668	472.721565792	3595.158356465	170.19168758	92.405869238	20.097616073	50.78171344	40.289274487	37.664723466	14.302678293	57.438702016	45.559221541	8.20021333	5.593783684	897.094426462	1152.280562842	1390.62083623	1182.981043889	1049.402856246	1151.511506228	1095.545119755	925.379929354	1212.458095	1121.441463318	99.742080239	75.528252184	130.756338447	73.047105172	1427.038830346	131.615176595	189.700716369	181.845224825	220.570040194	1315.139651124	1161.27034983	980.482308508	1290.290042503	1244.390622857	1112.116129201	1025.471375245	1200.380307488	1589.519934745	1279.473511177	1248.092662389
K01993	60.692326725	79.942250666	18.23814775	26.869289535	29.59953086	23.371716804	21.358875227	58.126417096	8.3069344	16.9529827	6.629552744	1.85455458	1.39791746	3.01175932	2.514155595	0.25903089	6.0928416	4.081411264	0	0.3554307	46.40858211	145.798898125	145.595666426	55.14420777	98.01319395	110.8328138	73.42205928	15.632689	32.00530738	90.21074692	7.27968385	6.876961436	4.48961096	5.82516472	4.91150413	12.92065715	11.81386823	17.049404524	28.781932317	9.1445848	84.835694699	87.759382017	117.20313395	107.49588486	69.78576567	146.69286964	99.560116944	48.90205162	92.034945372	91.078330474
K01994	0.64897866	2.28837753	2.073142644	4.5350505	0	0	0.28557652	3.42508753	0	1.1056739	0.1360793	0	0	0	0	0	0	0	0	0	26.99117265	2.16550549	4.48141014	0.98691042	0.78083928	2.08352892	1.31621379	0	0.43111917	1.96993958	0	0.05996017	0	0.99535495	0.10872927	0	0.33596733	1.5632465	0.065071635	0.1597726	0.90125652	0	24.6852722	3.99497408	0.47849143	0.51667935	0.38037243	12.91243411	0	2.5852365
K01995	122.345868984	62.65656618	27.41694326	90.10374068	93.60057917	47.397514883	50.832556091	24.694503464	19.854018394	25.82605059	7.48130998	6.894428214	4.420163094	6.137502735	6.754575835	1.79838883	17.819990014	5.69670309	1.35706986	2.59371798	85.643175835	113.431455828	321.509926916	179.567754505	280.888157073	153.681870863	188.563505778	19.165318026	171.71592409	167.816037269	14.236947116	20.069252734	12.5519423	13.815633144	27.10806433	19.18891077	23.11976728	26.030937904	43.35769779	13.993543624	181.617740418	241.222686629	217.15233237	215.102034855	150.067110249	423.815391449	255.605909544	683.469747182	185.954575057	193.638644751
K01996	122.869238728	53.15307063	27.289859466	90.300692185	104.3572395	45.986617949	45.769192613	25.758690162	18.18359588	26.71608866	9.31643438	7.669364006	5.310100002	6.798120895	5.77296916	1.1515871	18.06601593	5.470512664	0.987953505	1.94974143	79.06215401	115.646214749	323.142302059	171.172599143	269.733483618	150.17532936	198.069386723	18.295070036	146.39190389	168.978053758	14.102167416	20.344058034	12.256765888	13.448501758	28.28981876	18.40395352	24.27440474	23.209786906	39.869088909	13.69653281	181.976840822	235.766180437	233.782832753	169.581129315	154.170881775	433.931840982	270.27865732	628.87827633	188.708342128	210.8312108
K01997	125.643380199	61.617964666	25.965689454	93.33937186	93.00656444	48.87504097	47.626732317	25.447782908	24.68198805	28.66865185	9.05427861	5.730127624	5.08817026	6.696108905	9.13349464	1.82210148	20.164005974	6.336529329	0.58561272	2.675365771	80.45802027	120.73894795	341.015255234	201.904861945	289.046702775	160.711991524	199.76817236	22.319034466	176.32363307	177.009514478	18.15896923	20.59680436	12.9354503	15.430370345	27.434144885	24.8612004	26.74641664	24.314563865	45.827040875	13.143182875	237.480291006	299.441415557	358.850287962	285.450663943	190.68482903	508.463027737	325.22346428	730.46462344	267.257332794	224.937775149
K01998	121.041410248	62.902003863	25.493054598	87.39273181	88.83424119	48.28417986	47.158205283	24.14429345	20.919038147	28.503414404	6.580729551	5.18470921	4.290386542	5.905505235	7.71405959	1.43668869	19.82586691	5.99228502	1.28359273	2.04198525	78.65665759	110.585318994	318.240033947	179.851946393	262.16208893	148.666795873	182.310423612	19.622752916	150.850889416	162.46338418	13.66198052	19.545222792	12.969868487	13.782357246	25.58838134	21.579618056	25.77582045	26.453794855	38.11814185	11.72480056	176.079572785	226.493670232	279.246623433	275.259822231	158.014043223	425.027008868	274.988621032	672.581462515	182.186187186	182.462213
