K00052	24781	25038	5865	9782	9389	7041	5725	13886	2490	6750	33613	41456	52261	35015	24258	41077	41249	20803	30889	25104	14090	30191	25666	18517	25025	25548	17595	3826	15848	19908	4585	2330	3868	3858	4530	3123	5579	4313	6405	1926	1929	888	2259	8293	1065	422	6096	930	464	786
K00053	29735	29470	7326	11004	8895	8437	6144	14509	2321	7961	37688	57392	53805	41751	25525	59242	40933	20467	37052	27798	12748	32176	25932	18112	26344	27469	19876	4304	15580	22033	5626	2866	3467	4852	4742	4010	6237	4712	7017	1980	2442	1350	3052	10592	1314	342	7024	1376	436	980
K00826	34670	31189	11035	17669	12142	11981	10698	19573	3316	9723	36301	47991	44637	39660	29718	45365	38849	26139	33454	27897	21273	35091	50938	26559	43108	39671	32131	9665	25864	33791	5306	4697	5032	4660	6620	4500	7753	7105	9737	3802	2860	2026	3508	9340	1842	486	6842	2163	434	930
K01649	39892	40205	10286	18484	20938	13285	11020	22644	4202	10155	57026	80452	86883	67414	42722	88371	64601	42735	51222	44234	22694	56934	52877	33293	53451	47265	41801	6246	29799	41293	6909	5198	6498	6187	7083	5830	9085	8055	11523	2916	3910	1863	3674	10555	2450	714	8655	1830	622	974
K01652	47972	71755	12100	19785	52686	14277	13940	25585	118686	12636	94117	119631	125454	102942	81658	222038	139417	99434	81877	68345	26737	64676	71054	72867	56052	84662	76789	40844	70796	77784	7368	6411	5665	6616	78440	5862	9767	8604	12775	72747	3558	2146	4492	12904	2196	780	10311	2248	594	1360
K01653	11422	13866	3548	5581	6412	3892	3544	6909	1250	3288	18672	26164	24293	21182	13338	29123	21393	8691	16759	14127	6816	17857	16630	10030	14800	19261	10712	2245	8954	13869	1852	1590	1660	1914	2497	1624	2441	2384	3587	1124	914	506	988	2524	707	138	2175	524	186	286
K01687	47687	57501	12927	19181	17856	14559	12073	27437	4755	13598	79964	94464	124673	97377	49565	85440	74030	34139	71055	60432	32457	63431	61186	34449	49816	50039	38053	8302	27972	42096	8517	5048	6890	7255	11375	6546	11803	9008	14698	5004	4597	1984	5002	15252	2352	828	10877	2232	760	1532
K01703	35306	31113	7614	15381	13398	9442	9047	17292	4128	8967	48028	66044	43438	52110	36023	57850	50833	32323	41518	36558	15935	42462	48367	25411	39870	38565	26997	5849	23198	30332	5590	3707	4022	5153	7024	4164	6932	5298	8279	2649	2823	1268	2810	10984	1562	420	8394	1396	516	1020
K01704	15009	14836	3711	6809	5078	4805	3444	7468	1464	4318	19438	30419	50526	19460	13931	25869	23503	12406	16605	16532	6566	18835	18079	10966	15151	14547	10927	2080	8770	11551	2822	1440	1789	2525	2374	1965	3210	2647	3652	1354	1224	596	1295	5263	645	194	3399	614	194	476
K01754	29385	35953	6160	9672	19132	7853	4273	9075	12571	7939	46480	50570	67089	52851	26453	78435	50949	22570	41694	31632	16494	19286	22423	28553	22556	27628	23582	17827	21211	23625	5949	1797	2786	5022	13343	3725	6344	2898	3879	28491	2421	1088	2668	12420	1066	646	7760	1074	532	974
K09011	2856	16131	2420	1964	1766	1425	2733	8058	984	1458	6164	7674	378	2893	8918	3105	3317	4798	5588	4773	7826	21144	9780	7545	12361	14963	8775	3186	5266	11556	523	652	1041	460	1215	766	1062	2636	3900	1905	808	0	374	468	148	14	314	476	60	0
K17989	12	130	46	0	0	0	0	0	26	0	42	0	898	330	182	528	1073	34	0	168	0	0	44	30	54	0	0	1300	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	4	0	0	0	0
K11258	0	1242	0	0	0	0	8	32	0	0	1165	1410	1028	730	230	7555	1898	113	960	502	0	24	0	0	0	12	0	0	0	12	0	0	0	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0
