CPD_ID	MS2_name	MS2_score	level	MS1_name	MS1_ppm	mz	rt	Formula	type	HMDB	Chinese.Name	CAS	KEGG COMPOUND ID	Super.Class	Superclass.Chinese	Class	Class.Chinese	Sub.Class	Subclass.Chinese
CPD0702	Bufalin	3.69	level1			387.254	47.3	C24H34O4	POS	HMDB0249428		465-21-4		Lipids and lipid-like molecules	脂质和类脂分子	Steroids and steroid derivatives	甾类和甾类衍生物	Steroid lactones	甾体内酯
CPD0703	Arabitol	3.69	level1			151.0616	107.3	C5H12O5	NEG	HMDB0001851	L-阿拉伯糖醇	7643-75-6	C00532	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0704	Salicylamide	3.68	level1			136.0408	54.4	C7H7NO2	NEG	HMDB0015687	水杨酰胺	65-45-2	D01811	Benzenoids	苯环型化合物	Phenols	酚类	1-hydroxy-4-unsubstituted benzenoids	1-羟基-4-未取代苯环类化合物
CPD0705	Xanthoxylin	3.68	level1			195.0669	59.9	C10H12O4	NEG	HMDB0029645	花椒素	90-24-4	C10726	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0706	3-Hydroxyhippuric acid	3.68	level1			194.0464	89.3	C9H9NO4	NEG	HMDB0006116	3 -羟基马尿酸	1637-75-8		Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzoic acids and derivatives	苯甲酸及衍生物
CPD0707	3-Hydroxypropionic acid (beta-lactic acid)	3.68	level1			89.0247	175.7	C3H6O3	NEG	HMDB0000700	3-羟基丙酸	503-66-2	C01013	Organic acids and derivatives	有机酸及其衍生物	Hydroxy acids and derivatives	羟基酸及衍生物	Beta hydroxy acids and derivatives	Beta-羟基酸及衍生物
CPD0708	Hoechst 33258 (trihydrochloride)	3.68	level1			425.2112	132.7	C25H24N6O	POS	HMDB0253195	二苯并咪唑	23491-45-4		Organoheterocyclic compounds	有机杂环化合物	Benzimidazoles	苯并咪唑类	Phenylbenzimidazoles	苯并咪唑
CPD0709	Homovanillic acid sulfate	3.68	level1			261.0084	87.2	C9H10O7S	NEG	HMDB0011719	硫酸高香草酸	38339-06-9		Organic acids and derivatives	有机酸及其衍生物	Organic sulfuric acids and derivatives	有机硫酸及衍生物	Arylsulfates	芳基硫酸酯
CPD0710	Ergosterol (Provitamin D2)	3.68	level1			379.336	60.5	C28H44O	POS	HMDB0000878		57-87-4	C01694	Lipids and lipid-like molecules	脂质和类脂分子	Steroids and steroid derivatives	甾类和甾类衍生物	Ergostane steroids	麦角甾烷类固醇
CPD0711	"3,4-Dihydroxyphenylglycol"	3.68	level1			169.0512	50.4	C8H10O4	NEG	HMDB0000318	3，4 -二羟基苯乙二醇	28822-73-3	C05576	Benzenoids	苯环型化合物	Phenols	酚类	Benzenediols	苯二酚
CPD0712	4-Hydroxymethylpyrazole	3.68	level1			99.0552	45.7	C4H6N2O	POS	HMDB0060768	1H -吡唑- 4 -甲醇	25222-43-9		Organoheterocyclic compounds	有机杂环化合物	Azoles	吡咯类	Pyrazoles	吡唑
CPD0713	Glucovanillin	3.68	level1			295.0833	17.4	C14H18O8	NEG		葡萄糖香草醛	494-08-6	C19808	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0714	Tarasaponin VI	3.67	level1			763.431	141	C41H64O13	NEG		银莲花苷	59252-95-8		Lipids and lipid-like molecules	脂质和类脂分子	Prenol lipids	异戊烯醇脂类	Terpene glycosides	萜类糖苷
CPD0715	Methylmalonic acid	3.67	level1			117.0197	265.3	C4H6O4	NEG	HMDB0000202	甲基丙二酸	516-05-2	C02170	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	Dicarboxylic acids and derivatives	二羧酸及衍生物
CPD0716	Miglitol	3.66	level1			190.1072	223.8	C8H17NO5	POS	HMDB0014634	米各尼醇	72432-03-2	C07708	Organoheterocyclic compounds	有机杂环化合物	Piperidines	哌啶	Piperidines	哌啶
CPD0717	2-Aminopimelate	3.66	level1			176.0917	211.8	C7H13NO4	POS	HMDB0034252	2 -氨基庚二酸	26630-55-7		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0718	Kaempferol	3.66	level1			285.0419	75.6	C15H10O6	NEG	HMDB0005801	山奈酚	520-18-3	C05903	Phenylpropanoids and polyketides	苯丙素类和聚酮类	Flavonoids	黄酮类	Flavones	黄酮
CPD0719	Gentisaldehyde	3.66	level1			137.0248	46.6	C7H6O3	NEG	HMDB0004062	龙胆酸醛	1194-98-5	C05585	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbonyl compounds	羰基化合物
CPD0720	2-Linoleoyl-1-palmitoyl-sn-glycero-3-phosphoethanolamine	3.66	level1			714.5101	41.7	C39H74NO8P	NEG	HMDB0008928	"1-十六碳酰-2-( 9Z , 12Z -十八碳二烯酰)-sn-甘油-3 -磷酸乙醇胺"	26662-95-3		Lipids and lipid-like molecules	脂质和类脂分子	Glycerophospholipids	甘油磷脂类	Glycerophosphoethanolamines	磷脂酰乙醇胺
CPD0721	2-(2-Butoxyethoxy)acetic acid	3.66	level1			175.0981	34.4	C8H16O4	NEG		2 - ( 2 -丁氧基乙氧基)乙酸	82941-26-2		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	Carboxylic acids	羧酸
CPD0722	4-Methylbenzoic-acid	3.65	level1			135.0455	48	C8H8O2	NEG	HMDB0029635	4-甲基苯甲酸	99-94-5	C01454	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzoic acids and derivatives	苯甲酸及衍生物
CPD0723	Ergocalciferol (Vitamin D2)	3.65	level1			379.336	60.5	C28H44O	POS	HMDB0000900	维生素 D2	50-14-6	C05441	Lipids and lipid-like molecules	脂质和类脂分子	Steroids and steroid derivatives	甾类和甾类衍生物	Vitamin D and derivatives	维生素D及衍生物
CPD0724	Phthalic acid	3.65	level1			165.0199	190.7	C8H6O4	NEG	HMDB0002107	邻苯二甲酸	88-99-3	C01606	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzoic acids and derivatives	苯甲酸及衍生物
