sample	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_00001.t1	5.19982	5.77043	8.44931	4.3092	4.8114	5.43043	7.70455	4.51633	5.02638	6.04481	6.4068	5.63115	5.63396	5.64173	7.24771	5.91979	6.49454	7.44556	5.84767	5.59297	6.52118	8.83409	5.06922	5.16191	5.92516	5.75469	6.02857	5.20466	7.09822	4.92804	6.30831	6.57283	7.0525	7.46482	7.00721	6.60628	6.33462	6.08415	6.6112	6.66245	7.99945	7.25005	7.28171	6.48519	6.84353	6.84435	6.7573	5.9089	7.0976	6.34108
Pame_00002.t1	4.95767	5.48724	11.7383	9.80713	7.28081	5.03844	9.36072	9.39093	10.9563	8.05195	0.989696	0.354395	0.397931	0.395143	0.152982	1.00518	0.401666	0.35832	1.69366	1.3049	0.700107	1.48027	0.780348	0.783164	1.77942	0.705952	0.304116	0.570915	0.397634	0.969644	0.593756	1.46989	0.823674	0.222952	0.792082	0.787319	0.562625	0.230331	0.726673	0.505321	0.656108	0.461754	0.515235	0.553356	0.150584	0.723012	0.423781	0.099895	0.993361	0.463986
Pame_00003.t1	0.110286	0	0	0	0	0	0.034702	0.068283	0	0.034842	0.398574	0.381088	0.304291	0.226666	0.29248	0.288217	0.345676	0.256897	0.566653	0.35639	0.376618	0.821737	0.394924	0.486767	0.591633	0.259622	0.08309	0.136456	0	0.307946	0.21835	0.181391	0.09268	0.298533	0.283972	0.221418	0.206839	0.044055	0.137612	0.175781	0.31378	0.294513	0.134433	0.192533	0.04802	0.259243	0.403966	0	0.330995	0.080698
Pame_00004.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00005.t1	96.9607	93.8069	65.5349	24.3791	54.004	93.9308	78.5361	39.9543	34.4281	63.0105	208.839	72.1293	97.0045	88.6326	162.085	94.6949	29.4626	150.272	68.905	72.2064	218.078	121.436	96.803	77.3365	77.7024	116.536	233.887	77.6249	123.588	137.194	68.7947	87.9862	303.912	89.1294	131.717	67.0013	182.482	166.359	171.127	91.3812	127.947	228.712	102.181	125.732	261.511	59.0728	162.656	103.855	186.328	162.994
Pame_00006.t1	7.02407	5.26619	9.55348	5.29983	4.73047	5.41319	8.04398	5.30391	5.94079	6.11723	5.70103	3.92831	3.88795	5.01607	4.8658	4.42941	5.14891	5.57127	4.24101	4.57844	4.94871	6.06156	3.74875	4.94371	4.32891	5.71515	4.8874	4.95377	4.92924	4.56108	4.69544	5.07126	5.36925	4.85662	4.70663	5.24926	4.69989	5.25403	5.11957	6.42453	5.19507	5.90376	5.79204	4.99929	3.31905	4.15227	5.98038	1.67805	4.70657	3.89597
Pame_00007.t2	7.19287	6.45773	9.84664	1.90103	4.09653	5.41713	7.53013	2.4132	3.06251	5.19584	7.66035	4.61065	4.86051	2.90596	6.04869	3.89815	5.67535	7.65949	3.92599	4.93769	7.43255	9.41238	6.08132	6.17034	3.79326	3.73634	5.09063	4.27321	6.81063	4.52783	4.90465	9.49125	8.64636	9.30667	6.56442	7.60312	6.61356	4.51122	9.36604	5.08272	8.81189	9.99103	10.6245	13.3495	15.1572	24.2143	5.33643	27.0187	8.04414	13.2109
Pame_00008.t1	1.62201	1.78864	1.66752	0.300504	1.08429	0.813603	3.16945	0.878052	0.568344	1.40015	0.177574	0.153973	0.813325	0.271003	0.344771	0.346593	0.27337	0.926985	0.144636	0.47418	0.300061	1.9844	0.159718	0.936678	0.804712	0	1.34343	0.654497	1.35686	0.776386	0.627638	0.97959	1.35871	1.08111	0.345136	0.475213	0.605155	0	0.319532	0.475109	0.997852	0.177921	1.77467	2.41562	1.05014	4.42337	0.51918	1.21247	1.16938	0.87864
Pame_00009.t1	0	0.214272	0	0	0.100439	0	0.37502	0.092452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00010.t2	3.82348	5.83668	6.33389	3.18086	3.39939	5.96079	5.51188	3.39118	4.81262	4.22862	4.15499	4.62025	4.34455	4.08007	5.8661	4.61599	5.4598	5.31138	5.0766	3.91663	6.28788	7.38511	5.0377	6.01723	4.47874	4.96598	4.40179	3.73185	4.90756	3.97507	6.24109	6.12123	5.99866	7.36816	6.75594	6.68202	7.05779	5.47223	7.09858	5.98968	7.43955	6.40039	6.88783	7.18536	6.3473	6.87889	5.97035	12.8554	7.22134	8.15044
Pame_00011.t1	0	0	0.334597	0	0	0	0	0.303166	0	0.304629	0	0.369902	0	0	0.402229	0	0.3189	0.367679	0.341463	0	0.352373	0.393537	0	0	0	0	0	0	0.394587	0	0	0.384678	0.408573	0	0	0.372796	0	0.759685	0.378759	0	1.01542	0	1.51079	0.401148	0.414097	0.758235	1.65436	0	0	0
Pame_00012.t2	4.57784	4.06893	4.65338	2.33176	2.31507	3.78037	3.60344	2.6808	2.84245	3.74821	3.19574	3.4802	3.12648	3.05091	4.30531	3.3255	3.74928	4.00987	3.20492	2.40795	4.47064	5.84327	2.9737	3.68332	3.71424	3.16706	3.32723	3.29219	5.59755	2.49458	3.96113	4.98435	4.81126	6.8049	3.42537	4.32169	4.87972	3.89982	4.61597	4.15777	4.28348	5.29228	4.86496	5.85547	4.4785	5.03963	4.52979	6.39789	4.40074	5.11754
Pame_00013.t1	6.09713	9.82673	11.0785	3.0371	4.06729	10.1612	8.67211	3.82781	4.28614	5.79514	9.87696	7.16457	6.07536	5.09398	9.43944	5.74905	8.56464	12.2032	7.64487	7.24708	13.6861	10.5278	7.26664	7.56136	4.8501	6.81418	8.31461	6.26337	11.5708	8.29406	8.47722	8.8515	11.6212	12.3087	9.76303	9.40432	10.6568	8.48946	12.3488	9.74932	11.5727	11.8353	11.7478	11.4121	14.6371	12.1212	9.1719	19.8976	10.5969	12.3426
Pame_00014.t1	67.6435	58.352	60.9443	52.6884	41.0319	52.007	58.8617	47.4055	55.9435	45.4335	181.496	186.427	214.562	173.363	259.14	204.09	193.329	265.874	215.117	219.543	232.217	194.414	172.746	146.186	190.948	154.16	220.172	196.008	181.239	196.361	151.153	169.521	147.01	119.831	149.022	180.7	155.87	145.281	142.348	134.144	141.946	110.729	138.154	113.172	105.683	107.347	193.375	39.8702	119.589	95.6945
Pame_00015.t1	12.9371	7.20992	5.77637	5.43513	4.62231	7.19055	8.85929	5.93034	6.56747	5.08573	3.25752	6.60867	4.80985	4.81296	3.89826	7.41897	6.56693	2.64184	4.31151	4.92396	4.24831	4.94886	8.217	8.52338	10.924	8.24986	7.41263	5.81551	4.06405	8.00614	7.57427	7.40281	9.45961	10.9758	6.9053	6.28396	6.28984	10.4936	7.28055	8.76178	8.71734	6.8121	12.5458	7.78488	10.6963	9.03305	7.91036	8.33874	11.9007	12.6837
Pame_00016.t1	6.6665	9.56038	13.7178	10.2642	6.80057	10.3941	10.3945	8.29659	8.35348	10.4009	0.231914	2.25171	2.49815	1.65001	1.75162	2.18059	1.13575	1.20397	2.90893	1.74043	2.01598	2.42125	1.85064	2.15661	2.19774	3.31535	1.80976	2.90902	2.50243	1.73207	2.04141	1.61995	1.58277	3.17788	1.91982	1.99986	1.6175	2.73849	2.31392	2.45767	4.01554	2.4294	3.53593	5.05559	1.2634	3.02864	2.08163	1.25527	2.55742	2.43838
Pame_00017.t1	1.375	8.77772	1.22325	0.173491	0.186847	11.7481	0.822524	0.298635	0.621257	0.522008	0.062146	0.106013	0	0.047235	0.182977	0	0.143924	0	0.050644	0.334478	0.156704	0.228324	0.219596	0.187095	0.046288	0.12975	0.259419	0	0	0.053309	0	0.169772	0.115637	8.46026	0.295907	0.165983	0	0	0	0.109679	0.146757	0.36684	0.390772	1.31819	0.179488	1.13378	0.178634	0.297495	0.513788	0.251499
Pame_00018.t1	0.902762	7.51528	1.14497	0.131785	0.212488	11.3182	1.31291	0.19477	0.202623	0.462485	0	0.08082	0.144987	0.287301	0.556747	0	0.4367	0.1631	0.154126	0.424169	0.158406	0.607971	0.08361	0.709912	0.211715	0.591352	0.236129	0.086503	0.447504	0.081274	0.497576	0.515177	0	23.0584	0.180152	0.167994	0.39486	0.667947	0.165946	0.083169	0.51868	0.369489	1.09669	1.71735	0.452355	2.95554	0.181463	0.808307	0.692711	1.21816
Pame_00019.t1	8.03351	7.21489	4.95072	4.69326	5.70179	5.49265	5.55799	6.29965	6.90254	5.72879	1.36012	5.58336	3.06314	4.9612	3.82436	3.02666	4.27784	5.21321	4.13034	3.93338	4.90305	9.04912	3.19099	9.66224	2.25568	6.40529	4.05894	6.24366	2.95504	3.68721	7.69719	4.96443	2.62612	8.15317	3.62468	5.36959	7.73904	5.51765	5.3121	9.52697	6.65407	3.43337	6.87972	8.0239	3.64356	10.0816	5.89805	2.87462	3.12931	3.06539
Pame_00020.t1	60.3098	58.4755	50.5447	32.7579	51.1332	61.8009	53.0753	38.9438	32.9501	48.2094	33.3214	24.0582	18.2859	17.0865	23.6126	18.4234	20.2303	22.9196	15.0342	23.9302	26.6901	22.8836	19.1103	15.9698	16.0462	25.2752	19.1479	22.9885	30.7035	23.2383	20.8232	25.6191	26.7125	30.5824	22.1763	23.2861	20.9685	21.1004	27.4081	28.1907	26.8139	27.9319	29.7632	33.5244	37.5648	26.0813	23.1959	39.437	29.0351	28.6654
Pame_00021.t1	1775.83	1429.78	1076.76	1139.79	900.841	1319.41	1274.84	1035.05	1315.9	960.58	10849.5	3446.41	3210.3	3636.66	5416.22	4269.84	2868.83	9309.82	3507.13	3193.14	6945.23	6807.27	3363.98	5573.45	3890.41	5552.69	5169.66	4432.83	5299.5	4679.59	3948.76	6271.16	8510.64	1679.96	3691.72	2873.7	4355.07	7815.98	6345.59	4644.59	3475.68	9066.44	5414.93	4701.03	5782.54	1279.01	6874.35	1598.11	4295.85	3749.57
Pame_00022.t1	9.46465	13.4084	13.4681	9.47282	10.5871	15.762	9.06816	8.48258	7.63187	8.71293	8.94828	10.6972	6.55394	8.04204	14.3493	7.87939	10.3022	10.4742	8.88491	6.47369	9.29964	9.98323	5.83787	9.13748	9.16333	14.5966	10.6037	11.2292	11.0419	8.73961	8.72355	9.00922	9.72562	7.27933	8.12173	11.7058	8.60135	15.6429	10.4978	12.8397	11.6401	12.333	8.8453	8.4039	4.65584	13.6561	14.7283	1.28623	13.4229	10.2525
Pame_00023.t1	197.435	142.958	137.543	130.178	132.576	151.553	147.812	82.6775	135.468	117.674	0	0	1.03262	0	0	0	0	1.16305	0	1.19833	0	1.20745	1.16152	0	0	0	0	0	0	0	0	0	2.68533	0	1.243	0	0	1.17085	1.1084	0	0	1.36237	0	0	0	0	0	0	0	0
Pame_00024.t1	44.4993	180.654	52.0147	23.8923	22.9532	215.72	45.5319	21.1169	27.6661	30.4398	160.564	147.056	41.8231	48.5005	48.8842	32.6809	22.3	108.522	48.2522	52.4416	46.4144	44.3041	62.4937	41.0861	30.7113	51.6477	40.7201	37.8241	88.4068	45.915	111.37	61.4768	47.3589	111.376	66.8888	129.317	121.517	52.4897	72.1807	68.2617	56.8151	83.6846	54.6235	25.645	24.5294	94.4314	51.9075	9.96814	52.3913	44.4313
Pame_00025.t1	150.666	141.086	186.995	110.227	125.848	137.581	179.665	122.786	120.832	145.048	152.337	84.8612	79.1888	74.7817	92.8268	75.1301	89.0657	90.6247	79.5248	84.8255	112.121	116.118	77.3289	82.9229	68.5609	93.2634	101.423	83.7786	122.396	88.2033	86.9084	107.947	103.35	157.281	104.58	94.1773	92.249	96.0204	105.41	99.553	113.038	116.22	106.199	151.269	112.852	131.988	88.7347	142.278	104.406	109.185
Pame_00026.t1	0	0.329967	0.210226	0.192506	0.103099	0.617633	0.09626	0	0.098984	0.289614	0.410254	0.819258	0.828116	0.310077	0.659206	0.527225	0.313977	1.05756	0.994458	0.241985	1.03459	0.252264	1.57812	1.02365	0.407712	0.286016	0.455133	0.623981	0.389767	0.589108	1.07848	0.627843	0.773432	0.352802	2.36212	1.3321	0.803342	0.980043	0.36572	0.363162	1.30162	1.22038	1.85215	1.71884	0.932098	1.55953	1.18623	0.396116	0.63571	0.446588
Pame_00027.t1	3.22643	3.51164	0	1.56957	0	1.96132	1.43436	3.02566	0	1.48125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00028.t1	0	1.31074	0	0	0	2.19221	0	0	0	0.577365	0	0	0	0	0.754067	0	0	0.694779	1.2859	0.703303	0	0	0.713206	0	0	0	0	0.718889	1.49055	0	0	0.724116	0	0.698443	0	1.40594	0	0	0.697867	0.695775	0	0.79664	0	0.753033	0	0	0	0	0.747944	0
Pame_00029.t1	5.33256	2.30977	1.5767	0.67377	1.23719	2.09995	3.65789	1.04434	1.08883	1.44807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00030.t1	0.318545	0.186508	0.185388	0.128089	0.402049	0.158177	0.214103	0.343278	0.126247	0.128582	0	0.261024	0.562697	0.511773	0.300361	0.533195	0.425313	0.263811	0.249399	0.10981	0.257279	0.843342	0.324427	0.230369	0.501469	0.57513	0.255541	0.672204	0.291862	0.262509	0.376303	0.501731	0.626538	0.471759	0.524621	0.54499	0.56102	0.541712	0.269347	0.864355	0.771079	0.602379	0.330002	0.708438	0.117891	0.212722	0.527819	0.117246	0.674856	0.247773
Pame_00031.t1	0	0	0	0	0.266158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00032.t1	0.064509	0.046484	0.109815	0.121588	0.043742	0.234528	0.141942	0.07958	0.124155	0.08133	0	0	0	0.021991	0	0	0	0	0.0706	0	0	0	0	0	0.02148	0	0	0	0	0	0.025442	0.026484	0	0.024916	0.027548	0	0.024034	0.025718	0.102372	0	0.022928	0.028757	0	0.056455	0	0	0	0	0	0.023605
Pame_00033.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00034.t1	0	0.724441	0	0	0	1.63271	0	0	0	0	0	0.258808	0.225299	0	0	0	0	0.25813	0.240379	0.261707	0.248388	0	0.267969	0.221404	0.224981	0	0	0	0	0	0.260833	0	0.854863	0.257204	0.289479	0.262535	0	0.267346	0.266666	0	0.237569	0	0	0.56779	0	0.265228	0	3.15486	0.837214	0.7306
Pame_00035.t1	5.01163	0	2.00236	1.9143	0	2.34618	2.68498	3.73228	2.82944	1.86756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00036.t1	2.67984	7.05968	5.59436	5.54882	10.7395	9.83865	4.70183	8.67382	6.23569	9.8955	4.42286	8.61768	8.66464	4.76274	4.68803	6.45715	5.1306	4.87732	7.70949	4.32578	6.64643	6.26708	7.29305	4.86169	6.62767	5.77153	6.09312	4.79996	2.44456	6.04163	6.68915	5.76243	8.22698	7.73093	9.06063	9.72042	12.0495	5.96827	4.62673	5.45967	6.52426	4.12974	3.30918	4.86031	7.18182	9.16101	5.42145	2.01062	6.2415	5.88282
Pame_00037.t1	0	0.111476	0	0.09756	0.104486	0.375541	0.390249	0.096238	0.200677	0.195695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00038.t1	7.59919	2.32449	24.8318	1.04219	27.7701	2.54006	27.9461	14.1428	11.1823	43.3667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00039.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00040.t1	5.4768	7.22429	15.4023	2.36911	5.48893	7.29194	11.0977	3.81263	3.42676	8.48925	1.48515	1.76465	2.13099	1.18812	2.20867	2.12936	2.76725	2.67007	3.26821	2.37759	3.71758	4.45084	2.48077	2.93321	2.03789	1.96284	2.80715	1.81883	2.45423	1.94541	3.22119	2.31216	4.60188	4.40884	3.14663	4.38446	4.76428	2.82128	3.67794	2.79414	5.62731	3.8254	5.09451	4.6734	4.17487	5.05433	3.18165	5.44064	3.48985	4.01458
Pame_00041.t1	0	1.28195	0	0	0	1.39784	3.15822	0	0	0	0	0	0	0	0	0	1.19677	0	0	0	0	1.37446	0	0	0	0	0	0	2.93044	0	0	0	0	0	0	2.76446	0	2.68603	0	0	1.78648	0	0	0	0	0	0	0	1.44623	1.25139
Pame_00042.t1	21.5997	26.5962	45.4877	8.54011	21.6108	26.1517	40.8194	14.6119	10.995	26.4693	2.9266	3.56258	4.7402	2.46563	4.02097	5.31822	6.90792	5.46385	6.48864	4.64658	8.16321	9.50635	8.19373	7.02608	4.4939	5.07508	7.72691	5.51323	8.28603	6.5036	6.30443	7.08701	8.09926	7.98091	7.50303	6.32043	10.3769	6.82053	10.0346	7.20932	13.8807	7.48812	14.2294	8.37019	15.2526	12.404	7.62827	42.8895	6.65269	17.1296
Pame_00043.t1	44.5614	26.5409	53.4319	17.3273	32.2697	25.3901	45.5667	18.6562	20.8597	39.2518	13.3997	13.5626	10.6285	12.7601	20.2143	13.645	15.6694	13.7722	11.9099	16.7026	16.0475	20.8113	16.1566	14.4859	13.389	13.4745	15.0193	13.0605	16.5393	12.2601	15.1789	15.3421	22.0743	22.8319	17.0029	20.2617	20.9196	20.3596	23.6543	20.2763	22.0156	24.862	25.6498	29.8418	19.9223	28.6474	20.0011	23.2761	25.1804	19.5261
Pame_00044.t1	0.821396	0.608026	0.310475	0.081785	0.352404	0.052504	0.204131	0.160857	0.250974	0.451162	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044094	0.043609	0.061155	0.048915	0	0.111788	0	0.051443	0	0	0	0	0	0.048788	0	0	0	0	0	0.052667	0	0.112888	0.050892	0	0	0	0
Pame_00045.t1	5.77676	1.02641	3.8503	4.57906	1.8929	7.87805	7.75119	5.37004	0.905803	1.79183	1.23994	0	0.944388	0	0	1.20669	0.943289	1.06871	1.9763	1.09923	1.02884	0	1.07342	0	2.724	0	0	1.08071	0	6.14842	1.02791	1.12165	2.46288	1.09569	4.60316	0	0	0	1.03334	2.12488	2.99099	1.25081	0	3.51519	1.16358	5.36162	0	1.16514	2.31645	1.00812
Pame_00046.t1	15.1884	11.8913	20.4382	15.6939	12.936	12.1867	14.1172	16.6034	17.9822	15.2417	22.1921	7.85831	11.2829	9.0068	18.2845	9.55045	2.17052	18.8382	5.06025	4.61032	21.6036	14.5512	6.89062	6.1855	7.1142	15.891	25.3952	9.46936	14.1098	14.0843	9.40312	7.13768	30.6152	7.38078	13.7627	6.69069	26.3378	22.741	11.5142	6.15016	9.12715	22.9279	6.58247	13.7606	35.6213	5.15128	24.5053	5.2109	13.4192	9.77751
Pame_00047.t1	3.29251	7.42159	4.63493	1.22015	1.72652	8.26366	3.59503	1.58262	2.08973	2.46279	3.04525	1.86937	1.32839	1.8094	6.01335	2.1574	4.15311	4.64561	2.35815	3.45387	4.14306	5.32849	1.69302	2.14478	1.46905	1.69581	2.68297	1.81243	3.85967	2.93801	2.11163	2.98889	2.1558	17.7889	2.43788	3.28547	2.40747	1.4599	4.78455	3.37405	3.20809	3.68857	5.00364	6.65711	4.97046	6.46161	3.40455	11.9128	4.5895	5.74108
Pame_00048.t1	1.5694	1.36868	1.50703	1.13752	1.36196	1.28605	1.77901	1.26638	1.09757	1.45781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009189	0	0	0	0	0	0	0	0	0	0	0	0	0.009735	0	0	0	0	0	0.00954	0	0	0	0
Pame_00049.t1	2.23678	2.38708	2.61506	1.26093	2.0991	1.86719	2.38443	2.53115	2.46463	1.81498	1.92828	2.63422	2.15678	2.79926	2.68824	2.53369	2.96967	2.36126	2.48715	1.9301	3.76583	3.74258	2.90407	3.07208	3.31932	4.09565	2.72088	2.68914	4.02247	2.81604	3.30607	3.43732	3.73263	3.73844	3.1337	3.38822	3.35541	3.96465	3.49467	4.30102	3.25332	3.64894	4.50005	5.82698	3.22716	3.95301	3.22468	3.02471	5.1664	3.44375
Pame_00050.t1	4.10279	3.62371	4.45544	2.6904	3.41126	3.38124	4.43299	2.20761	2.65872	3.58873	5.30411	3.99451	4.17031	3.91977	5.5531	4.93875	5.06628	6.07883	4.67961	3.93844	5.80695	6.17336	3.95444	4.36521	4.93356	5.47836	4.87942	4.60346	5.55188	4.4142	5.20119	4.82653	4.8932	5.70191	5.95709	5.878	6.22293	5.81347	6.15662	5.08727	6.1471	7.23865	5.88198	6.0336	6.05713	6.46993	5.38138	6.43832	5.64913	5.15659
Pame_00051.t1	0.536179	0.57397	0.275438	0	0.268726	1.1291	0.754142	0.124326	0.518856	0.756877	0.176082	1.52622	0.806361	0.134333	1.36733	1.37428	1.62626	0.459455	1.00375	1.25371	0.743777	0.491782	0.633277	0.796011	1.59533	0.742634	1.18388	1.29771	0.840859	1.38519	1.0889	1.61874	0.841774	1.07177	1.88162	0.314095	0.749769	2.38286	1.42542	2.04111	1.69577	1.41114	1.75956	1.36866	2.2556	0.93955	1.20086	1.71723	1.32479	1.3066
Pame_00052.t1	0.83325	0.462517	0.575174	0.403317	0.641413	0.409416	0.552195	0.458516	0.390188	0.532445	0.975916	1.0568	1.04206	0.737248	0.683019	0.789062	0.86806	0.834723	0.838332	0.97683	0.895559	1.36421	0.882271	1.41784	0.967797	1.55345	0.736113	0.859932	1.10796	0.647783	1.27933	1.02636	1.70127	1.14826	1.0967	0.621888	0.856195	1.21224	1.07227	1.37029	1.08063	1.20459	1.04445	1.35968	0.500611	1.0023	0.985874	0.322751	0.64383	0.741661
Pame_00053.t1	1.69753	1.92559	1.76456	0.656352	1.69917	2.12596	1.75897	1.2636	1.15334	1.3433	0.188482	0.095778	0.114725	0.313686	0.257404	0.217234	0.40631	0.096899	0.335851	0.134406	0.284763	0.241226	0.364143	0.141453	0.446047	0.588363	0.345366	0.274682	0.216098	0.160487	0.230863	0.068593	0.210318	0.451657	0.357242	0.301075	0.405482	0.566285	0.13257	0.265784	0.237444	0.297536	0.407376	0.54738	0.218246	0.293722	0.430845	0.253588	0.5191	0.397111
Pame_00054.t1	10.9356	17.9252	5.28438	1.33315	2.4937	20.5887	6.52707	3.31073	3.91887	3.2547	0.580332	3.34359	2.87506	1.5184	1.14505	2.01962	4.74682	2.15496	5.43314	1.64493	2.72082	2.3701	3.16513	2.37691	2.42295	2.2564	1.38708	2.28522	0.867829	2.07542	4.60148	2.11539	4.6299	2.62733	5.07372	4.0706	6.04648	3.81912	4.01502	3.80822	6.52452	4.96329	3.64125	3.66432	1.7525	4.55086	2.39518	0.632965	4.87655	3.68683
Pame_00055.t1	9.50923	15.834	2.72769	1.17057	2.33964	15.1859	4.52928	2.17203	1.05802	2.78733	0.407462	1.77618	2.33838	1.71492	1.18781	1.59775	2.82517	1.06786	4.32519	1.81623	1.7237	1.52389	2.21009	3.84382	2.16511	1.29303	1.37341	0.941452	0.583699	1.43367	2.70735	1.31329	2.74085	1.42176	4.7757	2.18469	6.28785	1.66039	2.39171	2.18528	5.08646	3.27291	3.33505	3.36531	3.02135	4.55496	1.59625	0	4.04095	3.36885
Pame_00056.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00057.t1	0	0.512863	0	0	0	0	0	0	0	0.453294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00059.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00060.t1	0.119394	0.383736	0	0.112034	0.11982	1.14978	0	0.110626	0.115381	0.112355	0	0.135966	0	0.119897	0	0.306276	0.121163	0.273092	0	0.420149	0.265958	0.43875	0	0	0.118464	0.165733	0.396237	0.144774	0.300813	0.411182	0.138883	0.144829	0	0.136589	0	0.280595	0	0	0.141323	0.140232	0	0	0	0	0.464284	0.139504	0.152949	1.07313	0	0.518281
Pame_00061.t1	4.42606	2.33062	0.837471	0.378854	0.245443	1.30612	2.2303	0.446146	1.02085	0.364947	0	0	0.016504	0	0.02117	0.020822	0.016745	0	0	0	0.018271	0	0.038121	0.065285	0	0	0.018119	0.03957	0	0.018463	0	0.039624	0.020254	0.074566	0.041167	0.03859	0	0	0	0	0.017158	0.021537	0	0.021148	0	0.037642	0	0.02099	0	0.035339
Pame_00062.t1	553.341	137.789	9.07771	2.99997	3.16405	3.82502	172.394	2.2496	79.8498	3.00993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00063.t1	2.1079	1.89337	0.841754	0.540018	0.509339	1.77766	0.977955	0.862471	1.41463	1.04954	0.14525	0.082264	0.221694	0.110107	0.426198	0.279963	0.298556	0.166377	0.07864	0.173107	0.162652	0.487877	0.25577	0.254671	0.251424	0.302703	0.121103	0.265143	0.323503	0.082718	0.212146	0.352533	0.360253	0.207219	0.321868	0.172107	0.200924	0.214047	0.510997	0.29886	0.228701	0.238545	0.174214	0.093573	0.373373	0.461784	0.231173	0.278713	0.266761	0.274495
Pame_00064.t1	0	0.070642	0.066875	0	0	0.039626	0.030824	0	0.031519	0.061875	0.177024	0.075105	0	0	0	0.042594	0.034097	0	0	0.039515	0.03716	0	0	0.066478	0.196749	0.092179	0.036884	0	0.084518	0.037757	0	0	0.164634	0	0.041995	0.078616	0.036688	0	0.077837	0.078034	0.069686	0	0.039828	0.085591	0.085355	0.03835	0.042219	0.127463	0.040635	0.035851
Pame_00065.t1	44.3986	35.7012	11.4587	11.033	6.95469	26.5598	19.5193	9.37036	10.7428	6.6242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_00066.t1	0.654963	0.490712	0.051766	0.190856	0.051367	0.55108	0.190405	0.093898	0.19534	0.047851	0.13666	0.233543	0.209763	0.051997	0.201496	0.132544	0.052785	0.235964	0.05577	0.061392	0.287263	0.188509	0.241811	0.154397	0.050987	0.142779	0.114162	0.187818	0.130216	0	0.120128	0.311179	0.38148	0.05851	0	0.182649	0.05704	0.181452	0.180413	0.120631	0.3227	0.067175	0.18402	0.065813	0.328725	0	0.196707	1.17643	0.251112	0.608171
