sample	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_14459.t1	4.04457	12.6864	7.48821	1.80687	4.27413	13.7444	6.29274	3.40723	2.88873	4.91166	2.46795	2.90845	2.23041	2.28016	2.16483	2.97689	2.57752	3.58775	2.34011	2.01558	5.3028	4.28622	3.34611	4.49131	2.94233	4.0065	4.53095	3.50799	5.43331	3.53046	3.99157	3.04501	4.94029	24.7745	6.03041	4.30835	4.9206	4.80635	5.88508	4.83044	6.1915	6.35251	6.25059	44.067	6.37484	11.5591	3.54937	9.48092	5.33832	6.23569
Pame_14460.t2	489.712	392.391	403.282	288.632	333.538	375.347	424.934	303.132	320.802	345.552	269.831	240.004	247.013	253.66	266.732	280.283	298.315	283.922	268.973	267.455	318.782	282.15	264.736	291.424	291.462	316.516	306.818	308.463	378.629	288.647	311.783	330.724	367.103	480.436	365.939	353.37	311.474	406.705	369.997	402.493	422.582	377.176	420.89	581.812	336.15	417.097	348.32	389.778	390.374	386.356
Pame_14461.t1	0.326251	0.215472	0.222001	0.187788	0.276451	0.109789	0.205059	0.117291	0.226555	0.137037	0.220855	0.248455	0.39064	0.314788	0.310178	0.375536	0.264116	0.398213	0.435831	0.152599	0.411635	0.537034	0.300743	0.220657	0.470048	0.331364	0.204126	0.356721	0.352097	0.291368	0.364246	0.35705	0.615933	0.39893	0.371122	0.565225	0.465247	0.368368	0.409745	0.302581	0.328506	0.800197	0.309815	0.523761	0.284497	0.487732	0.419363	0.165433	0.653099	0.43776
Pame_14462.t1	8.93507	12.7111	8.53487	8.29387	10.8067	10.5516	9.5923	9.55815	9.54734	9.24764	9.07013	7.53256	8.41543	7.72438	5.41862	8.01254	8.6177	6.09194	7.10876	6.23983	7.99233	7.2545	10.0477	9.89887	8.79775	10.9595	10.1513	10.0585	10.0769	8.33227	9.70356	9.21392	8.54015	12.9256	10.0457	8.75642	8.69285	11.1047	11.1903	15.5628	12.7564	8.49475	10.4899	14.9472	8.7376	12.1441	8.0411	7.47378	11.0225	9.44818
Pame_14463.t1	17.4389	15.644	15.9342	13.1093	15.9805	17.5044	17.2131	14.0431	11.6368	16.2939	4.75095	8.23604	10.5284	9.56476	3.6676	10.1963	12.5031	6.59196	9.70292	6.00409	6.54339	8.44975	12.5885	11.084	13.1541	13.0271	10.1201	12.9457	13.2304	6.79283	14.6194	11.8879	13.9907	11.5426	14.3826	11.341	10.0032	18.8286	10.802	14.1954	16.0429	11.6098	16.7182	25.3833	9.54185	14.7592	14.3204	12.3592	16.1972	18.6452
Pame_14464.t1	1.92258	2.49651	1.24454	1.51972	0.712249	3.16934	1.23488	1.12414	1.17199	0.985789	0	0.924076	1.53079	1.83647	1.04125	2.60178	1.34319	1.9715	1.85427	0.836154	1.47527	1.12048	1.43756	2.02109	2.71597	1.69397	2.02145	2.09403	1.02605	1.97655	2.24745	0.743862	1.65362	1.04459	1.94267	1.31494	3.85054	3.50682	1.92515	1.79246	2.46206	1.60592	2.19393	3.26301	1.57688	1.53895	2.08144	0.781875	3.40882	1.87323
Pame_14465.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pame_14466.t2	0.462754	1.315	1.01192	0.493658	1.0032	1.196	0.601466	0.97205	0.786432	0.970897	0.078483	1.21066	2.17576	1.37634	1.93352	2.44376	1.63877	1.01889	1.41285	1.0605	1.4526	1.4463	2.22741	1.71631	2.99558	1.80636	2.16568	2.37763	1.56901	2.16505	1.79651	2.07376	1.82606	3.36081	2.47442	1.96063	2.95687	4.03159	2.34928	1.5942	2.47072	2.08076	2.1114	3.32047	1.05618	3.48535	3.39745	1.19922	3.5941	2.72928
Pame_14467.t1	6.05051	6.4709	2.98285	2.04266	2.67845	6.1841	4.13826	1.30578	2.36638	2.27224	1.09234	1.55367	1.37907	3.48229	2.22863	3.03737	1.76536	3.01852	0.784523	3.33512	4.17744	3.23862	1.50325	2.45193	2.07621	6.3328	4.43496	2.43331	3.22392	3.2297	3.08028	2.67045	4.09484	2.80791	3.94506	1.93356	3.04342	6.71698	3.66294	5.8965	4.59968	5.98881	4.36947	7.95596	2.46793	4.87522	4.78296	0.932756	8.64546	5.72147
Pame_14468.t1	0	0	0	0	0	0	0	0	0	0	0.902957	1.33227	2.55017	1.39199	0	1.19538	0.928122	3.45314	1.23664	0.269237	2.0441	1.13771	3.86153	1.82175	2.779	1.28233	1.78456	0.560697	1.72113	5.10969	2.14695	0.556988	2.34685	1.85293	5.06501	0.270073	1.05027	3.57644	1.92091	4.32805	0.977889	2.43036	2.46772	0.583871	7.19584	0.546081	2.6878	2.06523	7.17964	4.25995
Pame_14469.t1	0	0	0	0	0	0	0.811713	0	0	0	12.7733	10.7336	21.2637	0	4.37062	4.5409	8.83144	28.1502	0	1.02945	28.0127	12.65	15.1752	8.29321	4.27706	4.66824	22.4094	5.0967	24.0977	32.0112	5.82686	8.4289	16.1652	26.6699	33.6957	11.294	13.554	34.4892	15.6553	5.00529	9.35049	41.0128	4.1766	16.5055	66.0203	12.1295	13.2088	9.89122	0	0.948206
Pame_14470.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
