gene_set	Bger Mean	Esin Mean	Pame Mean	Pful Mean	ANOVA P-value	ANOVA P-value Adj.	ANOVA -log10(P.adj)	ANOVA Significance	ANOVA P-value Adj. Significance
M00076	0.2751458869	0.1242087116	0.1745789866	0.2194033337	6.102819906e-09	2.766611691e-08	7.558051792	****	****
M00077	0.134481668	0.01539837191	0.0446165617	0.1331285688	4.33999489e-09	2.035307948e-08	7.691369871	****	****
M00078	0.2741011808	0.164925642	0.1970483065	0.2293413287	4.158657205e-08	1.437908593e-07	6.842268721	****	****
M00079	0.1957320173	0.1368451258	0.1570555701	0.2264210279	1.291104567e-06	2.926503686e-06	5.533650925	****	****
M00081	0.2757430012	0.186301723	0.2080801126	0.2255238825	3.060983019e-09	1.538900566e-08	7.812789441	****	****
M00082	0.08424804893	0.1723755419	0.1195157131	0.1052675301	4.020020301e-12	6.834034512e-11	10.16532283	****	****
M00083	0.2276093568	0.2259732778	0.2399655347	0.2316494271	0.0003528919112	0.0005087628967	3.293484569	***	***
M00085	-0.05301004486	0.02592871965	-0.1541219493	-0.1528251609	2.695800532e-09	1.39226154e-08	7.856279174	****	****
M00086	0.1756981862	0.1942617418	0.1770815896	0.2049680362	0.005364086866	0.006611925805	2.179672028	**	**
M00087	-0.03694507116	0.1026037067	0.0005831341396	-0.0342659363	7.837858033e-11	6.662179328e-10	9.176383681	****	****
M00088	0.1937396566	0.2582433316	0.2243844439	0.2002390565	1.070529169e-05	1.985345004e-05	4.702164013	****	****
M00089	-0.07678481395	-0.04274168721	-0.0696535033	-0.0624934255	0.006229727145	0.007519907323	2.123787512	**	**
M00093	0.3468244209	0.3242637638	0.307260323	0.3251873489	6.913990615e-06	1.318181388e-05	4.880024825	****	****
M00094	-0.1958454073	-0.2306259378	-0.186538836	-0.2110159931	0.1346444498	0.1430597279	0.8444826054	non	non
M00095	0.1918265327	0.2852658344	0.2386283264	0.2211683097	0.004529615797	0.00566896701	2.24649607	**	**
M00096	0.4094983429	0.4209730213	0.4232441202	0.420235914	4.020485976e-05	6.806465885e-05	4.167078328	****	****
M00097	-0.1957876181	-0.08428455731	-0.0892163018	-0.06440426245	1.505197641e-08	6.080402353e-08	7.216067682	****	****
M00098	-0.02965017701	0.01683907937	0.01250761445	-0.01686969367	2.224596682e-08	8.557004594e-08	7.067678235	****	****
M00099	-0.1731897025	-0.115361989	-0.1407371039	-0.2198603709	1.650850757e-06	3.653734761e-06	5.437262983	****	****
M00100	-0.3417844018	-0.1602116455	-0.1914105485	-0.2799873799	1.447604408e-13	3.937483991e-12	11.4047812	****	****
M00101	-0.1999448888	-0.2005868968	-0.3144072472	-0.2315385872	3.746735761e-08	1.306554009e-07	6.883872633	****	****
M00112	-0.1082003643	-0.1282792907	-0.1601853785	-0.1310388164	0.1023141556	0.1098530934	0.9591877091	non	non
M00113	-0.3394323245	-0.05513742473	-0.2727938702	-0.416162294	8.628518908e-20	1.173478572e-17	16.93052484	****	****
M00115	0.3314793394	0.3272028157	0.3404814831	0.3365342789	0.0008533004308	0.001160488586	2.935359127	***	**
M00116	0.3073755415	0.2875881773	0.2400521575	0.2430119231	6.506699969e-06	1.246353797e-05	4.904358659	****	****
M00117	0.1348644076	0.1030624369	0.0944302696	0.1330318576	0.02726687021	0.03081685054	1.511211748	*	*
M00118	-0.01682892019	0.009673262505	-0.06096472025	-0.001437892521	0.0003560140766	0.0005114568424	3.291191007	***	***
M00119	0.4214997943	0.4136828099	0.4109626603	0.4158715248	0.008421009767	0.009929976835	2.003051765	**	**
M00120	0.2350275395	0.2555093681	0.2378888784	0.2173565168	3.066513674e-06	6.449162779e-06	5.190496661	****	****
M00122	0.2847701915	0.2813711067	0.2795496715	0.2811100891	0.8717925181	0.8739345145	0.05852110864	non	non
M00123	0.3908725908	0.3785447132	0.3544683327	0.3666509909	7.11907974e-05	0.0001161833814	3.934855988	****	***
M00124	0.3261206991	0.3072168895	0.3191533545	0.3224984648	0.180002488	0.1897700649	0.721772294	non	non
M00126	0.2691949417	0.2770623691	0.2604330864	0.2551797086	1.79386874e-07	5.047575489e-07	6.296917177	****	****
M00127	0.2527843187	0.2505628109	0.2989902135	0.2920283604	2.207298205e-11	2.631646099e-10	9.579772515	****	****
M00130	-0.2527955417	-0.3298313764	-0.2903124878	-0.2741478972	0.0008667351032	0.001174843595	2.930019946	***	**
M00133	0.2426611244	0.2576071673	0.2764279988	0.2645180508	0.00146596626	0.001923196894	2.715976251	**	**
M00134	0.1039714011	0.09974813821	0.159856559	0.1350090489	3.873415466e-06	7.825277517e-06	5.106500252	****	****
M00136	-0.02538279051	-0.01458692481	-0.07754085034	-0.01453349421	0.05827167878	0.06408314	1.193256216	non	non
M00140	0.3280283228	0.3428725054	0.3524998878	0.3287610801	7.168959361e-12	1.083309414e-10	9.965247483	****	****
M00142	-0.4194049718	-0.3899234612	-0.352303717	-0.375455472	0.0006972469562	0.0009610701287	3.017244921	***	***
M00144	0.3714958488	0.3294821429	0.3228117195	0.3555959702	1.975476353e-07	5.482954777e-07	6.260985336	****	****
M00145	-0.1652749293	-0.2897524158	-0.1257375078	-0.15775238	8.416880309e-12	1.184167988e-10	9.926586683	****	****
M00149	0.3254518811	0.343586848	0.3078666142	0.3298190104	0.0004046782795	0.0005773032799	3.238595975	***	***
M00150	0.01391646372	-0.169227539	0.02890653049	0.05824307903	5.649389617e-07	1.357698716e-06	5.867196593	****	****
M00151	-0.2586306111	-0.03929298656	-0.1257136013	-0.1294542152	4.717205149e-08	1.603849751e-07	6.794836319	****	****
M00152	-0.1570232057	-0.1055252758	-0.1064068054	-0.08450241538	0.1208933542	0.1291216976	0.8890007727	non	non
M00153	0.4053446938	0.3082854904	0.3691523745	0.3892781992	3.181864697e-10	2.058742478e-09	8.686397975	****	****
M00154	-0.1675631654	-0.1453528911	-0.2214225211	-0.1952391778	1.046994514e-06	2.399852594e-06	5.619815433	****	****
M00155	-0.1705119098	0.1674164353	-0.1568321563	-0.1315530661	1.913347804e-10	1.445640563e-09	8.839939674	****	****
