gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K09892	0.5788532	1.6738591	0.87323654	0.30246535	1.3908099	0.6090758	2.86506164	2.50865874	1.16589143	0.88965912	0.709111236	0.92942253	0.50405896	0.92301878	0.66586017	0.555192187	1.25264305	0.655319616	4.63770742	1.281801679	3.03070283	1.640363004	3.23201032	2.77154879
K09893	25.61341033	6.91431416	13.2975641	27.35748806	18.38809213	15.12119569	2.71820875	1.2095455	1.08176633	1.024588	0.99013599	3.68664624	0.743560929	0.827803674	1.444368726	2.153609079	1.613706153	1.80498087	7.396152605	5.330628595	2.85542155	6.6268606	2.419653125	1.87358118
K09894	2.1659825	2.3357205	1.32995379	0.066286513	1.42733952	0.07352165	0.1871449	0.95642304	0.28776985	0.4163109	0.16512771	0.21315807	0.289915345	0.261523504	0.19962989	0.207209914	0.190798596	0.17979023	6.491543605	4.02993091	1.890732212	4.752771778	1.917761955	1.41242089
K09895	5.50016675	1.60215692	1.85533031	2.30117469	2.17266191	1.55158005	7.28007591	7.50518326	1.5684017	2.026893925	1.85851604	3.747698503	2.84233052	1.898924194	2.08641006	1.647175965	1.88498229	2.013735663	10.19741653	7.9487944	4.685428289	8.01593834	7.835773923	6.884443253
K09897	9.99032527	1.51004911	2.75618536	0.958483373	4.07450204	3.43260339	0	0	0	0	0	0	0.357485509	0.33751181	0.655137969	0.67360434	0.37190233	0.76398542	6.16610885	5.22518751	1.21386132	5.43842601	1.921783978	1.085855141
K09899	7.00580632	1.460223079	2.07759385	0.394000638	2.20762972	1.51227063	0	0	0	0	0	0	0.214506914	0.13262749	0.099814944	0.11684676	0.184137387	0.215999411	5.55470424	3.627490649	1.371697503	4.81556563	1.04766652	0.75799665
K09900	5.62308379	1.81236021	1.92256669	0.1540891	1.29341623	0.20505945	2.45729103	0.998644535	0.67187285	0.77622966	0.9012246	5.012219	0.3135101	0.17230242	0	0.34155208	0.08970786	0.11838434	0.84162348	2.186933775	0.594633612	1.54750922	0.63219415	0.19838362
K09901	5.80793175	1.45916598	1.61597624	0.91639768	3.12147	3.15970032	2.61697801	1.052268596	0.884453427	1.24951977	1.221635016	4.43499343	0.312615251	0.53245507	0.26212335	0.186235415	0.063611031	0.168581441	6.54256727	3.77349157	1.1881136	6.28319385	1.411811041	0.78957291
K09902	5.109174026	0.14897169	1.58809665	1.4869591	2.96884631	2.9235637	1.31989362	0.052196946	0.16961494	0.22106172	0.096555718	0.034899425	0.144206186	0.171057748	0.293573358	0.31290048	0.22866714	0.04023517	1.238154111	1.06990943	0.30538783	0.722856148	0.534226068	0.402940447
K09903	288.1487448	288.1391969	293.4758913	265.4638601	303.2836381	237.9194195	361.7385096	356.1419902	368.680038	359.6687411	379.9162492	381.6261167	339.1869727	365.2523114	352.0540668	350.2619576	347.6274183	354.2920028	316.7304607	298.2704275	310.0651241	301.04837	310.9564077	308.304249
K09906	9.78477346	1.7670975	2.2182175	0.825218737	2.87956782	3.391153115	1.14199662	1.0530882	0.30804168	0.949550188	0.827676795	2.881095772	0.320676717	0.260841614	0.290029041	0.95776121	0.399060502	0.384500632	5.06235193	2.362366899	0.711905658	2.74372433	0.90168851	0.51411101
K09907	71.95094405	78.43251832	72.67787973	82.19064934	77.10383776	42.0777226	40.66982273	33.82709137	33.57487993	36.66264915	38.04911873	39.10744907	27.54370734	26.05828478	38.3923528	27.77859908	35.48849121	31.27543179	35.30702399	32.87169758	38.79640571	41.78365078	27.37947572	28.29708389
K09908	8.05631419	1.79753528	1.558802448	3.070887	2.221372436	1.527472275	2.71644386	0.97836567	2.82226548	1.98891212	1.255662631	5.946341745	0.7116834	0.761241004	0.767842098	1.08658644	0.877691495	0.751431183	28.92925387	4.41435566	4.008585822	6.788580255	1.512164914	1.130848843
K09909	7.09194256	1.428020398	1.58565866	0.6410426	2.12598158	2.887006818	3.437272619	1.023661642	0.963918634	2.08369745	0.452400399	0.986802391	0.25152442	0.170680795	0.255742029	0.55748105	0.251746504	0.272334774	4.038879425	2.788841256	1.282704094	5.344326213	1.327765115	1.821517667
