module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko03015	0.044800991	-0.283332814	6.484228212	1.14E-06	1.72E-05	5.240226473	4.764985263	Bger_up	-0.253637095	-0.225875769	-0.257632759	-0.255329499	-0.247658159	-0.258259143	-0.296916957	-0.301811444	-0.272322313	-0.266910684	-0.302515626	-0.305124373	-0.292999045	-0.30232056	-0.309930939	-0.301635018	-0.305539813	-0.302339111	-0.310743706	-0.285899355	-0.297892358	-0.293874598	-0.295578963	-0.257240251
M00930	0.062624126	0.201629408	6.500241557	1.09E-06	1.72E-05	5.278575091	4.765143831	Bger_up	0.248407914	0.233965817	0.253483025	0.23791206	0.280393866	0.237422327	0.160718043	0.18130704	0.177651398	0.163998695	0.20731642	0.162684502	0.174034334	0.151940043	0.175601638	0.179551179	0.185620978	0.191223714	0.172784199	0.219650232	0.210047167	0.226310672	0.203977831	0.203102685
M00853	0.289176317	-0.31047615	6.710563135	6.65E-07	1.26E-05	5.779562301	4.900244606	Bger_up	-0.049887211	-0.268490521	-0.099180945	-0.072166543	-0.051956653	-0.019881602	-0.482950005	-0.482745927	-0.482643888	-0.482950005	-0.48254185	-0.483358161	-0.402924602	-0.426624545	-0.404322456	-0.399856417	-0.402281515	-0.387994558	-0.240167547	-0.242161655	-0.302597365	-0.231022053	-0.257564225	-0.295157356
M00550	0.084238645	0.210476967	6.815649549	5.20E-07	1.12E-05	6.027954323	4.952149891	Bger_up	0.289760425	0.245872269	0.284754508	0.277437753	0.268935965	0.275174783	0.163232932	0.14010698	0.152917489	0.183643839	0.144515845	0.15661946	0.247128027	0.20201537	0.191181476	0.186535026	0.204188106	0.195984803	0.176232974	0.211585989	0.221013751	0.210868449	0.217933466	0.203807519
M00983	0.097776988	-0.371525111	7.271980942	1.81E-07	4.93E-06	7.090928956	5.307566378	Bger_up	-0.308415823	-0.302163161	-0.306217876	-0.266196241	-0.32005479	-0.286106329	-0.363393375	-0.421002689	-0.371776067	-0.337836307	-0.376318247	-0.402954505	-0.361114082	-0.355210818	-0.412049015	-0.387641474	-0.381187691	-0.37699174	-0.429779968	-0.430358247	-0.430222181	-0.42909964	-0.430494312	-0.430018083
M00825	0.120133736	-0.183405824	7.349249337	1.52E-07	4.77E-06	7.268315277	5.321828406	Bger_up	-0.112858811	-0.135587509	-0.075873367	-0.069312757	-0.105594607	-0.060606078	-0.266406974	-0.249438584	-0.186002595	-0.186024918	-0.280536857	-0.214766632	-0.238713608	-0.252698591	-0.245909854	-0.215170291	-0.218740995	-0.221418224	-0.203436253	-0.167439368	-0.201999496	-0.165957901	-0.180288359	-0.14695714
M00081	0.069087485	0.223927388	7.55613757	9.52E-08	3.53E-06	7.739454478	5.452192175	Bger_up	0.264314355	0.261958094	0.292503895	0.268231219	0.285656587	0.281793859	0.17853335	0.174541173	0.19168761	0.19550653	0.176947754	0.200958911	0.218597183	0.180242727	0.205203945	0.229001918	0.199347324	0.216087579	0.217506402	0.214853875	0.221365653	0.217623906	0.247941402	0.233852057
M00577	0.033924752	0.292507933	8.46562737	1.31E-08	8.88E-07	9.742984864	6.051690484	Bger_up	0.316494986	0.32469484	0.322360117	0.32220633	0.320266346	0.301686362	0.275721529	0.286504493	0.281920809	0.274163187	0.284994576	0.27891118	0.281702188	0.26706314	0.289670879	0.287493544	0.291472277	0.288692954	0.288140496	0.289876947	0.28875087	0.292095742	0.287089224	0.278217371
ko01051	0.091783533	0.030088823	8.690993536	8.12E-09	6.76E-07	10.22218584	6.169952059	Bger_up	0.059261221	0.104548314	0.104123053	0.143212192	0.061678707	0.120735351	-0.013910966	-0.015886625	-0.002629251	0.021418125	0.009732945	0.014541208	0.010455067	0.001644281	0.034457363	0.038460533	0.02658578	0.030303747	-0.026677837	-0.010727548	-0.001979561	0.01697546	-8.97E-05	-0.004100068
M00631	0.047653408	0.295929893	9.188069805	2.91E-09	3.96E-07	11.25492594	6.402053145	Bger_up	0.33382861	0.317416691	0.330129173	0.342743871	0.324146328	0.341755022	0.271064574	0.266954837	0.269218077	0.278667088	0.29681807	0.268274514	0.295639657	0.28247044	0.281541018	0.280053222	0.291978941	0.285815054	0.278646137	0.291251022	0.293781823	0.297231069	0.293623749	0.289268444
