Sample	group
Pame_1	Pame
Pame_2	Pame
Pame_3	Pame
Pame_4	Pame
Pame_5	Pame
Pame_6	Pame
Pful_1	Pful
Pful_2	Pful
Pful_3	Pful
Pful_4	Pful
Pful_5	Pful
Pful_6	Pful
Esin_1	Esin
Esin_2	Esin
Esin_3	Esin
Esin_4	Esin
Esin_5	Esin
Esin_6	Esin
Bger_1	Bger
Bger_2	Bger
Bger_3	Bger
Bger_4	Bger
Bger_5	Bger
Bger_6	Bger
