module	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
M00909	0.032812007690543	0.299881461124172	4.40890228980668	0.000191721732504447	0.0014222266702148	0.177348117870944	2.84703118153985	up	0.269695411502483	0.280203313021799	0.274870803577365	0.246194572294312	0.286357854198614	0.270022085954902	0.300924610675739	0.29796063363866	0.309231307913971	0.301002247732028	0.303580212680608	0.30711488382265	0.316616865804649	0.3271538194189	0.324160019059388	0.32964706890675	0.320937678628823	0.328427349533963	0.31203285834696	0.299149824691166	0.301695019175627	0.288243691536878	0.299803235573069	0.302129699290813
M00763	0.122128251425693	-0.179950135550334	7.52440136031188	1.00032095090118e-07	8.16261895935363e-06	7.73633640582363	5.08817047640423	up	-0.238465397284293	-0.24063964033347	-0.243318146970155	-0.207272105121542	-0.256354358012952	-0.165430969654895	-0.253273006263735	-0.255766220297338	-0.195617185342173	-0.253021508569929	-0.179690331778184	-0.25006210286691	-0.0909801959125603	-0.133812680285881	-0.0949721790361597	-0.0635559853924215	-0.0752957956541169	-0.0715068456052465	-0.16867546345955	-0.155392413449352	-0.189295817374088	-0.197550119400153	-0.161732159239221	-0.177122625903694
M00083	0.0115343206585881	0.231314794167165	3.3849377006272	0.00247823181577345	0.0105324852170372	-2.32375835175204	1.97746914175855	up	0.223964359619322	0.232327825494396	0.225805915862696	0.231379545076702	0.226672236013484	0.225506258648762	0.228676672533473	0.228249321102143	0.221753188213979	0.223841819359179	0.231135343335556	0.222552804187574	0.237814548065296	0.228611835186149	0.236765148629976	0.24541223368861	0.241937068875454	0.249252373521151	0.23644465060978	0.228159622925325	0.228690146819988	0.234320853225333	0.235180194580706	0.227101094436924
M00890	0.0526915754335509	-0.357276572697046	4.04017922158493	0.00048610527166467	0.00319888630385783	-0.738506670058465	2.49500119551597	up	-0.383462099923645	-0.383462099923645	-0.383462099923645	-0.383462099923645	-0.383462099923645	-0.383462099923645	-0.376431592648604	-0.345325844315877	-0.372367139176723	-0.451199825142165	-0.340046161497884	-0.313676419529006	-0.361390468464063	-0.324794980720437	-0.317229402621612	-0.305601699509002	-0.285075969434411	-0.312454825981774	-0.391391805129188	-0.342864053569458	-0.365571707296079	-0.350423317623316	-0.36287360788455	-0.355146324643092
M00608	0.0882148570293945	-0.0277760631709437	7.27115917633258	1.77784537587426e-07	9.11684799844294e-06	7.15806787422949	5.04015528595808	up	-0.077926129041472	-0.0397680863062245	-0.0732260771562805	-0.0520966379228023	-0.0792522257360691	-0.0587259895324641	-0.0332538482483688	-0.0616747402271908	-0.0358064475464053	0.00309713012037267	-0.0165593662873532	-0.0218546896495621	0.0374028283212278	0.0459514701646635	0.0207005535245921	0.0269836932697758	0.0364958179932158	0.0627761143331383	-0.0308686193274783	-0.0883988064966449	-0.056667270799309	-0.0798323829577141	-0.0884647789672558	-0.0056570276270394
M00358	0.0750478187193836	0.0310793475933382	8.47664934802907	1.24182219903262e-08	1.68887819068436e-06	9.83408988842203	5.77240167252568	up	-0.0157329377285905	0.00912635722273942	0.000707416254093406	0.00338492935379503	0.0108777600414929	0.0011399781714286	0.0220438228320548	0.00526072119363871	0.0429898350206709	0.0327248944433991	0.0550535319894479	0.0290604750873013	0.096371338910316	0.0629478095832757	0.0903678027788699	0.0897397589969951	0.0832392603143913	0.101525299213407	-0.0281843542102394	0.00578522145507907	0.0230058937975265	-0.0030937515408857	0.013868810148838	0.0136944689110709
M00031	0.132006918700911	-0.146551269580567	6.6440980532549	7.65129672981724e-07	2.83793551433221e-05	5.69125691452785	4.54699747712656	up	-0.210521906866278	-0.213570140877467	-0.217172652152549	-0.179835276190548	-0.228347817628204	-0.114594670134421	-0.233754439021214	-0.241845285546251	-0.173164966189441	-0.234400919041264	-0.139761602741239	-0.229720442818392	-0.0562968349033915	-0.095292613635878	-0.0523037379817944	-0.02231206108815	-0.0330602741593014	-0.0260109615607878	-0.124285881215122	-0.114648463342355	-0.157622561057906	-0.161583042827196	-0.115345968232136	-0.141777950722321
M00422	0.0943853689347101	-0.0581409003846426	7.21735390607607	2.01106941142124e-07	9.11684799844294e-06	7.03413372605997	5.04015528595808	up	-0.119569332932141	-0.0847055290954093	-0.132620916637409	-0.0782840433632004	-0.114853971100071	-0.0553441735759961	-0.0535183469008111	-0.123976590854745	-0.051063548416476	-0.0675906325259136	-0.100481151673177	-0.0824740667918711	0.0632920940423355	-0.000204649624403569	-0.00595328726881995	0.00544121375492423	-0.00218276028119202	0.0154961472754961	-0.0806319123070126	-0.0748148758721189	-0.0779418599165747	-0.0915344496357993	-0.0611093230929618	-0.0207556424380738
M00042	0.107389031222261	-0.132790039229176	5.32103839048705	1.92623282020234e-05	0.000261967663547519	2.45974934127435	3.581752313297	up	-0.19483983415592	-0.189686824386588	-0.186388841799705	-0.218455351959534	-0.163309853938966	-0.220490455248226	-0.122055181772489	-0.165687486899318	-0.120809089620379	-0.148781326790037	-0.152068390740799	-0.133463391218196	-0.0813928509791864	-0.0856267483709742	-0.103502577578225	0.019201607035474	-0.0276365818137836	-0.0345324431681867	-0.0398919405534342	-0.198730566864062	-0.134325389067684	-0.195564769433233	-0.147814405355701	-0.141108246821079
M00620	0.0253154704115219	0.290805893981368	4.27857291977211	0.000266502633519016	0.00184293346569082	-0.147534091099428	2.73449034356819	up	0.259325882060743	0.273377190159029	0.264312841394964	0.268424500305173	0.276602671310961	0.278315475618186	0.277150527972418	0.296378513913346	0.286648306102682	0.27860683729281	0.288530555082352	0.29443086668474	0.310347815026996	0.296830458537857	0.315038643422886	0.309711565099273	0.309454927828896	0.317371570824149	0.298065221842833	0.302086895629129	0.289880904189528	0.295633373173582	0.299297730085163	0.293518181995137
