gene	Peri_vs_Esin	Bger_vs_Esin
M00163	13.5084436543365	4.86473477437852
M00161	12.6825164850235	5.58120210896155
M00570	12.6825164850235	10.537332719452
M00596	11.60283794797	6.99071416578468
M00019	11.3765371677604	10.1061965749355
M00145	10.4349135016867	8.16316106783268
M00535	10.3719899416475	10.0368637197043
M00797	9.9070086316104	5.65976387639703
ko00524	9.28826648243099	9.52753903731693
ko00365	9.08504270276392	8.30857723810189
M00416	9.06674736169682	3.76862448397003
M00127	8.90536037134389	0.143549743390048
ko02040	7.96810723313506	2.76448028045228
M00856	7.93668787278884	6.61742747584812
M00432	7.75667323422728	7.0601986467147
M00718	7.72513590503665	8.97417565512275
ko00633	7.67398852674068	3.85229777490658
M00153	7.65135053842615	8.8531088610401
M00847	7.4997942315803	2.23062138202124
M00344	7.47912369561069	10.0420925596487
M00150	7.14878295374171	5.29711403747249
M00642	7.01820010248185	5.61435326398562
M00899	6.92481747154558	1.49178133517717
M00162	6.79336157389637	8.29559255868247
M00815	6.79336157389637	6.30039559748259
M00877	6.6711740625685	9.09918722087544
M00072	6.11929660727086	3.19117342451317
ko02030	6.02101746283303	0.0268118230595271
M00029	5.86445599873675	4.55881328488139
M00800	5.68230886580206	5.09287285367582
M00649	5.13964050770344	0.797213004263473
M00803	4.98891626886038	4.09308335186012
M00838	4.91613241238897	5.2358969291389
M00866	4.81392880671358	2.50470482431521
M00308	4.66517959945147	3.76275834315834
M00705	4.60240434080736	8.42940612756853
M00550	4.58329584028732	9.37937269903355
M00814	4.46851848475937	3.38238078141907
M00702	4.46720090602707	4.68539675169534
ko00542	4.4655771957385	6.35678116971738
ko01054	4.29732444790109	7.25524605421531
M00134	4.20802812817459	0.128679031780908
M00014	4.11839282931412	2.45537399155543
M00769	4.11273225443554	-0.0902821389266913
M00895	4.09886235006258	0.358732609710319
M00076	4.02912231074909	7.59247632335434
M00165	4.0039470376639	-0.039998681757666
M00612	4.0039470376639	-0.039998681757666
M00031	3.96648280621364	0.192586755501135
M00569	3.9096156590182	5.58120210896155
M00001	3.7807566400294	-0.00414480801052257
M00763	3.67560940686721	0.0729974653957152
M00157	3.610434710244	1.20823190723921
M00796	3.56585273768803	-3.43742434787152
M00730	3.51723662277661	3.28248015661787
M00552	3.34303184574353	4.28262271972255
M00853	3.23181012902922	7.94813933218695
M00078	3.23181012902922	7.06172182165363
M00064	3.17012699469346	-0.761639246855089
M00060	3.16176987430787	3.03274662336093
M00627	3.13899684814568	4.20240130082247
M00075	3.09507395661791	4.16922205351014
M00798	3.02394450063749	2.22931293529339
ko01052	3.00816447131144	1.23977436969805
M00081	2.98292117251422	8.41725178222597
M00563	2.89726899251778	-1.01764556218864
M00077	2.66595937924149	4.21252192850939
M00939	2.6470382233865	3.05030608582681
ko03070	2.63027896333071	0.0992852781425949
M00345	2.49592348574307	0.985736914908088
M00922	2.48690558777134	1.10816780093328
M00620	2.47562044744306	-2.22429081373121
M00115	2.47160385896876	0.51569171479227
M00130	2.41434512496596	3.83867414075123
M00541	2.38452179579566	-0.0574038693446436
M00063	2.3597079107128	2.8991649713153
M00065	2.32387907233486	4.80179401777599
M00079	2.31154261177847	2.14517544456615
M00623	2.25221828662222	1.71071785447513
M00925	2.20062683596433	2.81092902051802
M00867	2.17720562742812	6.46217253358943
M00356	2.17720562742812	-2.25971752500779
M00778	2.17720562742812	3.27287988748452
M00621	2.10925443632972	0.0368837913106047
M00966	2.0788526720561	2.81560209137438
M00931	2.05306472592978	3.95974311971598
