Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
0	0.278573731393055	0.0966860055577785	0.151669036274073	0.189262927057763	0.069885137021612	0.0920090889863445	0.132814545036882	0.243681365937979	0.0869753481463669	0.130323259840729	0.142378663596922	0.243588544950861	0.20755767965732	0.149918624233463	0.232117987193722	0.146755180482623	0.129219502693188	0.263762886153328	0.207297246173944	0.166614237448332	0.110976640250817	0.0667766133372795	0.154942081348969	0.0856842911990773	0.137820006666003	0.135851424894138	0.335870259973836	0.190745785983562	0.134946911116125	0.121803507965264	0.165314544292701	0.133808072286192	0.0978721901540675	0.383725264760145	0.119815742314269	0.146139056803787	0.110172490852577	0.115069778350167	0.331209106260604	0.279545060300658	0.252783301222216	0.407323469161073	0.337830851093002	0.205509056846809	0.41759250178619	0.343947986668349	0.26483251539346	0.285343751725143	0.276292640717799
0.278573731393055	0	0.302878505758905	0.382068446529946	0.28316891398852	0.248243638825907	0.302344936393082	0.207945366010667	0.298319932610006	0.305967039928207	0.255652556116441	0.336052095318244	0.390473031285505	0.372269566223036	0.330313798032577	0.266964732162646	0.35853741428365	0.274132204368464	0.3425320861169	0.365051071837431	0.29896909301525	0.195331422152938	0.287275371086366	0.253033101809201	0.283644081263113	0.247658836714018	0.232551648172143	0.336374049151713	0.266510789411343	0.245171852575987	0.321251719415397	0.378148853435715	0.313810737733116	0.265071115635216	0.317083734990446	0.310618128348898	0.306154497653674	0.303169964563818	0.227283935900327	0.334598439939946	0.133895493141461	0.133418385165449	0.201150601873484	0.154367149868276	0.139308446236836	0.179468360386038	0.135456721408034	0.262100619280948	0.129073957502078	0.134768952716343
0.0966860055577785	0.302878505758905	0	0.120034838293407	0.16591714754796	0.105894213122598	0.0874276595121173	0.111896973074421	0.21969657555913	0.0397054982931163	0.114818324164673	0.172614221474894	0.154826620002328	0.138520104369508	0.121328461474965	0.208433128627701	0.150150061744428	0.14480911366852	0.22739786165642	0.225347381401148	0.104631784119551	0.152117022400749	0.105662156815299	0.166477256506605	0.126866019121859	0.151132172907399	0.168787378270865	0.270979453056368	0.204607521435992	0.157019902451748	0.0935887305686895	0.123971665384668	0.0935030068985013	0.113858984469944	0.341833398358571	0.102057921966477	0.0963691531045053	0.0867382468592294	0.129371316242154	0.27534020968204	0.321964552139138	0.292142456186651	0.454999820386848	0.369358754424198	0.247900916276729	0.456349294120935	0.376643253879669	0.289283114673448	0.323483064162164	0.316331281745378
0.151669036274073	0.382068446529946	0.120034838293407	0	0.258959355920708	0.189838663496005	0.0986625880327749	0.190028096109852	0.282758317414887	0.119432865743834	0.183212065679857	0.22363367870163	0.129436485744948	0.121558850837206	0.116899452611815	0.277707373454916	0.128545457375625	0.2094565802305	0.278387086037624	0.265585570096913	0.119921522637626	0.245754283640572	0.175532620350231	0.256135780987073	0.195633548429184	0.23201311709222	0.246744392685226	0.271267649340279	0.277809759908728	0.236707995621922	0.164724875729372	0.085272724151108	0.153631956943349	0.170913779234875	0.374565171319844	0.132144866162344	0.108301072924299	0.100721561921067	0.157616293994009	0.290609025283203	0.410913450098118	0.382625392707457	0.554898116700589	0.470383952150796	0.341779965062414	0.558495077735244	0.477751760248714	0.383983097446205	0.414614334656117	0.416394759768933
0.189262927057763	0.28316891398852	0.16591714754796	0.258959355920708	0	0.158538626640262	0.221086296984729	0.180710644961909	0.123684452347521	0.176372979613828	0.139331730493153	0.285880693179312	0.237142673807188	0.290201568470425	0.250743958686165	0.153182816051931	0.294014342871922	0.21073515676583	0.278706336269344	0.321331897562722	0.13300046252112	0.185465777203643	0.150007787256169	0.101726120966518	0.151636174206573	0.123570536070642	0.12200411782563	0.227087206054573	0.133717441903448	0.118384712668556	0.17178425707578	0.267854583182958	0.157524462998342	0.192640068621803	0.250196522881364	0.208197875074957	0.210906701099665	0.203134139136641	0.235107373639935	0.211262002728498	0.235618904924261	0.246758532100021	0.38921023362754	0.284450876046224	0.179394621227367	0.417959876836319	0.300345173571284	0.225195490094446	0.241562143009983	0.234942228084702
0.069885137021612	0.248243638825907	0.105894213122598	0.189838663496005	0.158538626640262	0	0.117099975525374	0.129881862079681	0.212528656529634	0.0961657951348133	0.11045331000313	0.149763702059374	0.236895127019233	0.217275530133094	0.145772201964603	0.188585718627716	0.161226261712118	0.139088544414041	0.234894305386605	0.20250469646115	0.156820235026123	0.105080191376504	0.0827326332608065	0.130634092410936	0.0989972187017418	0.127344582791104	0.121349779233634	0.305755242944423	0.164290456623756	0.122489360644386	0.112477631387177	0.187034401949879	0.126077214329973	0.0909668505170969	0.341963376842858	0.119687450614871	0.139764706319495	0.117397642918945	0.123089401861204	0.308751588037638	0.243634746227489	0.223675954023655	0.370320870137645	0.299302307440038	0.180660770614717	0.398402152915297	0.304345167741701	0.256316770784513	0.249012218803721	0.24006787214737
0.0920090889863445	0.302344936393082	0.0874276595121173	0.0986625880327749	0.221086296984729	0.117099975525374	0	0.115210032430881	0.263186315221026	0.0844116016799819	0.135567827359455	0.164083447314385	0.177398641314327	0.164641129826732	0.116610888777238	0.256310765720213	0.124191041801657	0.13548215570035	0.268957675147375	0.222602195240948	0.131451374360638	0.160114081281657	0.0985322322732101	0.200163779653297	0.120737233498211	0.165498624436366	0.179510663915324	0.308285399846735	0.226571208280053	0.170462163268073	0.114786028855796	0.107894487138908	0.11452275555712	0.113375914059834	0.382805973572699	0.104370525005866	0.104619857017451	0.0826893492607337	0.102083816070358	0.309239625762695	0.327634629594382	0.294883375772871	0.4715944825534	0.388657954977175	0.252586276133569	0.455383409601955	0.389573492826745	0.31604906722073	0.330339623138988	0.327635524032523
0.132814545036882	0.207945366010667	0.111896973074421	0.190028096109852	0.180710644961909	0.129881862079681	0.115210032430881	0	0.221752454965308	0.119159346353159	0.118470336048539	0.217498233381668	0.204713102793436	0.230684454351826	0.174594993429198	0.222900784749544	0.217766522463231	0.153151028998253	0.266541801512929	0.269657264451517	0.127461828237869	0.116704477616608	0.128786199091558	0.154627762540492	0.131604669066114	0.131628659926827	0.150057461050057	0.270347002138752	0.180673667508355	0.14012420448129	0.138324225598469	0.188259393599796	0.116397024577157	0.127195648928051	0.306580035017586	0.131823294511404	0.144186867011185	0.121044294445554	0.111134611335818	0.264188559165975	0.25574057818329	0.238459076349156	0.394167020908836	0.300996832365457	0.192715042854439	0.391571763740402	0.307573956507315	0.265745621042258	0.257542962265802	0.25139431614065
0.243681365937979	0.298319932610006	0.21969657555913	0.282758317414887	0.123684452347521	0.212528656529634	0.263186315221026	0.221752454965308	0	0.237386431288942	0.199707723058303	0.332680313972526	0.276020988282448	0.338458552734718	0.296543242767523	0.243146847891004	0.348526311557087	0.257804470064147	0.356300094305337	0.368878621752193	0.176806928465556	0.221684867021646	0.208976846447892	0.1087525370963	0.183070410701251	0.130690933568416	0.125501704070806	0.152306779563058	0.112355020998923	0.122201179037058	0.251156117336476	0.302240968916942	0.225014605542444	0.244102137687989	0.195605010333011	0.270418903494943	0.271882572930046	0.254790594856624	0.272359007259612	0.130018520535826	0.240398236747766	0.249801469188455	0.414078564694848	0.29677093495596	0.189686949833108	0.433153481347354	0.302745157188537	0.268872806535795	0.245264684675213	0.243894891879112
0.0869753481463669	0.305967039928207	0.0397054982931163	0.119432865743834	0.176372979613828	0.0961657951348133	0.0844116016799819	0.119159346353159	0.237386431288942	0	0.112758692422686	0.153718097596077	0.155758781118812	0.131417176835688	0.111466419484586	0.202827165246452	0.11434362910908	0.136181889798218	0.219331475548033	0.204487322808283	0.116217220637912	0.160888876715068	0.107351025789114	0.173554545346026	0.130400168670757	0.164668150920789	0.17556707661877	0.287802412141325	0.214124388584749	0.166394920293909	0.0836094973840659	0.118620270899058	0.0974282362041633	0.109329951821248	0.36543601569549	0.0845690654974476	0.0898697655624926	0.0773927529126477	0.121933100303566	0.295459523799561	0.331454962779268	0.298509607209436	0.456529704125723	0.377348159483718	0.256278192068388	0.454876938884154	0.383752905199907	0.294162456762469	0.333321043743445	0.323585389983034
