Species Path	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Woesearchaeales;f__GW2011-AR4;g__GCA-2686855;s__GCA-2686855 sp002686855	1.0761387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__Actinomarina sp902510995	0.26030788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia;s__Nesterenkonia alkaliphila	2.94339031	0	0	0	0	0	0	0.91950905	0	1.46501593	0	0	0	0	0	0.18728632	0	0	0	0	0	0	0	3.4229765	0	0	0	0	0	0	0	0	0.32587272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Nesterenkonia;s__Nesterenkonia ebinurensis	0.30637062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s_unclassify_g__Streptomyces	0.30080035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7204453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.40706286	0	0	0	0.27528703	0	0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o_unclassify_c__Actinomycetes;f_unclassify_c__Actinomycetes;g_unclassify_c__Actinomycetes;s_unclassify_c__Actinomycetes	0.10026664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85302822	0	0.5443011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3315903	0	2.27849361	0	0	2.46474065	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__JAJDIT01;s__JAJDIT01 sp030266845	0.29195306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1417959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	0.1925855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f_unclassify_o__Bacillales;g_unclassify_o__Bacillales;s_unclassify_o__Bacillales	0.2570128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C mediterraneensis	0.08278916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
