Species Path	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g_unclassify_f__Oscillospiraceae;s_unclassify_f__Oscillospiraceae	0.34052852	0	0	1.82965926	0	0	0.101770274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67855422	2.88612026	0	0	0	0	0	0	1.2182242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.284776	0
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAAYCI01;s__JAAYCI01 sp030266915	0.42230585	0	0	0	0	0	0	0	0	0	0	0	0	0.40250772	0	0	0	0	0	0	0	0	7.96181385	0	0.81887364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54311185	0	0	0	0	0	0	0	0	0.46243334
d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f_unclassify_o__Oscillospirales;g_unclassify_o__Oscillospirales;s_unclassify_o__Oscillospirales	0.12965523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29433155	0.204073	0.29200402	0	6.1902056	0.41345462	0	0	0	0	0	0	0.10734024	0	0	0	0	0	0	0	18.464016	0.4613088	0	0	0.98960763	0	0	0	0	0
d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Faecalimicrobium;s__Faecalimicrobium sp937907205	0.18362814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__WRFZ01 sp031289145	0.3873944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32686028	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides neonati	0.1769414	0	0	0.7739716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0954368	0	0	0	0	0	0	0.46853718	3.7561324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp945607605	1.3238815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18110377	0	0	0	0.44746393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2436067	0	0	0	0	0.16006772	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s_unclassify_g__Bacteroides	0.38517118	0	0	0.3569001	0	0	0.5054937	0	0	0.8242312	0	0	0	0	0	0	0	0	0	0	0.61979467	0	0.5157956	0.26490533	1.5086775	2.1269329	0.37363023	0.44395337	0.67724895	13.33822955	0	0	0	0	0	0	0	0.24691752	1.08628803	0	0	0	0	0.56560266	0.7772729	0	0	0	0	4.25102106
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g_unclassify_f__Bacteroidaceae;s_unclassify_f__Bacteroidaceae	0.4071809	0	0.9111547	0	0	0	0	0.32096955	0	0	0	0	0	0	0	0	0	0	0	0	0.47118902	0.1509833	1.3252482	0	0.7161509	0	2.0526009	0.14994183	0.36416325	0	0	0	0	0	0.5032052	0	0	0	0	0	0	0	0	0.49212348	0.60760796	0	0	0	0.54145616	0.47008771
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas hofstadii	1.1680818	7.6751986	0	0	0	1.58213397	1.14771665	0.29804313	0.74272937	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31052524	0	0.5928833	0	0	0	0	0	0.50758785	0	0	0	0	0	0	0.47939533	0	0	0	0	0	0	0	0	0	0	0	0.56519604
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp001261735	0.83472115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41024882	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp029892965	0.38936076	0	0	0	0	0	0	0.18528274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62363493	0	0	0.353802	0	0	0	0	0	0	0	0	0	0.68619213	0	0	0	0	0	0	2.6472511	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__Dysgonomonas sp029893235	0.5556657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7281233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46333125	0	0	0	0.681186	0	3.8130713	0	0	0
